Paragraph 0
在位七十一年,壽一百二十歳.	ở ngôi bảy mươi mốt năm , thọ một trăm hai mươi mốt tuổi .
戊寅,九年[宋太平興國三年].	mậu dần , năm thứ chín , ( tống thái bình hưng quốc năm thứ ba ) .
遣使如宋賀太宗即位.	sai sứ sang nhà tống mừng thái tông lên ngôi .
間因世亂立太子,則先有功,其.	thế là xử việc lúc biến mà vẫn được đúng đắn , người xưa vẫn từng làm .
春,正月,地震.	liễn lại nhẫn tâm , đến nỗi giết em , thiên đạo nhân luân mất hết , chuốc hoạ chết thiệt thân , còn liên luỵ cả cha nữa , há chẳng rùng rợn lắm thay !
此處變而得其宜也,古人皆已行之矣.	
而璉之忍心,至殺其弟,天倫滅矣,其禍至於殞身,以及其父,𡸈不烈矣哉!	

Paragraph 76
時定國公阮匐,外甲丁佃,與十道將軍黎桓奉衛王璿即皇帝位,尊帝曰先皇帝,尊親生母楊氏爲皇太后.	khi ấy định quốc công nguyễn bặc , ngoại giáp đinh điền , cùng thập đạo tướng quân lê hoàn rước vệ vương toàn lên ngôi hoàng đế , tôn gọi vua là tiên hoàng đế , tôn mẹ đẻ là dương thị làm hoàng thái hậu .
定國公阮匐使人收斬之,碎其骨,臠其肉,分與國人食之,不争啖焉.	đinh quốc công nguyễn bặc sai người bắt đem chém , đập nát xương , băm thịt ra từng mảnh , chia cho người trong nước ăn , chẳng ai không tranh lấy mà nhai nuốt .
時捕賊甚急,釋潜伏于宮霤,踰三日渴甚,遇雨以手盛水而飲,宫女見之以吿.	khi ấy lệnh lùng bắt hung thủ rất gấp , thích phải lén núp ở máng nước trong cung qua ba ngày , khác lắm , gặp lúc trời mưa thò tay hứng nước uống , cung nữ trông thấy liền đi báo .
又於太平五年,得讖文曰:"杜弑弑丁丁,黎家出聖明,兢頭多宏兒,道路絶人行.	lại vào năm thái bình thứ năm , có lời sấm ngữ : " đỗ thích thí đinh đinh , lê gia xuất thánh minh , cạnh đầu đa hoành nhi , đạo lộ tuyệt nhân hành .
是夜投膠水寺宿,藏圭于魚筥底,待明是賣魚.	đêm ấy vào ngũ nhờ ở chùa giao thuỷ , giấu ngọc ở dưới đáy giỏ cá , đợi sáng ra chợ bán cá .
時帝方熟睡,其筥有異光,寺僧起問故,帝言乃以圭示之.	bấy giờ vua đang ngũ say , trong giỏ có ánh sáng lạ , nhà sư chùa ấy gọi dậy hỏi duyên cớ , vua nói thực và lấy ngọc khuê cho xem .
史臣吳士連曰:帝王之興,未有不本於天者也.	sử thần ngô sĩ liên nói : đế vương dấy nghiệp không ai không nhờ ở trời .
僧嘆曰:"吾子他日富貴不可言,但長耳".	sư than rằng : " anh ngày sau phú quý không thể nói hết , chỉ tiếc phúc không được dài " .
先是釋爲桐䦕吏,夜卧橋上,忽流星入口,釋以爲休徵,遂萌弑心.	trước đó đỗ thích làm chức lại ở đồng quan , đêm nằm trên cầu , bỗng thấy sao sa rơi vào miệng , thích cho là điềm tốt , bèn nảy ra ý định giết vua .
然聖人不恃其命之在天,而尤盡其事之在我.	nhưng thánh nhân không cậy có mệnh trời mà làm hết phận sự của mình .
初帝微時,嘗漁于膠水江,綱得大圭,觸頭闕其角.	ngày trước , khi vua còn hàn vi , thường đánh cá ở sông giao thuỷ , kéo lưới được viên ngọc khuê to nhưng va vào mũi thuyền , sứt mất một góc .
奉先皇帝柩塟長焉山陵.	rước linh cữu tiên hoàng đế về táng ở sơn lăng trường yên .
重門擊析之設,所以待暴客也.	đặt nhiều lần cửa , đánh hiệu canh là đề phòng kẻ hung bạo .
事既濟矣,尤思患而豫防之.	việc đã thành , lại càng lo nghĩ đề phòng .
中,遂殺之,害及南越王璉.	đến đây , nhân lúc vua ăn yến ban đêm , say rượu nằm trong sân , thích bèn giết chết , lại giết luôn cả nam việt vương liễn .
禮樂刑政之脩,所以防人心也.	sửa sang lể nhạc hình án chính sự là để phòng giữ lòng người .
人以爲天數自定云.	người ta cho là số trời đã định như thế .
定國公阮匐等誅之.	bọn đinh quốc công nguyễn bặc bắt được đem giết .
至是,乘帝夜宴,醉卧庭.	thập bát tử đăng tiên , kế đô nhị thập thiên " ( đỗ thích giết hai đinh , nhà lê nỗi thánh minh , tranh nhau nhiều hoành nhi , đường sá người vắng tanh .
十八子登僊,計都二十天".	

Paragraph 77
以晋天福六年,辛丑,秋,七月,十五日,誕生.	đến khi năm thiên phúc thứ sáu thời tấn là năm tân sửu , mùa thu , tháng bảy , ngày mười lăm , sinh ra vua .
春,三月,侯仁保,孫全興至諒山,陳欽祚至西結,劉澄至白虅江.	mùa xuân , tháng hai , hầu nhân bảo , tôn hoàng hưng đến lạng sơn , trần khâm tộ đến tây kết , lưu trừng đến sông bạch đằng .
姓黎,諱桓,愛州人也,仕丁爲十道將軍;宋師來侵,領兵出拒,遂代丁而有天長春殿.	họ lê , tên huý là hoàn , người ái châu , làm quan nhà đinh đến chức thập đạo tướng quân ; quân tống xâm lược đem quân ra chống cự , rồi thay nhà đinh làm vua ; ở ngôi hai mươi bốn năm , thọ sáu mươi lăm tuổi , băng ở điện trường xuân .
先是帝父覔,母鄧氏,初懷娠夢腹中生蓮花,俄而結實,取之分與人,而己獨不食,及覺莫察其故.	trước kia cha vua là mịch , mẹ là đặng thị , khi mới có thai chiêm bao thấy trong bụng nở hoa sen , chỉ chốc lát đã kết hạt , bèn lấy chia cho mọi người , còn mình thì không ăn , tỉnh dậy không hiểu nguyên do thế nào .
先皇嘉其智勇,度必能濟事,遂以士卒二千人與之,累迁至十道將軍殿前都指揮𣐳.	tiên hoàng khen là người trí dũng , chắc thế nào cũng làm được việc , bèn giao cho cai quản một nghìn quân sĩ , thăng dần đến chức thập đạo tướng quân điện tiền đô chỉ huy sứ .
辛巳,二年,[宋太平𦥷國六年,按歴代年紀諸本皆以是年爲天福元年,今改之].	tân tỵ , thiên phúc ] năm thứ hai , ( tống thái bình hưng quốc năm thứ sáu , xét các bản chép niên kỷ các triều đều ghi năm này là năm thiên phúc thứ nhất , nay sửa lại ) .
是夜,祥光盈室,觀察潜往觀之,乃黃龍擁其上也,由是愈噐之.	đêm ấy ánh sáng đẹp đầy nhà , viên quan sát lén đến xem , thì thấy con rồng vàng che ấp bên trên , vì thế lại càng thêm quý trọng .
本州有黎觀察者,見而異之曰:"此兒資格,非庸人比".	trong thôn có viên quan sát họ lê trông thấy lấy làm lạ , nói : " tư cách đứa trẻ này , người thường không sánh được " .
下;在位二十四年,壽六十五,崩于帝乘内姦而取國,却外寇以安民,海内晏然,北南無事.	vua trừ nội gian mà lấy được nước , đuổi giặc ngoài để yên dân , trong nước thanh bình , bắc nam vô sự .
鄧氏見丰好異常,示人曰:"此兒長成,恐吾不及享其祿".	đặng thị thấy tướng mạo khác thường , bảo với mọi người rằng : " thằng bé này lớn lên , ta sợ không kịp hưởng lộc của nó " .
大行皇帝.	bởi vì đại hành hoàng đế .
帝自將禦之,使士卒植樁捍江宋兵退復至支陵江.	vua tự làm tướng đi chặn giặc , sai quân sĩ đóng cọc ngăn sông chi lăng .
及長往事南越王璉,倜儻有大志.	lớn lên theo giúp nam việt vương liễn , phóng khoáng , có chí lớn .
尋卒,惸[音煢獨也]然一身,孤寒萬状.	được vài năm thì mẹ chết , sau đó cha cũng qua đời , trơ trọi một thân , muôn vàn cô đơn đói rét .
至是代丁氏爲帝,乃都華閭.	đến đây thay họ đinh làm vua , đóng đô ở hoa lư .
冬寒帝覆舂[擣米噐也].	có đêm mùa đông trời rét , vua úp cối mà ngũ .
復以同姓之故,養以爲子,朝夕撫育,不啻己出常遇.	lại thấy là cùng họ nên nhận làm con nuôi , sớm chiều chăm sóc dạy dỗ , không khác gì con đẻ .
盖.	
惜其見儲不早,使後嗣内訌,以至於亡;其於夫婦之倫,多有慚德].	
數年母亡,父亦.	
	tiếc rằng không sớm chọn con nối , khiến cho con cái tranh nhau bên trong , dẫn đến mất ngôi ; về đạo vợ chồng có nhiều điều đáng thẹn .

Paragraph 78
帝出諸將擊之,欽祚軍大敗,死者太半,屍填原野,擒其將郭君辨,趙奉勳歸華閭.	vua đem các tướng danh , quân của khâm tộ thua to , chết đến quá nửa , thây chết đầy đồng , bắt được tướng giặc là quách quân biện , triệu phụng huân đem về hoa lư .
大行居攝之時,衛王雖幼其君也,乃稱副王,將有不利.	khi đại hành giữ chức nhiếp chính , vệ vương tuy còn nhỏ nhưng vẫn là vua , thế mà đại hành tự xưng là phó vương , rắp tâm làm điều bất lợi .
曰:自其削平内奸,攘挫外寇,以状我越,以威宋人而言,則李太祖不如大行之功爲難.	thưa rằng : kể về mặt trừ dẹp gian trong , đánh tan giặc ngoài , làm mạnh nước việt ta , ra oai với người tống thì lý thái tổ không bằng lê đại hành có công lao gian khổ hơn .
史臣吳士連曰:三綱之道,萬世常經,不可一日.	sử thần ngô sĩ liên nói : tam cương là đạo thường của muôn đời , không thể một ngày rối loạn .
自其素著恩威,人樂推戴,延長國祚,垂裕後昆而言,則大行不如李太祖之慮爲長.	nhưng về mặt tỏ rõ ân uy , lòng người suy tôn , hưởng nước lâu dài , để phúc cho con cháu thì lê đại hành không bằng lý thái tổ lo tính lâu dài hơn .
欽祚等聞水軍敗,引兵還.	nghe tin quân thuỷ thua trận , dẫn quân về .
奉勳如驅小兒,如役奴󰒜,曾不數年而疆土大定,其戰勝攻取之功,雖漢唐無以過也.	lê văn hưu nói : lê đại hành giết đinh điền , bắt nguyễn bặc , tóm quân biện , phụng huân dễ như lùa trẻ con , như sai nô lệ , chưa đầy vài năm mà bờ cõi định yên , công đánh dẹp chiến thắng dẫu là nhà hán , nhà đường cũng không hơn được .
由是海内大定,群臣上尊號曰明乾應運神武昇平至仁廣孝皇帝.	bầy tôi dâng tôn hiệu là minh càn ứng vận thần vũ thăng bình chí nhân quảng hiếu hoàng đế .
帝令士卒詐降以誘仁寳,因擒斬之.	vua sai quân sĩ trá hàng để dụ nhân bảo , đem chém .
宋江南轉運使許仲宣以仁寳敗死事聞.	giang nam chuyển vận sứ của nhà tống là hứa trọng tuyên đem việc nhân bảo thua chết tâu lên .
於是退而起兵聲罪,𦤶討圖存社稷,忠義之臣也.	rồi lui về dấy quân hỏi tội , mưu giữ xã tắc , thế là bầy tôi trung nghĩa đấy .
阮匐,丁佃安得恝然忍視之哉?	nguyễn bặc , đinh điền sao có thể nhẫn tâm điềm nhiên mà nhìn ?
或問:大行與李太祖,孰優?	có người hỏi : đại hành với lý thái tổ ai hơn ?
曰:優則不知,但以李德󰗯黎爲厚爾,當從李.	đáp : hơn thì không biết , chỉ thấy đức của họ lý dày hơn họ lê , vì thế nên nói theo họ lý .
春秋之法,人人皆得舉行之.	đó là phép của sách xuân thu , người người điều được nêu lên mà thi hành .
黎文休曰:黎大行之誅丁佃,執阮匐,擒君辨,虜.	lời bàn của văn hưu lái đánh đồng với hàng loạn tặc , khiến cho đạo nhân luân không được sáng tỏ với đời sau , gây mầm mống tiếm đoạt , để cho những kẻ có quyền lực tranh nhau bắt chước , quét sạch cương thường , vì thế không thể không biện bác .
事不濟而死,則謂死節之神.	việc không xong mà chết , thế là bề tôi tử tiết đấy .
然則太祖優歟?	thế thì lý thái tổ hơn ư ?
紊.	
文休之論,乃儕諸亂賊,使人倫之道不明於後世,將啓篡奪之萌,凣有權力者,争慕效之,綱常掃地矣,不得不辨.	

Paragraph 79
俘獲士卒不可勝計,獲宫妓百人及天竺僧一人,遷其重噐,收金銀寳貨以萬數,夷其城池,毀其宗廟,朞月還京師.	bắt sống được quân sĩ của chúng nhiều vô kể , cùng là kỹ nữ trong cung trăm người và một nhà sư người thiên trúc , lấy các đồ quý đem về , thu được vàng bạc của báu kể hàng vạn , san phẳng thành trì , phá huỷ tông miếu , vừa một năm thì trở về kinh sư .
帝怒,繕戰船,治戈甲,自將討之,斬其篦眉税于陣.	vua giận , sai đóng chiến thuyền sửa binh khí , tự làm tướng đi đánh , chém bê mi thuế tại trận .
帝得國時,納之宫中,至是立爲后,與奉乾至理皇后,順聖明道皇后,鄭國皇后,范皇后並爲五皇后.	khi vua lấy được nước , đem vào cung , đến đây lập làm hoàng hậu , cùng với phụng càn chí lý hoàng hậu , thuận thánh minh đạo hoàng hậu , trịnh quấc hoàng hậu , phạm hoàng hậu là năm hoàng hậu ( về sau , tục dân lập đền thờ , tô tượng hai vua tiên hoàng và đại hành và tượng dương hậu cùng ngồi , hồi quốc sơ vẫn còn như thế .
興立丁朝皇太后楊氏爲大勝明皇后.	lập hoàng thái hậu nhà đinh là dương thị làm đại thắng minh hoàng hậu .
史臣吳士連曰:夫婦人倫之首,王化之端.	sử thần ngô sĩ liên nói : đạo vợ chồng là đầu của nhân luân , dây mối của vương hoá .
后先皇配,衛王璿母也.	hậu là vợ của tiên hoàng , mẹ đẻ của vệ vương toàn .
壬午,三年,[宋太平國七年].	nhâm ngọ , thiên phúc năm thứ ba , ( tống thái bình hưng quấc năm thứ bảy ) .
宋帝詔𤤻師,遣使讓劉澄,賈湜,王僎等.	vua tống xuống chiếu rút quân về , sai sứ quở trách bọn lưu trừng , giả thực , vương soạn .
癸未,四年,宋太平國八年].	quý mùi , năm thứ bốn , ( tống thái bình hưng quấc năm thứ tám ) .
先是,帝遣辭穆,吳子庚使占城,爲其所執.	trước đó vua sai từ mục , ngô tử canh sang sứ chiêm thành , bị người chiêm bắt giữ .
興春,遣使通好于宋.	mùa xuân , sai sứ sang thông hiếu với nhà tống .
邕州,孫全興亦坐棄市.	trùng ốm chết , soạn bị giết ở ung châu , tôn hoàng hưng cũng bị giết bêu ở chợ .
易下經首,󰦭,恒示取女必以正也.	hạ kinh của kinh dịch nêu quẻ hàm và quẻ hằng lên đầu , là để tỏ cái ý lấy đàn bà tất phải chính đáng .
子效之,滛佚取亡,𡸈無󰧉禍之端哉?	con mình bắt chước mà dâm dật đến nỗi mất nước , há chẳng phải là mở đầu mối hoạ đó sao ?
占城大敗.	chiêm thành thua to .
帝親征占城,克之.	vua thân đi đánh chiêm thành , thắng được .
安撫使黎叔顯始革去].	sau an phủ sứ lê thúc hiển mới bỏ ) .
是歲大饑.	năm ấy đói to .
澄病死,󰱓戮于.	đại hành thông dâm với vợ vua , đến chỗ nghiễm nhiên lập làm hoàng hậu , mất cả lòng biết hổ thẹn .
大行通滛君后,至於偃然立以爲后,羞惡之心忘矣.	

Paragraph 80
冬,十月,宋遣佐補闕李若拙,國子監博士李覺賫制󰀋封帝爲安南都護靜海軍節度使京兆郡侯[其制曰:王者丕建皇極,寵綏列藩.	mùa đông , tháng mười , nhà tống sai tả bổ khuyết lý nhược chuyết , quốc tử giám bác sĩ lý giác mang chế sách sang phong cho vua làm an nam đô hộ tĩnh hải quân tiết độ sử kinh triệu quận hầu ( lời chế nói : đấng vương giả cả dựng ngôi cao , vỗ yên chư hầu .
適當易師,方利建侯,不忘請命之恭,用舉酬勞之典.	lúc đang đổi tướng , lợi dịp phong hầu , lòng cũng không quên thỉnh mệnh , bèn ban ân điển thưởng công .
熙秋,七月,望帝之誕辰也,使人造舟江中,以竹作假山于舟上,號南山.	mùa thu , tháng bảy ngày rằm là ngày sinh của vua , sai người làm thuyền ở giữa sông , lấy tre làm núi giả đặt trên thuyền , gọi là nam sơn , rồi bày lễ vui đua thuyền , về sau thành thường lệ .
士爕強明,化越俗以咸乂,尉佗恭順,禀漢詔以無違.	sĩ nhiếp cứng mạnh , sáng suốt , đổi tục việt đều hay , uý đà cung kính , thuận tòng , vâng chiếu hán chẳng trái .
爾以肺腑之親,掌師旅之事,號金自出,威愛兼行.	người là tâm phúc chỗ thân , giữ quyền coi quân lữ , hiệu lệnh ban phát , uy ái đều gồm .
丁氏自解三使之權,以徇眾人之欲.	họ đinh bỏ quyền ba đời tiết sứ , chiều theo ý muốn mọi người .
設邸京師,所以盛會同之礼,昨土方靣,所以表節制之權.	dựng phủ đệ tại kinh sư , cho lễ hội đồng được long trọng ; chia đất phong ở các nơi , để quyền tiết chế được nêu cao .
熙秋,八月,點民爲兵.	mùa thu , tháng tám , điểm dân để lấy lính .
初帝征占城,管甲劉繼宗遁居其國.	trước kia vua đi đánh chiêm thành , quảng giáp lưu kế tông trốn ở lại nước ấy .
丙戌,七年,[宋雍三年].	bính tuất , năm thứ bảy , ( tống ung hy năm thứ ba ) .
茲權知三司留後黎某,資兼義勇,性禀忠純.	nay quyền tri tam ty lưu hậu được lòng người trong nước , kính giữ tiết phiên thần .
宜以元裔之並列通侯之貴.	nên xứng chức đứng đầu cõi xa , cùng dự hàng chư hầu tôn quý .
帝遣使如宋求領節鎮.	vua sai sứ sang nhà tống xin giữ chức tiết trấn .
󰪀者,丁璿方在童幼,眛厥撫綏.	vừa rồi đinh toàn đương tuổi trẻ thơ , không biết yên vỗ .
矧兹鳶趾之隅,式修翠羽之貢.	người xa tỏ lòng thành , xin ban tiết việt .
乙酉,六年,[宋雍二年].	đến đây , vua sai người con nuôi ( không rỏ tên ) ất dậu , năm thứ sáu , ( tống ung hy năm thứ hai ) .
宋遣使來聘.	nhà tống sai sứ sang thăm .
能得󰘊人之心,彌謹藩臣之節.	huống nay từ cõi đất diều rơi đến dâng đồ cống lông chim trả .
至是,遣養而[養子鈌名].	
遠輸誠悃,求領節旄.	

Paragraph 81
又謂若拙,𮗓曰:"蕞爾小󰘊,山川悠遠,去天萬里,僻地一隅,行使往來,跋涉山川,不亦勞乎?	lại bảo nhược chuyết và giác rằng : " nước tôi bé nhỏ , sông núi xa xôi , nghìn dặm cách trời , ở lánh góc đất , sứ thần đi lại , lặn lội núi sông , há chẳng khó nhọc lắm ư ?
又耕蟠海山,得銀一小甕,因名之曰金銀田.	lại cày ở núi bàn hải , được một hũ nhỏ bạc , nhân đó đặt tên là ruộng kim ngân .
𮗓對曰:本朝提封萬里,列郡,四地有坦夷,亦有險阻此一方,何足微遠.	giác đáp : " bản triều cõi bờ muôn dặm , các quận có đến bốn trăm , đất có chỗ bằng phẳng , cũng có chỗ hiểm trở , một phương này lấy gì làm xa " .
丁亥,八年,[宋雍四年].	đinh hợi , năm thứ tám , tống ung hy năm thứ bốn ) .
法師於把掉次韻示之曰:白毛鋪綠水,紅棹擺青波.	pháp sư dương cầm chèo , theo vần làm nối đưa cho giác xem : bạch mao phô lục thuỷ , hồng trạo bãi thanh ba .
稱,帝受制盡恭,饗禮甚厚,日以珍奇之物庭實旅百,示其富饒.	vua nhận chế rất kính , lễ thết đãi rất hậu , hàng ngày đem những thứ quý lạ bày chật cả sân , để tỏ sự giàu có .
熙春,帝初耕籍田于隊山,得金一小甕.	múa xuân , vua lần đầu cày ruộng tịch điền ở núi đọi được một hũ nhỏ vàng .
時會有两鵝浮水面中,𮗓喜吟云:鵝鵝两鵝鵝,仰面向天涯.	lúc ấy nhân có hai con ngỗng lội trên mặt nước , giác vui ngâm rằng : nga nga lưỡng nga nga , ngưỡng diện hướng thiên nha .
至󰀋寺,帝遣法師名順假爲江令迎之.	khi giác đến chùa sách giang , vua sai pháp sư tên là thuận giả làm người coi sông ra đón .
其撫夷落,對揚王休].	vỗ yên man di bộ lạc , tuyên dương đức tốt vương triều ) .
𮗓益奇之,及󰆕舘,以詩遺之曰:幸遇明時賛盛䣭,一身二度使.	giác càng lấy làm lạ , khi về đến sứ quán , làm thơ gửi tặng : hạnh ngộ minh đông đô lưỡng biệt tâm vưu luyến , nam việt thiên trùng vọng vị hưu .
馬踏煙雲穿浪石,車辭青嶂泛長流.	mã đạp yên vân xuyên lãng thạch , xa từ thanh chướng phiếm trường lưu .
恩如宋報聘,仍言占城人蒲羅遏率其族百餘人内附.	ân sang đáp lễ nhà tống và nói về việc người chiêm thành là bồ la át đem hơn trăm người họ xin nội phụ .
𮗓甚善文談.	giác rất thích nói chuyện văn thơ .
以郭君辨,趙奉勳還之.	vua cho gọi sư ngô khuông việt đến xem .
順以詩献.	thuận đem thơ này dâng lên .
交州,東都两别心尤恋,南越千重望未休.	đem bọn quách quân biện , triệu phụng huân trả cho về .
天外有天應遠照,溪潭波静見蟾秋.	khê đàm ba tĩnh kiến thiềm thu .
帝召贈吳匡越觀之,匡越曰:"此詩尊陛下與其主無異".	nhà tống lại sai lý giác sang .
宋復遣李𮗓來.	

Paragraph 82
帝遣牙内指揮使丁承正以船九艘,率三百人出太平軍迎之,由海口入,經半月至白騰江,乘潮而行.	vua sai nha nội chỉ huy sứ là đinh thừa , chính đem chín chiếc thuyền dẫn ba trăm người đến quân thái bình đón , theo cửa biển mà vào , nửa tháng đến sông bạch đằng , theo nước triều mà đi .
封太子鍮爲擎天大王,皇弟二子銀錫爲東城王,皇弟三子鉞爲南封王.	phong thái tử thau làm kình thiên đại vương , hoàng tử thứ hai là ngân tích làm dông thành vương , hoàng tử thứ ba là việt làm nam phong vương .
献北人,通經史,常從征伐爲軍師,及勸進,謀議國事,有大功,帝以腹心委之,至是卒.	hiến là người bắc , thông hiểu kinh sử , thường theo các cuộc chinh phạt làm quân sư , cùng là khuyên vua lên ngôi , mưu bàn việc nước , có công lớn , vua tin dùng như tâm phúc , đến đây chết .
化宋遣左正言宋鎬,右正言王世則賫制󰀋加封帝"特進".	nhà tống sai tả chính ngôn là tống cảo , hữu chính ngôn là vương thế tắc mang chế sách sang phong thêm cho vua hai chữ là " đặc tiến " .
是歲,宋帝改元,遣户部員外郎魏庠,直史舘李度賫制󰀋加帝檢校太尉.	năm ấy , vua tống đổi niên hiệu , sai hộ bộ viên ngoại lang là nguỵ tường và trực sử quán là lý độ mang chế sách sang gia phong vua làm kiểm hiệu thái uý .
萬重山水涉滄浪,九天󰆕路長;情慘切,對離觴,攀恋使星郎,願將深意爲邊疆,分明奏我皇.	khi giác từ biệt ra về , vua sai khuông việt làm bài hát để tiễn , lời rằng : tường quang phong hảo cẩm phàm trương , dao vọng thần tiên phục đế hương .
時帝遣管甲進禄徵驩,愛二州税,進禄率二州人附于占城.	bấy giờ vua sai viên quảng giáp là tiến lộc đi thu thuế hai châu hoan và ái , tiến lộc đem người hai châu ấy xin theo về với chiêm thành .
拱春正月,改元,大赦.	mùa xuân , tháng giêng , đổi niên hiệu đại xá .
己丑,興統元年,[宋端二年].	canh dần , năm thứ hai ( tống thuần hoá năm thứ nhất ) .
伐驩愛,追捕進禄,殺州人不可勝紀.	vua nghe tin , đem các quân đến đánh châu hoan , châu ái , đuổi bắt được tiến lộc và giết người hải châu ấy không biết bao nhiêu mà kể .
楊進祿以驩,愛二州叛.	dương tiến lộc lấy hai châu hoan , ái làm phản .
帝親征,進禄伏誅.	vua thân đi đánh , tiến lộc bị giết .
俱尸利呵呻排麻羅.	là câu thi lị ha thân bài ma la .
戊子,九年,[宋端元年].	ký sửu , / hưng thống / năm thứ nhất / chín trăm tám mươi chín / , ( tống đoan củng năm thứ hai ) .
帝嘉其意,後遺之.	vua khen ý thơ , tặng cho rất hậu .
太師洪献卒.	thái sư hồng hiến chết .
占城不納.	chiêm thành không nhận .
𮗓辭󰆕,詔匡越制曲以餞,其辭曰:祥光風好錦帆張,遙望神僊復帝鄕.	vạn trùng sơn thuỷ thiệp thương lang , khuông việt nói : " thơ này tôn bệ hạ không khác gì vua tống " .
帝聞之,率諸軍.	
庚寅,二年[宋淳元年].	

Paragraph 83
夏,六月,許占城人領取地哩舊城人三百六十餘歸烏哩州[地哩.	mùa hạ , tháng sáu , cho người chiêm thành nhận lĩnh hơn ba trăm sáu mươi người ở thành cũ châu địa lý đem về châu
帝謂鎬曰:"後有國信,當於界首交割,毋頗使君至此".	vua bảo cảo rằng : " sau này có quốc thư thì cho giao nhận ở đầu địa giới , khỏi phiền sứ thần đến tận đây nữa " .
封皇第四子釘爲禦蛮王,居峯州,皇第六子釿爲禦北王,居扶蘭寨.	phong hoàng tử thứ tư là đinh làm ngự man vương , đóng ở phong châu , hoàng tử thứ sáu là cân làm ngự bắc vương , đóng ở trại phù lan .
後乃設宴筵行饗禮.	sau đó bày yến tiệc thết đãi .
至明德門,帝奉制書置殿上不拜,詭言近歲與蛮冦接戰,塗馬傷足.	đến cửa minh đức , vua bưng chế thư để lên trên điện , không lạy , nói dối là năm vừa rồi đi đánh giặc man , bị ngã ngựa đau chân .
封皇第五子鋌爲開明王,居藤州.	phong hoàng tử thứ năm là đĩnh làm khai minh vương , đóng ở đằng châu .
春,正月,帝御乾元殿觀燈.	mùa xuân , tháng giêng , vua ngự điện càn nguyên xem đèn .
壬辰,四年,[宋淳化三年].	nhâm thìn , năm thứ bốn , ( tống thuần hoá năm thứ ba ) .
[按本國無宣華山,盖是宋徵終南種放,惑併徵華山陳摶而史誤以爲我國事?	( xét nước ta không có núi tuyên hoa , có lẽ là việc nhà tống triệu chủng phóng ở núi chung nam , hoặc có triệu cả trần đoàn ở hoa sơn mà sử chép lầm là việc nước ta ?
不然陳先生盛名後世𡸈無傳乎?	nếu không phải thế , thì sao tiếng tăm của trần tiên sinh không truyền lại đời sau ?
春,二月,遣陶勤如宋報聘.	mùa xuân , tháng hai , sai đào cần sang nhà tống thăm đáp lễ .
秋,九月,至長州奈征驛.	mùa thu , tháng chín , đến trạm nại chinh ở trường châu .
辛卯,三年[宋淳化二年].	tân mão , năm thứ ba , ( tốn thuần hoá năm thứ hai ) .
帝郊迎耀之,以舟師戰俱.	vua ra ngoài giao để đón , bày thuỷ quân và chiến cụ để khoe .
宣華山陳先生詣闕.	trần tiên sinh ở núi tuyên hoa đến cửa khuyết .
華山雲臺觀陳摶所居也].	vân đài quán ở hoa sơn là nơi ở của trần đoàn ) .
宋帝�之.	cảo về tâu , vua tống bằng lòng .
鎬歸以聞,.	dưới chữ " tuyên " ngờ có sót chữ " triệu " .
按㘘偕行.	
漏召字.	
	vua cầm cương ngựa cùng đi với sứ thần .

Paragraph 84
封皇第七子鏦爲定藩王,居五縣江,司營城;皇第八子𨪙爲傅王,居杜洞江;皇第九子鏡爲中國王,居乾沱,末連縣.	phong hoàng tử thứ bảy là tung làm định phiên vương , đóng ở thành tư doanh , ngũ huyện giang ; hoàng tử thứ tám là tương làm phó vương , đóng ở đỗ động giang , hoàng tử thứ chín là kính làm trung quốc vương , đóng ở càn đà huyện mạt liên .
史臣吳士連曰:國君奉宗廟,守社稷,不幸無嗣則擇宗室子育爲以子,將以傳之無窮,則有之矣,未聞有義兒也.	sai nha hiệu là phí sùng đức sang nhà tống sử thần ngô sĩ liên nói : vua một nước , thờ tông miếu , giữ xã tắc , chẳng may không có con nối thì chọn con của người tông thất nuôi làm con mình , để mong truyền mãi không cùng , thế thì cũng có , chứ chưa thấy vua nào có con nuôi .
春,正月,改元.	mùa xuân , tháng giêng , đổi niên hiệu .
封皇第十一子鍉[即明提]爲行軍王,居北岸古覽州;義兒爲扶帶王,居扶󰅾鄕.	phong hoàng tử thứ mười một là đề ( tức minh đề ) làm hành quân vương , đóng ở bắc ngạn châu cổ lãm ; con nuôi làm phù đái vương , đóng ở hương phù đái .
秋,八月,命輔國吳子安率三萬人開陸路自南界至地哩.	mùa thu , tháng tám , sai phụ quốc ngô tử an đem ba vạn người đi mở đường bộ từ cửa biển nam giới đến châu địa lý .
時宋憚於征役,帝負山海險固,稍縱邊民侵掠宋境.	bấy giờ nhà tống ngại việc chinh chiến , vua cậy có núi biển hiểm trở , hơi buông thả cho dân biên giới lấn cướp vào cõi của nhà tống .
封皇第十子鋩爲南國王,居武瀧州.	phong hoàng tử thừ mười là mang làm nam quốc vương , đóng ở châu vũ lung .
春,二月,己未,朔,日食.	mùa xuân , tháng hai , ngày kỷ mùi , mồng một , nhật thực .
先是,占城國使制冬献方物,帝責其違禮,拒之.	trước đây , nước chiêm thành sai chế đông dâng sản vật địa phương , vua trách là trái lễ , không nhận .
國王惧,遣制荄入朝.	vua nước đó sợ , mới sai chế cai vào chầu .
