Paragraph 0
第八十一回急兄仇张飞遇害雪弟恨先主兴兵	Đệ bát thập nhất hồi cấp huynh cừu trương phi ngộ hại tuyết đệ hận tiên chủ hưng binh
”坚辞不受。	" Kiên từ bất thụ.
祎曰：“丞相若不受职，拂了天子之意，又冷淡了将士之心。	Y thụ chức, phất liễu thiên tử chi ý, hựu lãnh đạm liễu tướng sĩ chi tâm.
宜且权受。	Nghi thả quyền thụ.
”孔明方才拜受。	" Khổng minh phương tài bái thụ.
祎辞去。	Y từ khứ. sao dám nhận chức thừa tướng

Paragraph 193
孔明见司马懿不出，思得一计，传令教各处皆拔寨而起。	Khổng minh kiến Tư Mã ý bất xuất, tư đắc nhất kế, truyền lệnh giáo các xử giai bạt trại nhi khởi.
当有细作报知司马懿，说孔明退兵了。	Đương hữu tế tác báo tri Tư Mã ý, thuyết khổng minh thối binh liễu.
懿曰：“孔明必有大谋，不可轻动。	Ý viết: "Khổng minh tất hữu đại mưu, bất khả khinh động.
”张郃曰：“此必因粮尽而回，如何不追？	" Trương cáp viết: "Thử tất nhân lương tẫn nhi hồi, như hà bất truy?
”懿曰：“吾料孔明上年大收，今又麦熟，粮草丰足；虽然转运艰难，亦可支吾半载，安肯便走？	" Ý viết: "Ngô liêu khổng minh thượng niên đại thu, kim hựu mạch thục, lương thảo phong túc; tuy nhiên chuyển vận gian nan, diệc khả chi ngô bán tái, an khẳng tiện tẩu?
彼见吾连日不战，故作此计引诱。	Bỉ kiến ngô liên nhật bất chiến, cố tác thử kế dẫn dụ.
可令人远远哨之。	Khả lệnh nhân viễn viễn tiếu chi.
”军士探知，回报说：“孔明离此三十里下寨。	" Quân sĩ tham tri, hồi báo thuyết: "Khổng minh li thử tam thập lí hạ trại.
”懿曰：“吾料孔明果不走。	" Ý viết: "Ngô liêu khổng minh quả bất tẩu.
且坚守寨栅，不可轻进。	Thả kiên thủ trại sách, bất khả khinh tiến.
”住了旬日，绝无音信，并不见蜀将来战。	" Trụ liễu tuần nhật, tuyệt vô âm tín, tịnh bất kiến thục tương lai chiến.
懿再令人哨探，回报说：“蜀兵已起营去了。	Ý tái lệnh nhân tiếu tham, hồi báo thuyết: "Thục binh dĩ khởi doanh khứ liễu.
懿回营谓张郃曰：“此乃孔明之计也，不可追赶。	" Ý trương cáp viết: "Thử nãi khổng minh chi kế dã, bất khả truy cản.
”又住了旬日，再令人哨探。	" Hựu trụ liễu tuần nhật, tái lệnh nhân tiếu tham.
回报说：“蜀兵又退三十里下寨。	Hồi báo thuyết: "Thục binh hựu thối tam thập lí hạ trại.
”郃曰：“孔明用缓兵之计，渐退汉中，都督何故怀疑，不早追之？	" Cáp viết: "Khổng minh dụng hoãn binh chi kế, tiệm thối hán trung, đô đốc hà cố hoài nghi, bất tảo truy chi?
郃愿往决一战！	Cáp nguyện vãng quyết nhất chiến!
”懿曰：“孔明诡计极多，倘有差失，丧我军之锐气。	" Ý viết: "Khổng minh quỷ kế cực đa, thảng hữu sai thất, tang ngã quân chi nhuệ khí.
不可轻进。	Bất khả khinh tiến.
”郃曰：“某去若败，甘当军令。	" Cáp viết: "Mỗ khứ nhược bại, cam đương quân lệnh.
”懿曰：“既汝要去，可分兵两枝：汝引一枝先行，须要奋力死战；吾随后接应，以防伏兵。	" Ý viết: "Kí nhữ yếu khứ, khả phân binh lưỡng chi: nhữ dẫn nhất chi tiên hành, tu yếu phấn lực tử chiến; ngô tùy hậu tiếp ứng, dĩ phòng phục binh.
汝次日先进，到半途驻扎，后日交战，使兵力不乏。	Nhữ thứ nhật tiên tiến, đáo bán đồ trú trát, hậu nhật giao chiến, sử binh lực bất phạp.
”遂分兵已毕。	" toại phân binh dĩ tất. bao với Trương Cáp rằng: - Đây là mẹo Khổng Minh, không nên đuổi theo.

Paragraph 194
次日，张郃、戴陵引副将数十员、精兵三万，奋勇先进，到半路下寨。	Thứ nhật, trương cáp, đái lăng dẫn phó tướng sổ thập viên, tinh binh tam vạn, phấn dũng tiên tiến, đáo bán lộ hạ trại.
司马懿留下许多军马守寨，只引五千精兵，随后进发。	Tư Mã ý lưu hạ hứa đa quân mã thủ trại, chỉ dẫn ngũ thiên tinh Hôm sau Trương Cáp, Đái Lăng binh, tùy hậu tiến phát.
原来孔明密令人哨探，见魏兵半路而歇。	Nguyên lai khổng minh mật lệnh nhân tiếu tham, kiến ngụy binh bán lộ nhi hiết.
是夜，孔明唤众将商议曰：“今魏兵来追，必然死战，汝等须以一当十，吾以伏兵截其后：非智勇之将，不可当此任。	Thị dạ, khổng minh hoán chúng tướng thương nghị viết: "Kim ngụy binh lai truy, tất nhiên tử chiến, nhữ đẳng tu dĩ nhất đương thập, ngô dĩ phục binh tiệt kì hậu: phi trí dũng chi tương, bất khả đương thử nhâm.
”言毕，以目视魏延。	"Ngôn tất, dĩ mục thị ngụy duyên.
延低头不语。	Duyên đê đầu bất ngữ.
王平出曰：“某愿当之。	Vương bình xuất viết: "Mỗ nguyện đương chi.
”孔明曰：“若有失，如何？	" Khổng minh viết: "Nhược hữu thất, như hà?
”平曰：“愿当军令。	" Bình viết: "Nguyện đương quân lệnh.
”孔明叹曰：“王平肯舍身亲冒矢石，真忠臣也！	" Khổng minh thán viết: "Vương bình khẳng xá thân thân mạo thỉ thạch, chân trung thần dã!
虽然如此，奈魏兵分两枝前后而来，断吾伏兵在中；平纵然智勇，只可当一头，岂可分身两处？	Tuy nhiên như thử, nại ngụy binh phân lưỡng chi tiền hậu nhi lai, đoạn ngô phục binh tại trung; bình túng nhiên trí dũng, chỉ khả đương nhất đầu, khởi khả phân thân lưỡng xử?
须再得一将同去为妙。	Tu tái đắc nhất tương đồng khứ vi diệu.
怎奈军中再无舍死当先之人！	Chẩm nại quân trung tái vô xá tử đương tiên chi nhân!
”言未毕，一将出曰：“某愿往！	" Ngôn vị tất, nhất tương xuất viết: "Mỗ nguyện vãng!
”孔明视之，乃张翼也。	" Khổng minh thị chi, nãi trương dực dã.
孔明曰：“张郃乃魏之名将，有万夫不当之勇，汝非敌手。	Khổng minh viết: "Trương cáp nãi ngụy chi danh tương, hữu vạn phu bất đương chi dũng, nhữ phi địch thủ.
”翼曰：“若有失事，愿献首于帐下。	" Dực viết: "Nhược hữu thất sự, nguyện hiến thủ vu trướng hạ.
”孔明曰：“汝既敢去，可与王平各引一万精兵伏于山谷中；只待魏兵赶上，任他过尽，汝等却引伏兵从后掩杀。	" Khổng minh viết: tinh binh phục vu sơn cốc trung; chỉ đãi ngụy binh cản thượng, nhâm tha quá tẫn, nhữ đẳng khước dẫn phục binh tòng hậu yểm sát.
若司马懿随后赶来，却分兵两头：张翼引一军当住后队，王平引一军截其前队。	Nhược Tư Mã ý tùy hậu cản lai, khước phân binh lưỡng đầu: trương dực dẫn nhất quân đương trụ hậu đội, vương bình dẫn nhất quân tiệt kì tiền đội.
两军须要死战。	Lưỡng quân tu yếu tử chiến.
吾自有别计相助。	Ngô tự hữu biệt kế tương trợ.
”二人受计引兵而去。	" nhị nhân thụ kế dẫn binh nhi khứ. hang núi.

Paragraph 195
孔明又唤姜维、廖化分付曰：“与汝二人一个锦囊，引三千精兵，偃旗息鼓，伏于前山之上。	Khổng minh hựu hoán khương duy, liêu hóa phân phó viết: "Dữ nhữ nhị nhân nhất cá cẩm nang, dẫn tam thiên tinh binh, yển kì tức cổ, phục vu tiền sơn chi thượng.
如见魏兵围住王平、张翼，十分危急，不必去救，只开锦囊看视，自有解危之策。	Như kiến ngụy binh vi trụ vương bình, trương dực, thập phân nguy cấp, bất tất khứ cứu, chỉ khai cẩm nang khán thị, tự hữu giải nguy chi sách.
”二人受计引兵而去。	" Nhị nhân thụ kế dẫn binh nhi khứ.
又令吴班、吴懿、马忠、张嶷四将，附耳分付曰：“如来日魏兵到，锐气正盛，不可便迎，且战且走。	Hựu lệnh ngô ban, ngô ý, mã trung, trương nghi tứ tương, phụ nhĩ phân phó viết: "Như lai nhật ngụy binh đáo, nhuệ khí chánh thịnh, bất khả tiện nghênh, thả chiến thả tẩu.
只看关兴引兵来掠阵之时，汝等便回军赶杀，吾自有兵接应。	Chỉ khán quan hưng dẫn binh lai lược trận chi thời, nhữ đẳng tiện hồi quân cản sát, ngô tự hữu binh tiếp ứng.
”四将受计引兵而去。	" Tứ tương thụ kế dẫn binh nhi khứ.
又唤关兴分付曰：“汝引五千精兵，伏于山谷；只看山上红旗飐动，却引兵杀出。	Hựu hoán quan hưng phân phó viết: "Nhữ dẫn ngũ thiên tinh binh, phục vu sơn cốc; chỉ khán sơn thượng hồng kì triển động, khước dẫn binh sát xuất.
”兴受计引兵而去。	" Hưng thụ kế dẫn binh nhi khứ.

Paragraph 196
却说张郃、戴陵领兵前来，骤如风雨。	Khước thuyết trương cáp, đái lăng lĩnh binh tiền lai, sậu như phong vũ.
马忠、张嶷、吴懿、吴班四将接着，出马交锋。	Mã trung, trương nghi, ngô ý, ngô ban tứ tương tiếp trứ, xuất mã giao phong.
张郃大怒，驱兵追杀。	Trương cáp đại nộ, khu binh truy sát.
蜀兵且战且走，魏兵追赶约有二十余里，时值六月天气，十分炎热，人马汗如泼水。	Thục binh thả chiến thả tẩu, ngụy binh truy cản ước hữu nhị thập dư lí, thời trị lục nguyệt thiên khí, thập phân viêm nhiệt, nhân mã hãn như bát thủy.
走到五十里外，魏兵尽皆气喘。	Tẩu đáo ngũ thập lí ngoại, ngụy binh tẫn giai khí suyễn.
孔明在山上把红旗一招，关兴引兵杀出。	Khổng minh tại sơn thượng bả hồng kì nhất chiêu, quan hưng dẫn binh sát xuất.
马忠等四将，一齐引兵掩杀回来。	Mã trung đẳng tứ tương, nhất tề dẫn binh yểm sát hồi lai.
张郃、戴陵死战不退。	Trương cáp, đái lăng tử chiến bất thối.
忽然喊声大震，两路军杀出，乃王平、张翼也。	Hốt nhiên hảm thanh đại chấn, lưỡng lộ quân sát xuất, nãi vương bình, trương dực dã.
各奋勇追杀，截其后路。	Các phấn dũng truy sát, tiệt kì hậu lộ.
郃大叫众将曰：“汝等到此，不决一死战，更待何时！	Cáp đại khiếu chúng tướng viết: "Nhữ đẳng đáo thử, bất quyết nhất tử chiến, canh đãi hà thời!
”魏兵奋力冲突，不得脱身。	" Ngụy binh phấn lực xung đột, bất đắc thoát thân.
忽然背后鼓角喧天，司马懿自领精兵杀到。	Hốt nhiên bối hậu cổ giác huyên thiên, Tư Mã ý tự lĩnh tinh binh sát đáo.
懿指挥众将，把王平、张翼围在垓心。	Ý chỉ huy chúng tướng, bả vương bình, trương dực vi tại cai tâm.
翼大呼曰：“丞相真神人也！	Dực đại hô viết: "Thừa tương chân thần nhân dã!
计已算定，必有良谋。	Kế dĩ toán định, tất hữu lương mưu.
吾等当决一死战！	Ngô đẳng đương quyết nhất tử chiến!
”即分兵两路：平引一军截住张郃、戴陵，翼引一军力当司马懿。	" Tức phân binh lưỡng lộ: bình dẫn nhất quân tiệt trụ trương cáp, đái lăng, dực dẫn nhất quân lực đương Tư Mã ý.
两头死战，叫杀连天。	Lưỡng đầu tử chiến, khiếu sát liên thiên.
姜维、廖化在山上探望，见魏兵势大，蜀兵力危，渐渐抵当不住。	Khương duy, liêu hóa tại sơn thượng tham vọng, kiến ngụy binh thế đại, thục binh lực nguy, tiệm tiệm để đương bất trụ.
维谓化曰：“如此危急，可开锦囊看计。	Duy vị hóa viết: "Như thử nguy cấp, khả khai cẩm nang khán kế.
”二人拆开视之，内书云：“若司马懿兵来围王平、张翼至急，汝二人可分兵两枝，竟袭司马懿之营；懿必急退，汝可乘乱攻之。	" Nhị nhân sách khai thị chi, nội thư vân: "Nhược Tư Mã ý binh lai vi vương bình, trương dực chí cấp, nhữ nhị nhân khả phân binh lưỡng chi, cánh tập Tư Mã ý chi doanh; ý tất cấp thối, nhữ khả thừa loạn công chi.
营虽不得，可获全胜。	Doanh tuy bất đắc, khả hoạch toàn thắng.
”二人大喜，即分兵两路，径袭司马懿营中而去。	" Nhị nhân đại hỉ, tức phân binh lưỡng lộ, kính tập Tư Mã ý doanh trung nhi khứ.
原来司马懿亦恐中孔明之计，沿途不住的令人传报。	Nguyên lai Tư Mã ý diệc khủng trung khổng minh chi kế, duyên đồ bất trụ đích lệnh nhân truyền báo.
懿正催战间，忽流星马飞报，言蜀兵两路竟取大寨去了，懿大惊失色，乃谓众将曰：“吾料孔明有计，汝等不信，勉强追来，却误了大事！	Ý chánh thôi chiến gian, hốt lưu tinh mã phi báo, ngôn thục binh lưỡng lộ cánh thủ đại trại khứ liễu, ý đại kinh thất sắc, nãi vị chúng tướng viết: "Ngô liêu khổng minh hữu kế, nhữ đẳng bất tín, miễn cường truy lai, khước ngộ liễu đại sự!
”即提兵急回。	" Tức đề binh cấp hồi.
军心惶惶乱走。	Quân tâm hoàng hoàng loạn tẩu.
张翼随后掩杀，魏兵大败。张郃、戴陵见势孤，亦望山僻小路而走，蜀兵大胜。	Trương dực tùy hậu yểm sát, ngụy binh kiến thế cô, diệc vọng sơn tích tiểu lộ nhi tẩu, thục binh đại thắng.
背后关兴引兵接应诸路。	Bối hậu quan hưng dẫn binh tiếp ứng chư lộ.
司马懿大败一阵，奔入寨时，蜀兵已自回去。	Tư Mã ý đại bại nhất trận, bôn nhập trại thời, thục binh dĩ tự hồi khứ.
懿收聚败军，责骂诸将曰：“汝等不知兵法，只凭血气之勇，强欲出战，致有此败。	Ý thu tụ bại quân, trách mạ chư tướng viết: "Nhữ đẳng bất tri binh pháp, chỉ bằng huyết khí chi dũng, cường dục xuất chiến, trí hữu thử bại.
今后切不许妄动，再有不遵，决正军法！	Kim hậu thiết bất hứa vọng động, tái hữu bất tuân, quyết chánh quân pháp!
”众皆羞惭而退。	" Chúng giai tu tàm nhi thối.
这一阵，魏军死者极多，遗弃马匹器械无数。	Giá nhất trận, ngụy quân tử giả cực đa, di khí mã thất khí giới vô số.
却说孔明收得胜军马入寨，又欲起兵进取。	Khước thuyết khổng minh thu đắc thắng quân mã nhập trại, hựu dục khởi binh tiến thủ.
忽报有人自成都来，说张苞身死。	Hốt báo hữu nhân tự thành đô lai, thuyết trương bao thân tử.
孔明闻知，放声大哭，口中吐血，昏绝于地。	Khổng minh văn tri, phóng thanh đại khốc, khẩu trung thổ huyết, hôn tuyệt vu địa.
众人救醒。	Chúng nhân cứu tỉnh.
孔明自此得病卧床不起。	Khổng minh tự thử đắc bệnh ngọa sàng bất khởi.
诸将无不感激。	Chư tướng vô bất cảm kích.
后人有诗叹曰：“悍勇张苞欲建功，可怜天不助英雄！	Hậu nhân hữu thi thán viết: "Hãn dũng trương bao dục kiến công, khả liên thiên bất trợ anh hùng!
武侯泪向西风洒，为念无人佐鞠躬。	Võ hầu lệ hướng tây phong sái, vi niệm vô nhân tá cúc cung.
”	" trận, dẫn quân về trại thì quân

Paragraph 197
旬日之后，孔明唤董厥、樊建等入帐分付曰：“吾自觉昏沉，不能理事；不如且回汉中养病，再作良图。	Tuần nhật chi hậu, khổng minh hoán đổng quyết, phàn kiến đẳng nhập trướng phân phó viết: "Ngô tự giác hôn trầm, bất Được mươi hôm Khổng Minh gọi năng lí sự; bất như thả hồi hán trung dưỡng bệnh, tái tác lương đồ.
汝等切勿走泄：司马懿若知，必来攻击。	Nhữ đẳng thiết vật tẩu tiết: Tư Mã ý nhược tri, tất lai công kích.
”遂传号令，教当夜暗暗拔寨，皆回汉中。	"Toại truyền hiệu lệnh, giáo đương dạ ám ám bạt trại, giai hồi hán trung.
孔明去了五日，懿方得知，乃长叹曰：“孔明真有神出鬼没之计，吾不能及也！	Khổng minh khứ liễu ngũ nhật, ý phương đắc tri, nãi trường thán viết: "Khổng minh chân hữu thần xuất quỷ một chi kế, ngô bất năng cập dã!
”于是司马懿留诸将在寨中，分兵守把各处隘口；	" Vu thị Tư Mã ý lưu chư tướng tại trại trung, phân binh thủ bả các xử ải

Paragraph 198
却说孔明将大军屯于汉中，自回成都养病；文武官僚出城迎接，送入丞相府中，后主御驾自来问病，命御医调治，日渐痊可。	Khước thuyết khổng minh tương đại quân truân vu hán trung, tự hồi thành đô dưỡng bệnh; văn võ quan liêu xuất thành nghênh tiếp, tống nhập thừa tương phủ trung, hậu chủ ngự giá tự lai vấn bệnh, mệnh ngự y điều trì, nhật tiệm thuyên khả.
建兴八年秋七月，魏都督曹真病可，乃上表说：“蜀兵数次侵界，屡犯中原，若不剿除，必为后患。	Kiến hưng bát niên thu thất nguyệt, ngụy đô đốc tào chân bệnh khả, nãi thượng biểu thuyết: "Thục binh sổ thứ xâm giới, lũ phạm trung nguyên, nhược bất tiễu trừ, tất vi hậu hoạn.
今时值秋凉，人马安闲，正当征伐。	Kim thời trị thu lương, nhân mã an nhàn, chánh đương chinh phạt.
臣愿与司马懿同领大军，径入汉中，殄灭奸党，以清边境。	Thần nguyện dữ Tư Mã ý đồng lĩnh đại quân, kính nhập hán trung, điễn diệt gian đảng, dĩ thanh biên cảnh.
”魏主大喜，问侍中刘晔曰：“子丹劝朕伐蜀，若何？	" Ngụy chủ đại hỉ, vấn thị trung lưu diệp viết: "Tử đan khuyến trẫm phạt thục, Khổng Minh đóng đại quân ở lại nhược hà?
”晔奏曰：“大将军之言是也。	" Diệp tấu viết: "Đại tướng quân chi ngôn thị dã.
今若不剿除，后必为大患。	Kim nhược bất tiễu trừ, hậu tất vi đại hoạn.
陛下便可行之。	Bệ hạ tiện khả hành chi.
睿点头。	Duệ điểm đầu.
晔出内回家，有众大臣相探，问曰：“闻天子与公计议兴兵伐蜀，此事如何？	Diệp xuất nội hồi gia, hữu chúng đại thần tương tham, vấn viết: "Văn thiên tử dữ công kế nghị hưng binh phạt thục, thử sự như hà?
”晔应曰：“无此事也。	" Diệp ứng viết: "Vô thử sự dã.
蜀有山川之险，非可易图；空费军马之劳，于国无益。	Thục hữu sơn xuyên chi hiểm, phi khả dịch đồ; không phí quân mã chi lao, vu quốc vô ích.
”众官皆默然而出。	" Chúng quan giai mặc nhiên nhi xuất.
杨暨入内奏曰：“昨闻刘晔劝陛下伐蜀；今日与众臣议，又言不可伐：是欺陛下也。	Dương kị nhập nội tấu viết: "Tạc văn lưu diệp khuyến bệ hạ phạt thục; kim nhật dữ chúng thần nghị, hựu ngôn bất khả phạt: thị khi bệ hạ dã.
陛下何不召而问之？	Bệ hạ hà bất triệu nhi vấn chi?
”睿即召刘晔入内问曰：“卿劝朕伐蜀；今又言不可，何也？	"Duệ tức triệu lưu diệp nhập nội vấn viết: "Khanh khuyến trẫm phạt thục; kim hựu ngôn bất khả, hà dã?
”晔曰：“臣细详之，蜀不可伐。	" Diệp viết: "Thần tế tường chi, thục bất khả phạt.
”睿大笑。	" Duệ đại tiếu.
少时，杨暨出内。	Thiểu thời, dương kị xuất nội.
晔奏曰：“臣昨日劝陛下伐蜀，乃国之大事，岂可妄泄于人？	Diệp tấu viết: "Thần tạc nhật khuyến bệ hạ phạt thục, nãi quốc chi đại sự, khởi khả vọng tiết vu nhân?
夫兵者，诡道也：事未发，切宜秘之。	Phu binh giả, quỷ đạo dã: sự vị phát, thiết nghi bí chi.
”睿大悟曰：“卿言是也。	"Duệ đại ngộ viết: "Khanh ngôn thị dã.
”自此愈加敬重。	"

Paragraph 199
旬日内，司马懿入朝，魏主将曹真表奏之事，逐一言之。	Tuần nhật nội, Tư Mã ý nhập Được mươi hôm, Tư Mã Ý vào triều, ngụy chủ tương tào chân biểu tấu chi sự, trục nhất ngôn chi.
懿奏曰：“臣料东吴未敢动兵，今日正可乘此去伐蜀。	Ý tấu viết: "Thần liêu đông ngô vị cảm động binh, kim nhật chánh khả thừa thử khứ phạt thục.
”睿即拜曹真为大司马、征西大都督，司马懿为大将军、征西副都督，刘晔为军师。	" Duệ tức bái tào chân vi đại Tư Mã, chinh tây đại đô đốc, Tư Mã ý vi đại tướng quân, chinh tây phó đô đốc, lưu diệp vi quân sư.
三人拜辞魏主，引四十万大兵，前行至长安，径奔剑阁，来取汉中。	Tam nhân bái từ ngụy chủ, dẫn tứ thập vạn đại binh, tiền hành chí trường an, kính bôn kiếm các, lai thủ hán trung.
其余郭淮、孙礼等，各取路而行。	Kì dư quách hoài, tôn lễ đẳng, các thủ lộ nhi hành.
汉中人报入成都。	Hán trung nhân báo nhập thành đô.
此时孔明病好多时，每日操练人马，习学八阵之法，尽皆精熟，欲取中原；听得这个消息，遂唤张嶷、王平分付曰：“汝二人先引一千兵去守陈仓古道，以当魏兵；吾却提大兵便来接应。	Thử thời khổng minh bệnh hảo đa thời, mỗi nhật thao luyện nhân mã, tập học bát trận chi pháp, tẫn giai tinh thục, dục thủ trung nguyên; thính đắc giá cá tiêu tức, toại hoán trương nghi, vương bình phân phó viết: "Nhữ nhị nhân tiên dẫn nhất thiên binh khứ thủ trần thương cổ đạo, dĩ đương ngụy binh; ngô khước đề đại binh tiện lai tiếp ứng.
”二人告曰：“人报魏军四十万，诈称八十万，声势甚大，如何只与一千兵去守隘口？	" Nhị nhân cáo viết: "Nhân báo ngụy quân tứ thập vạn, trá xưng bát thập vạn, thanh thế thậm đại, như hà chỉ dữ nhất thiên binh khứ thủ ải khẩu?
倘魏兵大至，何以拒之？	Thảng ngụy binh đại chí, hà dĩ cự chi?
”孔明曰：“吾欲多与，恐士卒辛苦耳。	" Khổng minh viết: "Ngô dục đa dữ, khủng sĩ tốt tân khổ nhĩ.
”嶷与平面面相觑，皆不敢去。	" Nghi dữ bình diện diện tướng thứ, giai bất cảm khứ.
”二人又哀告曰：“丞相欲杀某二人，就此清杀，只不敢去。	" Nhị nhân hựu ai cáo viết: "Thừa tương dục sát mỗ nhị nhân, tựu thử thanh sát, chỉ bất cảm khứ.
”孔明笑曰：“何其愚也！	" Khổng minh tiếu viết: "Hà kì ngu dã!
吾令汝等去，自有主见：吾昨夜仰观天文，见毕星廛于太阴之分，此月内必有大雨淋漓；魏兵虽有四十万，安敢深入山险之地？	Ngô lệnh nhữ đẳng khứ, tự hữu chủ kiến: ngô tạc dạ ngưỡng quan thiên văn, kiến tất tinh triền vu thái âm chi phân, thử nguyệt nội tất hữu đại vũ lâm li; ngụy binh tuy hữu tứ thập vạn, an cảm thâm nhập sơn hiểm chi địa?
因此不用多军，决不受害。	Nhân thử bất dụng đa quân, quyết bất thụ hại.
吾将大军皆在汉中安居一月，待魏兵退，那时以大兵掩之：以逸待劳，吾十万之众可胜魏兵四十万也。	Ngô tương đại quân giai tại hán trung an cư nhất nguyệt, đãi ngụy binh thối, na thời dĩ đại binh yểm chi: dĩ dật đãi lao, ngô thập vạn chi chúng khả thắng ngụy binh tứ thập vạn dã.
”二人听毕，方大喜，拜辞而去。	"Nhị nhân thính tất, phương đại hỉ, bái từ nhi khứ.
孔明随统大军出汉中，传令教各处隘口，预备干柴草料细粮，俱够一月人马支用，以防秋雨；将大军宽限一月，先给衣食，伺候出征。	Khổng minh tùy thống đại quân xuất hán trung, truyền lệnh giáo các xử ải khẩu, dự bị can sài thảo liêu tế lương, câu cú nhất nguyệt nhân mã chi dụng, dĩ phòng thu vũ; tương đại quân khoan hạn nhất nguyệt, tiên cấp y thực, tý hậu xuất chinh.
却说曹真、司马懿同领大军，径到陈仓城内，不见一间房屋；寻土人问之，皆言孔明回时放火烧毁。	Khước thuyết tào chân, Tư Mã ý đồng lĩnh đại quân, kính đáo trần thương thành nội, bất kiến nhất gian phòng ốc; tầm thổ nhân vấn chi, giai ngôn khổng minh hồi thời phóng hỏa thiêu hủy.
曹真便要从陈仓道进发。	Tào chân tiện yếu tòng trần thương đạo tiến phát.
懿曰：“不可轻进。	Ý viết: "Bất khả khinh tiến.
我夜观天文，见毕星躔于太阴之分，此月内必有大雨；若深入重地，常胜则可。	Ngã dạ quan thiên văn, kiến tất tinh triền vu thái hữu đại vũ; nhược thâm nhập trọng địa, thường thắng tắc khả.
倘有疏虞，人马受苦，要退则难。	Thảng hữu sơ ngu, nhân mã thụ khổ, yếu thối tắc nan.
且宜在城中搭起窝铺住扎，以防阴雨。	Thả nghi tại thành trung đáp khởi oa phô trụ trát, dĩ phòng âm vũ.
”真从其言。	" Chân tòng kì ngôn.
未及半月，天雨大降，淋漓不止。	Vị cập bán nguyệt, thiên vũ đại hàng, lâm li bất chỉ.
陈仓城外，平地水深三尺，军器尽湿，人不得睡，昼夜不安。	Trần thương thành ngoại, bình địa thủy thâm tam xích, quân khí tẫn thấp, nhân bất đắc thụy, trú dạ bất an.
大雨连降三十日，马无草料，死者无数，军士怨声不绝。	Đại vũ liên hàng tam thập nhật, mã vô thảo liêu, tử giả vô số, quân sĩ oán thanh bất tuyệt.
传入洛阳，魏主设坛，求晴不得。	Truyền nhập lạc dương, ngụy chủ thiết đàn, cầu tình bất đắc.
黄门侍郎王肃上疏曰：“前志有之；千里馈粮，士有饥色；樵苏后爨，师不宿饱。	Hoàng môn thị lang vương túc thượng sơ viết: "Tiền chí hữu chi; thiên lí quỹ lương, sĩ hữu cơ sắc; tiều tô hậu thoán, sư bất túc bão.
此谓平途之行军者也。	Thử vị bình đồ chi hành quân giả dã.
又况于深入险阻，凿路而前，则其为劳，必相百也。	Hựu huống vu thâm nhập hiểm trở, tạc lộ nhi tiền, tắc kì vi lao, tất tương bách dã.
今又加之以霖雨，山坂峻滑，众逼而不展，粮远而难继：实行军之大忌也。	Kim hựu gia chi dĩ lâm vũ, sơn phản tuấn hoạt, chúng bức nhi bất triển, lương viễn nhi nan kế: thật hành quân chi đại kị dã.
闻曹真发已逾月，而行方半谷，治道功大，战士悉作：是彼偏得以逸待劳，乃兵家之所惮也。	Văn tào chân phát dĩ du nguyệt, nhi hành phương bán cốc, trì đạo công đại, chiến sĩ tất tác: thị bỉ thiên đắc dĩ dật đãi lao, nãi binh gia chi sở đạn dã.
言之前代，则武王伐纣，出关而复还；	Ngôn chi tiền đại, tắc võ vương phạt trụ, xuất quan nhi phục hoàn; luận chi thông vu quyền biến giả tai?
愿陛下念水雨艰剧之故，休息士卒；后日有衅，乘时用之。	Nguyện bệ hạ niệm thủy vũ gian kịch chi cố, hưu tức sĩ tốt; hậu nhật hữu hấn, thừa thời dụng chi.
所谓悦以犯难，民忘其死者也。	Sở vị duyệt dĩ phạm nan, dân vong kì tử giả dã.
”魏主览表，正在犹豫，杨阜、华歆亦上疏谏。	" ngụy chủ lãm biểu, chánh tại do dự, dương phụ, hoa hâm diệc thượng sơ gián.
魏主即下诏，遣使诏曹真、司马懿还朝。	Ngụy chủ tức hạ chiếu, khiển sử chiếu tào chân, Tư Mã ý hoàn triều. công phu.

Paragraph 200
却说曹真与司马懿商议曰：“今连阴三十日，军无战心，各有思归之意，如何禁止？	Khước thuyết tào chân dữ Tư Mã ý thương nghị viết: "Kim liên âm tam thập nhật, quân vô chiến tâm, các hữu tư quy chi ý, như hà cấm chỉ?
”懿曰：“不如且回。	" Ý viết: "Bất như thả hồi.
”真曰：“倘孔明追来，怎生退之？	" chân viết: "Thảng khổng minh truy lai, chẩm sinh thối chi?
”懿曰：“先伏两军断后，方可回兵。	" Ý viết: "Tiên phục lưỡng quân đoạn hậu, phương khả hồi binh.
