Paragraph 0
第四十一回刘玄德携民渡江赵子龙单骑救主	Đệ tứ thập nhất hồi lưu huyền đức huề dân độ giang triệu tử long đan kỵ cứu chủ
以统之计，莫若来日设宴，请季玉赴席；于壁衣中埋伏刀斧手一百人，主公掷杯为号，就筵上杀之；一拥入成都，刀不出鞘，弓不上弦，可坐而定也。	Dĩ thống chi kế, mạc nhược lai nhật thiết yến, thỉnh quý ngọc phó tịch; vu bích y trung mai phục đao phủ thủ nhất bách nhân, chúa công trịch bôi vi hào, tựu diên thượng sát chi; nhất ủng nhập thành đô, đao bất xuất sao, cung bất thượng huyền, khả tọa nhi định dã.
”	"

Paragraph 273
玄德曰：“季玉是吾同宗，诚心待吾；更兼吾初到蜀中，恩信未立；若行此事，上天不容，下民亦怨。	Huyền đức viết: "Quý ngọc thị ngô đồng tông, thành tâm đãi ngô; canh kiêm ngô sơ đáo thục trung, ân tín vị lập; nhược hành thử sự, thượng thiên bất dung, hạ dân diệc oán.
公此谋，虽霸者亦不为也。	Công thử mưu, tuy bá giả diệc bất vi dã.
”统曰：“此非统之谋，是法孝直得张松密书，言事不宜迟，只在早晚当图之。	" Thống viết: "Thử phi thống chi mưu, thị pháp hiếu trực đắc trương tùng mật thư, ngôn sự bất nghi trì, chỉ tại tảo vãn đương đồ chi.
”	"

Paragraph 274
言未已，法正入见，曰：“某等非为自己，乃顺天命也。	Ngôn vị dĩ, pháp chánh nhập kiến, viết: "Mỗ đẳng phi vi tự kỷ, nãi thuận thiên mệnh dã.
”玄德曰：“刘季玉与吾同宗，不忍取之。	" Huyền đức viết: "Lưu quý ngọc dữ ngô đồng tông, bất nhẫn thủ chi.
”正曰：“明公差矣。	" Chánh viết: "Minh công sai hĩ.
若不如此，张鲁与蜀有杀母之仇，必来攻取。	Nhược bất như thử, trương lỗ dữ thục hữu sát mẫu chi cừu, tất lai công thủ.
明公远涉山川，驱驰士马，既到此地，进则有功，退则无益。	Minh công viễn thiệp sơn xuyên, khu trì sĩ mã, kí đáo thử địa, tiến tắc hữu công, thối tắc vô ích.
若执狐疑之心，迁延日久，大为失计。	Nhược chấp hồ nghi chi tâm, thiên duyên nhật cửu, đại vi thất kế.
且恐机谋一泄，反为他人所算。	Thả khủng cơ mưu nhất tiết, phản vi tha nhân sở toán.
不若乘此天与人归之时，出其不意，早立基业，实为上策。	Bất nhược thừa thử thiên dữ nhân quy chi thời, xuất kì bất ý, tảo lập cơ nghiệp, thật vi thượng sách.
”	"

Paragraph 275
庞统亦再三相劝。	Bàng thống diệc tái tam tương khuyến.
正是：人主几番存厚道，才臣一意进权谋。	Chánh thị: nhân chủ kỉ phiên tồn hậu đạo, tài thần nhất ý tiến quyền mưu.
未知玄德心下如何，且看下文分解。第六十一回赵云截江夺阿斗孙权遗书退老瞒	Vị tri huyền đức tâm hạ như hà, thả khán hạ văn phân giải Đệ lục thập nhất hồi triệu vân tiệt giang đoạt a đấu tôn quyền di thư thối lão man

Paragraph 276
却说庞统、法正二人，劝玄德就席间杀刘璋，西川唾手可得。	Khước thuyết bàng thống, pháp chánh nhị nhân, khuyến huyền đức tựu tịch gian sát lưu chương, tây xuyên thóa thủ khả đắc.
玄德曰：“吾初入蜀中，恩信未立，此事决不可行。	Huyền đức viết: "Ngô sơ nhập thục trung, ân tín vị lập, thử sự quyết bất khả hành.
”二人再三说之，玄德只是不从。	" Nhị nhân tái tam thuyết chi, huyền đức chỉ thị bất tòng.
次日，复与刘璋宴于城中，彼此细叙衷曲，情好甚密。	Thứ nhật, phục dữ lưu chương yến vu thành trung, bỉ thử tế tự trung khúc, tình hảo thậm mật.
酒至半酣，庞统与法正商议曰：“事已至此，由不得主公了。	Tửu chí bán hàm, bàng thống dữ pháp chánh thương nghị viết: "Sự dĩ chí thử, do bất đắc chúa công liễu.
”便教魏延登堂舞剑，乘势杀刘璋。	" Tiện giáo ngụy duyên đăng đường vũ kiếm, thừa thế sát lưu chương.
延遂拔剑进曰：“筵间无以为乐，愿舞剑为戏。	Duyên toại bạt kiếm tiến viết: "Diên gian vô dĩ vi nhạc, nguyện vũ kiếm vi hí.
”庞统便唤众武士入，列于堂下，只待魏延下手。	" Bàng thống tiện hoán chúng võ sĩ nhập, liệt vu đường hạ, chỉ đãi ngụy duyên hạ thủ.
刘璋手下诸将，见魏延舞剑筵前，又见阶下武士手按刀靶，直视堂上，从事张任亦掣剑舞曰：“舞剑必须有对，某愿与魏将军同舞。	Lưu chương thủ hạ chư tướng, kiến ngụy duyên vũ kiếm diên tiền, hựu kiến giai hạ võ sĩ thủ án đao bá, trực thị đường thượng, tòng sự trương nhâm diệc xế kiếm vũ viết: "Vũ kiếm tất tu hữu đối, mỗ nguyện dữ ngụy Bàng Thống, Pháp Chính hai tướng quân đồng vũ.
”二人对舞于筵前。	" Nhị nhân đối vũ vu diên tiền.
魏延目视刘封，封亦拔剑助舞。	Ngụy duyên mục thị lưu phong, phong diệc bạt kiếm trợ vũ.
于是刘璝、泠苞、邓贤各掣剑出曰：“我等当群舞，以助一笑。	Vu thị lưu quý, linh bao, đặng hiền các xế kiếm xuất viết: "Ngã đẳng đương quần vũ, dĩ trợ nhất tiếu.
”玄德大惊，急掣左右所佩之剑，立于席上曰：“吾兄弟相逢痛饮，并无疑忌。	" Huyền đức đại kinh, cấp xế tả hữu sở bội chi kiếm, lập vu tịch thượng viết: "Ngô huynh đệ tương phùng thống ẩm, tịnh vô nghi kị.
又非鸿门会上，何用舞剑？	Hựu phi hồng môn hội thượng, hà dụng vũ kiếm?
不弃剑者立斩！	Bất khí kiếm giả lập trảm!
”刘璋亦叱曰：“兄弟相聚，何必带刀？	" Lưu chương diệc sất viết: "Huynh đệ tương tụ, hà tất đái đao?
”命侍卫者尽去佩剑。	" Mệnh thị vệ giả tẫn khứ bội kiếm.
众皆纷然下堂。	Chúng giai phân nhiên hạ đường.
玄德唤诸将士上堂，以酒赐之，曰：“吾弟兄同宗骨血，共议大事，并无二心。	Huyền đức hoán chư tướng sĩ thượng đường, dĩ tửu tứ chi, viết: "Ngô đệ huynh đồng tông cốt huyết, cộng nghị đại sự, tịnh vô nhị tâm.
汝等勿疑。	Nhữ đẳng vật nghi.
”诸将皆拜谢。	" Chư tướng giai bái tạ.
刘璋执玄德之手而泣曰：“吾兄之恩，誓不敢忘！	Lưu chương chấp huyền đức chi thủ nhi khấp viết: "Ngô huynh chi ân, thệ bất cảm vong!
”二人欢饮至晚而散。	" Nhị nhân hoan ẩm chí vãn nhi tán.
玄德归寨，责庞统曰：“公等奈何欲陷备于不义耶？	Huyền đức quy trại, trách bàng thống viết: "Công đẳng nại hà dục hãm bị vu bất nghĩa da?
今后断勿为此。	Kim hậu đoạn vật vi thử.
”统嗟叹而退。	" Thống ta thán nhi thối.
却说刘璋归寨，刘璝等曰：“主公见今日席上光景乎？	Khước thuyết lưu chương quy trại, lưu quý đẳng viết: "Chúa công kiến kim nhật tịch thượng quang cảnh hồ?
不如早回，免生后患。	Bất như tảo hồi, miễn sinh hậu hoạn.
”众将曰：“虽玄德无此心，他手下人皆欲吞并西川，以图富贵。	Lưu Chúng tướng viết: "Tuy huyền đức vô thử tâm, tha thủ hạ nhân giai dục thôn tịnh tây xuyên, dĩ đồ phú quý.
”璋曰：“汝等无间吾兄弟之情。	" Chương viết: "Nhữ đẳng vô gian ngô huynh đệ chi tình.
”遂不听，日与玄德欢叙。	" Toại bất thính, nhật dữ huyền đức hoan tự. cũng muốn nuốt ngay Tây Thục

Paragraph 277
忽报张鲁整顿兵马，将犯葭萌关。	Hốt báo trương lỗ chỉnh đốn binh mã, tương phạm gia manh quan.
刘璋便请玄德往拒之。	Lưu chương tiện thỉnh huyền đức vãng cự chi.
玄德慨然领诺，即日引本部兵望葭萌关去了。	Huyền đức khái nhiên lĩnh nặc, tức nhật dẫn bổn bộ binh vọng gia manh quan khứ liễu.
众将劝刘璋令大将紧守各处关隘，以防玄德兵变。	Chúng tướng khuyến lưu chương lệnh đại tướng khẩn thủ các xử quan ải, dĩ phòng huyền đức binh biến.
璋初时不从，后因众人苦劝，乃令白水都督杨怀、高沛二人，守把涪水关。	Chương sơ thời bất tòng, hậu nhân chúng nhân khổ khuyến, nãi lệnh bạch thủy đô đốc dương hoài, cao phái nhị nhân, thủ bả phù thủy quan.
刘璋自回成都。	Lưu chương tự hồi thành đô.
玄德到葭萌关，严禁军士，广施恩惠，以收民心。	Huyền đức đáo gia manh quan, nghiêm cấm quân sĩ, quảng thi ân huệ, dĩ thu dân tâm.

Paragraph 278
早有细作报入东吴。	Tảo hữu tế tác báo nhập đông ngô.
吴侯孙权会文武商议。	Ngô hầu tôn quyền hội văn võ thương nghị.
顾雍进曰：“刘备分兵远涉山险而去，未易往还。	Cố ung tiến viết: "Lưu bị phân binh viễn thiệp sơn hiểm nhi khứ, vị dịch vãng hoàn.
何不差一军先截川口，断其归路，后尽起东吴之兵，一鼓而下荆襄？	Hà bất sai nhất quân tiên tiệt xuyên khẩu, đoạn kì quy lộ, hậu tẫn khởi đông ngô chi binh, nhất cổ nhi hạ Có người báo tin ấy sang Đông kinh tương?
此不可失之机会也。	Thử bất khả thất chi cơ hội dã.
”权曰：“此计大妙！	" Quyền viết: "Thử kế đại diệu!
”正商议间，忽屏风后一人大喝而出曰：“进此计者可斩之！	" Chánh thương nghị gian, hốt bình phong hậu nhất nhân đại hát nhi xuất viết: "Tiến thử kế giả khả trảm chi!
欲害吾女之命耶！	Dục hại ngô nữ chi mệnh da!
”众惊视之，乃吴国太也。	" Chúng kinh thị chi, nãi ngô quốc thái dã.
国太怒曰：“吾一生惟有一女，嫁与刘备。	Quốc thái nộ viết: "Ngô nhất sinh duy hữu nhất nữ, giá dữ lưu bị.
今若动兵，吾女性命如何！	Kim nhược động binh, ngô nữ tính mệnh như hà!
”因叱孙权曰：“汝掌父兄之业，坐领八十一州，尚自不足，乃顾小利而不念骨肉！	" Nhân sất tôn quyền viết: "Nhữ chưởng phụ huynh chi nghiệp, tọa lĩnh bát thập nhất châu, thượng tự bất túc, nãi cố tiểu lợi nhi bất niệm cốt nhục!
”孙权喏喏连声，答曰：“老母之训，岂敢有违！	" Tôn quyền nhạ nhạ liên thanh, đáp viết: "Lão mẫu chi huấn, khởi cảm hữu vi!
”遂叱退众官。	" Toại sất thối chúng quan.
国太恨恨而入。	Quốc thái hận hận nhi nhập.
孙权立于轩下，自思：“此机会一失，荆襄何日可得？	Tôn quyền lập vu hiên hạ, tự tư: "Thử cơ hội nhất thất, kinh tương hà nhật khả đắc?
”正沉吟间，只见张昭入问曰：“主公有何忧疑？	" Chánh trầm ngâm gian, chỉ kiến trương chiêu nhập vấn viết: "Chúa công hữu hà ưu nghi?
”孙权曰：“正思适间之事。	" Tôn quyền viết: "Chánh tư thích gian chi sự.
”张昭曰：“此极易也：今差心腹将一人，只带五百军。	" Trương chiêu viết: "Thử cực dịch dã: kim sai tâm phúc tương nhất nhân, chỉ đái ngũ bách quân.
潜入荆州，下一封密书与郡主，只说国太病危，欲见亲女，取郡主星夜回东吴。	Tiềm nhập kinh châu, hạ nhất phong mật thư dữ quận chủ, chỉ thuyết quốc thái bệnh nguy, dục kiến thân nữ, thủ quận chủ tinh dạ hồi đông ngô.
那时玄德定把荆州来换阿斗。	Huyền đức bình sinh châu lai hoán a đấu.
如其不然，一任动兵，更有何碍？	Như kì bất nhiên, nhất nhâm động binh, canh hữu hà ngại?
”权曰：“此计大妙！	"Quyền viết: "Thử kế đại diệu!
吾有一人，姓周，名善，最有胆量。	Ngô hữu nhất nhân, tính chu, danh thiện, tối hữu đảm lượng.
自幼穿房入户，多随吾兄。	Tự ấu xuyên phòng nhập hộ, đa tùy ngô huynh.
今可差他去。	Kim khả sai tha khứ.
”昭曰：“切勿漏泄。	" Chiêu viết: "Thiết vật lậu tiết.
只此便令起行。	Chỉ thử tiện lệnh khởi hành.
”于是密遣周善将五百人，扮为商人，分作五船；更诈修国书，以备盘诘；船内暗藏兵器。	" Vu thị mật khiển chu thiện tương ngũ bách nhân, phẫn vi thương nhân, phân tác ngũ thuyền; canh trá tu quốc thư, dĩ bị bàn cật; thuyền nội ám tàng binh khí.
周善领命，取荆州水路而来。	Chu thiện lĩnh mệnh, thủ kinh châu thủy lộ nhi lai.
船泊江边，善自入荆州，令门吏报孙夫人。	Thuyền bạc giang biên, thiện tự nhập kinh châu, lệnh môn lại báo tôn phu nhân.
夫人命周善入。	Phu nhân mệnh chu thiện nhập.
善呈上密书。	Thiện trình thượng mật thư.
夫人见说国太病危，洒泪动问。	Phu nhân kiến thuyết quốc thái bệnh nguy, sái lệ động vấn.
周善拜诉曰：“国太好生病重，旦夕只是思念夫人。	Chu thiện bái tố viết: "Quốc thái hảo sinh bệnh trọng, đán tịch chỉ thị tư niệm phu nhân.
倘去得迟，恐不能相见。	Thảng khứ đắc trì, khủng bất năng tương kiến.
就教夫人带阿斗去见一面。	Tựu giáo phu nhân đái a đấu khứ kiến nhất diện.
”夫人曰：“皇叔引兵远出，我今欲回，须使人知会军师，方可以行。	" Phu nhân viết: "Hoàng thúc dẫn binh viễn xuất, ngã kim dục hồi, tu sử nhân tri hội quân sư, phương khả dĩ hành.
”周善曰：“若军师回言道：须报知皇叔，候了回命，方可下船，如之奈何？	" Chu thiện viết: "Nhược quân sư hồi ngôn đáo: tu báo tri hoàng thúc, hậu liễu hồi mệnh, phương khả hạ thuyền, như chi nại hà?
”夫人曰：“若不辞而去，恐有阻当。”周善曰：“大江之中，已准备下船只。	"Phu nhân viết: "Nhược bất từ Chu thiện viết: "Đại giang chi trung, dĩ chuẩn bị hạ thuyền chỉ.
只今便请夫人上车出城。	Chỉ kim tiện thỉnh phu nhân thượng xa xuất thành.
”孙夫人听知母病危急，如何不慌？	" Tôn phu nhân thính tri mẫu bệnh nguy cấp, như hà bất hoảng?
便将七岁孩子阿斗，载在车中；随行带三十余人，各跨刀剑，上马离荆州城，便来江边上船。	Tiện tương thất tuế hài tử a đấu, tái tại xa trung; tùy hành đái tam thập dư nhân, các khóa đao kiếm, thượng mã li kinh châu thành, tiện lai giang biên thượng thuyền.
府中人欲报时，孙夫人已到沙头镇，下在船中了。	Phủ trung nhân dục báo thời, tôn phu nhân dĩ đáo sa đầu trấn, hạ tại thuyền trung liễu. cản trở.

Paragraph 279
周善方欲开船，只听得岸上有人大叫：“且休开船，容与夫人饯行！	Chu thiện phương dục khai thuyền, chỉ thính đắc ngạn thượng hữu nhân đại khiếu: "Thả hưu khai thuyền, dung dữ phu nhân tiễn hành!
”视之，乃赵云也。	" Thị chi, nãi triệu vân dã.
原来赵云巡哨方回，听得这个消息，吃了一惊，只带四五骑，旋风般沿江赶来。	Nguyên lai triệu vân tuần tiếu phương hồi, thính đắc giá cá tiêu tức, cật liễu nhất kinh, chỉ đái tứ ngũ kỵ, toàn phong bàn duyên giang cản lai.
周善手执长戈，大喝曰：“汝何人，敢当主母！	Chu thiện thủ chấp trường qua, đại hát viết: "Nhữ hà nhân, cảm đương chủ mẫu!
”叱令军士一齐开船，各将军器出来，摆列在船上。	" Sất lệnh quân sĩ nhất tề khai thuyền, các tướng quân khí xuất lai, bãi liệt tại thuyền thượng.
风顺水急，船皆随流而去。	Phong thuận thủy cấp, thuyền giai tùy lưu nhi khứ.
赵云沿江赶叫：“任从夫人去。	Triệu vân duyên giang cản khiếu: "Nhâm tòng phu nhân khứ.
只有一句话拜禀。	Chỉ hữu nhất cú thoại bái Chu Thiện sắp sửa bơi thuyền đi, bẩm.
”周善不睬，只催船速进。	" Chu thiện bất thải, chỉ thôi thuyền tốc tiến.
赵云沿江赶到十余里，忽见江滩斜缆一只渔船在那里。	Triệu vân duyên giang cản đáo thập dư lí, hốt kiến giang than tà lãm nhất chỉ ngư thuyền tại na lí.
赵云弃马执枪，跳上渔船。	Triệu vân khí mã chấp thương, khiêu thượng ngư thuyền.
只两人驾船前来，望着夫人所坐大船追赶。	Chỉ lưỡng nhân giá thuyền tiền lai, vọng trứ phu nhân sở tọa đại thuyền truy cản.
周善教军士放箭。	Chu thiện giáo quân sĩ phóng tiễn.
赵云以枪拨之，箭皆纷纷落水。	Triệu vân dĩ thương bát chi, tiễn giai phân phân lạc thủy.
离大船悬隔丈余，吴兵用枪乱刺。	Li đại thuyền huyền cách trượng dư, ngô binh dụng thương loạn thứ.
赵云弃枪在小船上，掣所佩青釭剑在手，分开枪搠，望吴船涌身一跳，早登大船。	Triệu vân khí thương tại tiểu thuyền thượng, xế sở bội thanh công kiếm tại thủ, phân khai thương sóc, vọng ngô thuyền dũng thân nhất khiêu, tảo đăng đại thuyền.
吴兵尽皆惊倒。	Ngô binh tẫn giai kinh đảo.
赵云入舱中，见夫人抱阿斗于怀中，喝赵云曰：“何故无礼！	Triệu vân nhập thương trung, kiến phu nhân bão a đấu vu hoài trung, hát triệu vân viết: "Hà cố vô lễ!
”云插剑声喏曰：“主母欲何往？	" Vân sáp kiếm thanh nhạ viết: "Chủ mẫu dục hà vãng?
何故不令军师知会？	Hà cố bất lệnh quân sư tri hội?
”夫人曰：“我母亲病在危笃，无暇报知。	" Phu nhân viết: "Ngã mẫu thân bệnh tại nguy đốc, vô hạ báo tri.
”云曰：“主母探病，何故带小主人去？	" Vân viết: "Chủ mẫu tham bệnh, hà cố đái tiểu chủ nhân khứ?
”夫人曰：“阿斗是吾子，留在荆州，无人看觑。	" Phu nhân viết: "A đấu thị ngô tử, lưu tại kinh châu, vô nhân khán thứ.
”云曰：“主母差矣。	" Vân viết: "Chủ mẫu sai hĩ.
主人一生，只有这点骨血，小将在当阳长坂坡百万军中救出，今日夫人却欲抱将去，是何道理？	Chủ nhân nhất sinh, chỉ hữu giá điểm cốt huyết, tiểu tướng tại đương dương trường phản pha bách vạn quân trung cứu xuất, kim nhật phu nhân khước dục bão tương khứ, thị hà đạo lí?
”夫人怒曰：“量汝只是帐下一武夫，安敢管我家事！	" Phu nhân nộ viết: "Lượng nhữ chỉ thị trướng hạ nhất võ phu, an cảm quản ngã gia sự!
”云曰：“夫人要去便去，只留下小主人。	" Vân viết: "Phu nhân yếu khứ tiện khứ, chỉ lưu hạ tiểu chủ nhân.
”夫人喝曰：“汝半路辄入船中，必有反意！	" Phu nhân hát viết: "Nhữ bán lộ triếp nhập thuyền trung, tất hữu phản ý!
”云曰：“若不留下小主人，纵然万死，亦不敢放夫人去。	" Vân viết: "Nhược bất lưu hạ tiểu chủ nhân, túng nhiên vạn tử, diệc bất cảm phóng phu nhân khứ.
”夫人喝侍婢向前揪捽，被赵云推倒，就怀中夺了阿斗，抱出船头上。	" Phu nhân hát thị tì hướng tiền thu tốt, bị triệu vân thôi đảo, tựu hoài trung đoạt liễu a đấu, bão xuất thuyền đầu thượng.
欲要傍岸，又无帮手；欲要行凶，又恐碍于道理：进退不得。	Dục yếu bàng ngạn, hựu vô bang thủ; dục yếu hành hung, hựu khủng ngại vu đạo lí: tiến thối bất đắc.
夫人喝侍婢夺阿斗，赵云一手抱定阿斗，一手仗剑，人不敢近。	Phu nhân hát thị tì đoạt a đấu, triệu vân nhất thủ bão định a đấu, nhất thủ trượng kiếm, nhân bất cảm cận.
周善在后梢挟住舵，只顾放船下水。	Chu thiện tại hậu sao hiệp trụ đà, chỉ cố phóng thuyền hạ thủy.
风顺水急，望中流而去。	Phong thuận thủy cấp, vọng trung lưu nhi khứ.
赵云孤掌难鸣，只护得阿斗，安能移舟傍岸。	Triệu vân cô chưởng nan minh, chỉ hộ đắc a

Paragraph 280
正在危急，忽见下流头港内一字儿使出十余只船来，船上磨旗擂鼓。	Chánh tại nguy cấp, hốt kiến hạ lưu đầu cảng nội nhất tự nhi sử xuất thập dư chỉ thuyền lai, thuyền thượng ma kì lôi cổ.
赵云自思：“今番中了东吴之计！	Triệu vân tự tư: "Kim phiên trung liễu đông ngô chi kế!
”只见当头船上一员大将，手执长矛，高声大叫：“嫂嫂留下侄儿去！	" Chỉ kiến đương đầu thuyền thượng nhất viên đại tướng, thủ chấp Bỗng nhiên ở dưới hạ lưu, có độ trường mâu, cao thanh đại khiếu: "Tẩu tẩu lưu hạ chất nhi khứ!
”原来张飞巡哨，听得这个消息，急来油江夹口，正撞着吴船，急忙截住。	" Nguyên lai trương phi tuần tiếu, thính đắc giá cá tiêu tức, cấp lai du giang giáp khẩu, chánh chàng trứ ngô thuyền, cấp mang tiệt trụ.
当下张飞提剑跳上吴船。	Đương hạ trương phi đề kiếm khiêu thượng ngô thuyền.
周善见张飞上船，提刀来迎，被张飞手起一剑砍倒，提头掷于孙夫人前。	Chu thiện kiến trương phi thượng thuyền, đề đao lai nghênh, bị trương phi thủ khởi nhất kiếm khảm đảo, đề đầu trịch vu tôn phu nhân tiền.
夫人大惊曰：“叔叔何故无礼？	Phu nhân đại kinh viết: "Thúc thúc hà cố vô lễ?
”张飞曰：“嫂嫂不以俺哥哥为重，私自归家，这便无礼！	" Trương phi viết: "Tẩu tẩu bất dĩ yêm ca ca vi trọng, tư tự quy gia, giá tiện vô lễ!
”夫人曰：“吾母病重，甚是危急，若等你哥哥回报，须误了我事。	" Phu nhân viết: "Ngô mẫu bệnh trọng, thậm thị nguy cấp, nhược đẳng nhĩ ca ca hồi báo, tu ngộ liễu ngã sự.
若你不放我回去，我情愿投江而死！	Nhược nhĩ bất phóng ngã hồi khứ, ngã tình nguyện đầu giang nhi tử!
”张飞与赵云商议：“若逼死夫人，非为臣下之道。	" Trương phi dữ triệu vân thương nghị: "Nhược bức tử phu nhân, phi vi thần hạ chi đạo.
只护着阿斗过船去罢。	Chỉ hộ trứ a đấu quá thuyền khứ bãi.
”乃谓夫人曰：“俺哥哥大汉皇叔，也不辱没嫂嫂。	" Nãi vị phu nhân viết: "Yêm ca ca đại hán hoàng thúc, dã bất nhục một tẩu tẩu.
今日相别，若思哥哥恩义，早早回来。	Kim nhật tương biệt, nhược tư ca ca ân nghĩa, tảo tảo hồi lai.
”说罢，抱了阿斗，自与赵云回船，放孙夫人五只船去了。	" Thuyết bãi, bão liễu a đấu, tự dữ triệu vân hồi thuyền, phóng tôn phu nhân ngũ chỉ thuyền khứ liễu.
后人有诗赞子龙曰：“昔年救主在当阳，今日飞身向大江。船上吴兵皆胆裂，子龙英勇世无双！	Hậu nhân hữu thi tán tử long viết: "Tích niên cứu chủ tại đương thượng ngô binh giai đảm liệt, tử long anh dũng thế vô song!
”又有诗赞翼德曰：“长坂桥边怒气腾，一声虎啸退曹兵。	" Hựu hữu thi tán dực đức viết: "Trường phản kiều biên nộ khí đằng, nhất thanh hổ khiếu thối tào binh.
今朝江上扶危主，青史应传万载名。	Kim triều giang thượng phù nguy chủ, thanh sử ứng truyền vạn tái danh.
”	" anh dũng tiếng đồn vang Lại có

Paragraph 281
二人欢喜回船。	Nhị nhân hoan hỉ hồi thuyền.
行不数里，孔明引大队船只接来，见阿斗已夺回，大喜。	Hành bất sổ lí, khổng minh dẫn đại đội thuyền chỉ tiếp lai, kiến a đấu dĩ đoạt hồi, đại hỉ.
三人并马而归。	Tam nhân tịnh mã nhi quy.
孔明自申文书往葭萌关，报知玄德。	Khổng minh tự thân văn thư vãng gia manh quan, báo tri huyền đức.
却说孙夫人回吴，具说张飞、赵云杀了周善，截江夺了阿斗。	Khước thuyết tôn phu nhân hồi ngô, cụ thuyết trương phi, triệu vân sát liễu chu thiện, tiệt giang đoạt liễu a đấu.
孙权大怒曰：“今吾妹已归，与彼不亲，杀周善之仇，如何不报！	Tôn quyền đại nộ viết: "Kim ngô muội dĩ quy, dữ bỉ bất thân, sát chu thiện chi cừu, như hà bất báo!
”唤集文武，商议起军攻取荆州。	" Hoán tập văn võ, thương nghị khởi quân công thủ kinh châu.
正商议调兵，忽报曹操起军四十万来报赤壁之仇。	Chánh thương nghị điều binh, hốt báo tào thao khởi quân tứ thập vạn lai báo xích bích chi cừu.
孙权大惊，且按下荆州，商议拒敌曹操。	Tôn quyền đại kinh, thả án hạ kinh châu, thương nghị cự địch tào thao.
人报长史张纮辞疾回家，今已病故，有哀书上呈。	Nhân báo trường sử trương hoành từ tật hồi gia, kim dĩ bệnh cố, hữu ai thư thượng trình.
权拆视之，书中劝孙权迁居秣陵，言秣陵山川有帝王之气，可速迁于此，以为万世之业。	Quyền sách thị chi, thư trung khuyến tôn quyền thiên cư mạt lăng, ngôn mạt lăng sơn xuyên hữu đế vương chi khí, khả tốc thiên vu thử, dĩ vi vạn thế chi nghiệp.
孙权览书大哭，谓众官曰：“张子纲劝吾迁居秣陵，吾如何不从！	Tôn quyền lãm thư đại khốc, vị chúng quan viết: "Trương tử cương khuyến ngô thiên cư mạt lăng, ngô như hà bất tòng!
”即命迁治建业，筑石头城。	" Tức mệnh thiên trì kiến nghiệp, trúc thạch đầu thành.
吕蒙进曰：“曹操兵来，可于濡须水口筑坞以拒之。	Lữ mông tiến viết: "Tào thao binh lai, khả vu nhu tu thủy khẩu trúc ổ dĩ cự chi.
”诸将皆曰：“上岸击贼，跣足入船，何用筑城？	" Chư tướng giai viết: "Thượng ngạn kích tặc, tiển túc nhập thuyền, hà dụng trúc thành?
”蒙曰：“兵有利钝，战无必胜。	" Mông viết: "Binh hữu lợi độn, chiến vô tất thắng.
如猝然遇敌，步骑相促，人尚不暇及水，何能入船乎？	Như thốt nhiên ngộ địch, bộ kỵ tương xúc, nhân thượng bất hạ cập thủy, hà năng nhập thuyền hồ?
”权曰：“人无远虑，必有近忧。	" Quyền viết: "Nhân vô viễn lự, tất hữu cận ưu.
子明之见甚远。	Tử minh chi kiến thậm viễn.
”便差军数万筑濡须坞。	" Tiện sai quân sổ vạn trúc nhu tu ổ.
晓夜并工，刻期告竣。	Hiểu dạ tịnh công, khắc kì cáo thuân.

Paragraph 282
却说曹操在许都，威福日甚。	Khước thuyết tào thao tại hứa đô, uy phúc nhật thậm.
长史董昭进曰：“自古以来，人臣未有如丞相之功者，虽周公、吕望，莫可及也。	Trường sử đổng chiêu tiến viết: "Tự cổ dĩ lai, nhân thần vị hữu như thừa tương chi công giả, tuy chu công, lữ vọng, mạc khả cập dã.
栉风沐雨，三十余年，扫荡群凶，与百姓除害，使汉室复存。	Trất phong mộc vũ, tam thập dư niên, tảo đãng quần hung, dữ bách tính trừ hại, sử hán thất phục tồn.
岂可与诸臣宰同列乎？	Khởi khả dữ chư thần tể đồng liệt hồ?
合受魏公之位，加九锡以彰功德。	Hợp thụ ngụy công chi vị, gia cửu tích dĩ chương công đức.
