第 三 篇 道 德	THIÊN THỨ 3 : ĐẠO ĐỨC
文 子 云 : 有 功 而 離 仁 義 者 即 見 疑 有 罪 不 失 仁 心 者 必 見 信 故 仁 義 者 事 之 常 順 也 天 下 之 尊 爵 也 雖 謀 得 計 當 慮 患 而 患 解 圖 國 而 國 存 其 事 有 離 仁 義 者 其 功 必 不 遂 矣 。	Sách Văn Tử viết : Có công lao mà lìa nhân-nghĩa thì liền bị nghi ngờ, có tội mà không mất đi lòng nhân từ ắt được tín nhiệm. Vậy nhân-nghĩa là đạo thường nên thuận theo, là danh tước tôn quý của thiên-hạ. Dù có được mưu kế thích đáng, để lo toan giải trừ những tai họa trước mắt, hay suy tính cho đất nước trường tồn những công việc đó nếu lìa nhân-nghĩa thì dù có thành tích ắt sẽ không được toại nguyện vậy.
傅 子 云 : 開 至 公 之 路 秉 至 平 之 心 執 大 象 而 致 之 亦 云 誠 而 已 矣 夫 任 誠 天 地 可 感 而 況 於 人 乎 。	Sách Phó Tử viết : Mở đến con đường công bằng, giữ vững tấm lòng bình đẳng, thi hành hình mẫu lớn đến cùng, chỉ có chân thành mà thôi vậy. Dốc lòng chân thành thì trời đất cảm động huống hồ là người !.
傅 子 云 : 夫 為 人 上 竭 至 誠 開 信 以 待 下 則 懷 信 者 歡 然 而 樂 進 不 信 者 赧 然 而 回 意 矣 。	Sách Phó Tử viết : Thường người làm bậc trên, mà dốc hết lòng chân thành, mở ra thành-tín để đối đãi cấp dưới thì người bụng thành-tín sẽ tự nhiên vui vẻ mà giúp sức, không thành-tín tự nhiên thẹn đỏ mặt mà (cấp dưới không) hồi đáp ý kiến vậy.
典 語 云 : 君 之 任 臣 如 身 之 信 手 臣 之 事 君 亦 宜 如 手 之 繫 身 安 則 共 樂 痛 則 同 憂 其 上 下 協 心 以 治 世 事 不 俟 命 而 自 勤 不 求 容 而 自 親 何 則 相 信 之 忠 著 也 。	Sách Điển Ngữ viết : Vua tín nhiệm bề tôi, như thân tin tưởng tay. Bề tôi phụng sự vua lại nên như tay buộc với thân. An định thì chung vui, đau khổ thì cùng buồn. Đến trên dưới đồng tâm để trị lý việc thế-sự, thì chẳng đợi mệnh trời mà tự siêng năng, chẳng cầu vẻ mặt mà tự thân thiết là sao ?
論 語 云 : 子 張 問 行 子 曰 言 忠 信 行 篤 敬 雖 蠻 貊 之 邦 行 矣 言 不 忠 信 行 不 篤 敬 雖 州 里 行 乎 哉 子 張 書 諸 紳 。	là tin tưởng nhau hết lòng rõ rệt vậy. Sách Luận Ngữ viết : Thầy Tử-Trương hỏi về cách đi lại cho trót lọt. Đức Khổng-Tử đáp : “Lời nói trung-tín, làm việc dốc sức cung kính, tuy ở nước mọi rợ vẫn đi lại trót lọt. Lời nói chẳng trung-tín, làm việc chẳng dốc sức cung kính, tuy ở quê hương há đi lại trót lọt.” Thầy Tử-Trương liền chép hai điều ấy vào đai áo.
論 語 云 : 子 曰 人 而 無 信 不 知 其 可 也 大 車 無 輗 小 車 無 軏 其 何 以 行 之 哉 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : người mà không có chữ tín (ta) chẳng biết họ làm được gì. Như xe bò lớn không có nghê (đòn ngang máng bò), như xe ngựa nhỏ không có ngột (đòn cong máng ngựa), như vậy làm sao có thể đi được ?.
左 傳 云 : 信 不 可 知 義 無 所 立 。	Sách Tả Truyện viết : Chữ tín không được biết, đạo nghĩa không chổ đứng.
周 易 云 : 君 子 敬 以 直 內 義 以 方 外 敬 義 立 而 德 不 孤 。	Sách Chu Dịch viết : Người quân tử cung kính để lấy sự thẳng thắng bên trong, làm việc nghĩa để lấy sự vuông-vắn bên ngoài. Cung kính và làm việc nghĩa được gây dựng mà đạo đức không lẻ loi.
論 語 云 : 子 曰 茍 正 其 身 於 從 政 乎 何 有 不 能 正 其 身 如 正 人 何 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói nếu giữ thân mình chánh, thì theo làm chính trị có khó gì ?. Còn thân mình không chánh, thì sao làm người khác chánh được ?.
尸 子 云 : 天 覆 之 地 載 之 聖 人 治 之 聖 人 之 身 猶 日 也 夫 日 圓 尺 光 盈 天 地 聖 人 之 身 小 其 所 燭 遠 聖 人 正 己 而 四 方 治 矣 。	Sách Thi Tử viết : Trời che phủ, đất nâng đỡ, bậc thánh-nhân sửa trị. Bậc thánh-nhân như mặt trời, mặt trời nhìn tròn một thước đo, ánh sáng chiếu tràn đầy cả trời đất. Bậc thánh-nhân thân thể nhỏ, mà soi sáng đến xa, bậc thánh-nhân làm mình chánh đáng mà bốn phương an trị vậy.
漢 書 云 : 故 不 仁 愛 則 不 能 群 不 能 群 則 不 勝 物 不 勝 物 則 養 不 足 群 而 不 足 爭 心 將 作 上 聖 卓 然 先 行 敬 讓 博 愛 之 德 者 眾 心 悅 而 從 之 從 之 成 群 是 為 君 矣 歸 而 往 之 是 為 王 矣 。	Sách Hán Thư viết : Nên không có lòng nhân-ái thì không thể tụ hợp người, không thể tụ hợp người thì không thể thắng vạn vật (tự nhiên), không thể thắng vạn vật thì việc ăn uống không đầy đủ. Tụ hợp người mà không đầy đủ, lòng tranh nhau khởi lên, bậc thánh-nhân xưa kia rất cao siêu, nên trước thi hành đức kính-nhượng, bác-ái, nên lòng mọi người vui thích mà làm theo. Làm theo thì thành quần, thế rồi họ làm vua. Khắp nơi quy thuận, nhờ thế rồi họ làm đế-vương vậy.
尚 書 云 : 修 厥 身 允 德 協 於 下 惟 明 后 先 王 子 惠 困 窮 民 服 厥 命 罔 有 弗 悅 奉 先 思 孝 接 下 思 恭 視 遠 惟 明 聽 德 惟 聰 。	Sách Thượng Thư viết : Làm vua biết sửa mình, đức tốt hòa hiệp cả người dưới, ấy là vị vua sáng suốt. Xưa tiên-vương coi kẻ khốn cùng như con, hay gia ơn cho, dân đều cảm phục không ai không vui lòng. Thờ tổ tiên phải có hiếu, tiếp người dưới phải cung kính. Coi việc xa rất minh sát, nghe lời nói hay rất tinh thông.
漢 書 云 : 未 有 身 治 正 而 臣 下 邪 者 也 未 有 閨 門 治 而 天 下 亂 者 也 未 有 左 右 正 而 百 官 枉 者 也 未 有 功 賞 得 於 前 眾 賢 布 於 官 而 不 治 者 也 未 有 德 厚 吏 良 而 民 畔 者 也 。	Sách Hán Thư viết : Chưa có (vua) thân sửa chánh đáng mà bề tôi, cấp dưới gian tà. Chưa có chốn khuê-môn an trị mà thiên-hạ loạn. Chưa có người thân cận trái phải chánh đáng mà trăm quan cong quẹo. Chưa có việc người có công được thưởng ở trước mặt, nhiều người hiền được xếp đặt ở các chức quan mà nước không an trị. Chưa có (vị vua) đức dầy quan lại lương thiện mà dân chúng làm phản.
魏 志 云 : 救 寒 莫 如 重 裘 止 謗 莫 如 自 修 斯 言 信 矣 。	Sách Ngụy Chí viết : Ngăn cái lạnh chẳng gì bằng mặc nhiều áo lông cừu, ngừa phỉ báng chẳng gì bằng tự tu dưỡng. Đó là lời nói đáng tin vậy.
曾 子 云 : 君 子 己 善 亦 樂 人 之 善 也 己 能 亦 樂 人 之 能 也 君 子 好 人 之 為 善 而 弗 趍 惡 人 之 為 不 善 而 弗 疾 也 不 先 人 以 惡 不 疑 人 以 不 信 不 說 人 之 過 而 成 人 之 美 。	Sách Tăng Tử viết : Bản thân người quân-tử thiện thì cũng vui với cái thiện của người. Bản thân tài giỏi thì cũng vui với sự tài giỏi của người. Người quân-tử thích người làm thiện mà chẳng thúc giục, người làm việc bất thiện mà chẳng ghét giận. Chẳng trước người làm ác, chằng nghi người không thành thật, chẳng vui lỗi người, mà thành tựu cái tốt đẹp của người.
體 論 云 : 故 曰 記 人 之 功 忘 人 之 過 宜 為 君 者 也 人 有 厚 德 無 問 其 小 節 人 有 大 譽 無 訾 其 小 故 自 古 及 今 未 有 能 全 其 行 者 也 。	Sách Thể Luận viết : Nên nói nhớ công lao của người, quên lầm lỗi của người mới xứng đáng làm vua vậy. Người có đức dầy không hỏi những tiểu-tiết nhỏ nhặt, người có danh dự lớn không chỉ trích những cớ nhỏ nhặt. Từ xưa đến nay chưa ai có thể có hạnh tốt vẹn toàn cả.
袁 子 正 書 云 : 漢 高 祖 山 東 之 匹 夫 也 起 兵 之 日 天 下 英 賢 奔 走 而 歸 之 賢 士 輻 湊 而 樂 為 之 用 是 以 王 天 下 而 莫 之 能 禦 唯 其 以 簡 節 寬 大 受 天 下 之 物 故 也 。	Sách Viên Tử Chính Thư viết : Hán Cao Tổ (Lưu Bang) chỉ là một người bình thường ở đất Sơn-Đông. Khởi binh trong một ngày mà các bậc anh hùng hiền đức trong thiên-hạ chạy vội cùng đến quy phục. Các bậc hiền-sĩ cùng tụ hợp lại cùng vui, vì họ được trọng dụng. Nên ngài được làm vua thiên-hạ mà chẳng ai có thể ngăn cản được. Chỉ vì ngài dùng chính sách đơn giản, mở lòng để tiếp nhận các bậc hiền tài trong thiên-hạ vậy.
周 易 云 : 子 曰 勞 而 不 伐 有 功 而 不 德 厚 之 至 也 語 以 其 功 下 人 者 也 。	Sách Chu Dịch viết : Đức Khổng-Tử nói : Lao nhọc mà không khoe công, có công mà không nhận có đức, thật là đến chổ dầy dặn. Nói đến công của mình là kẻ hèn hạ vậy.
孔 子 家 語 云 : 子 路 進 曰 敢 問 持 滿 有 道 乎 子 曰 聰 明 睿 智 守 之 以 愚 功 被 天 下 守 之 以 讓 勇 力 振 世 守 之 以 怯 富 有 四 海 守 之 以 謙 此 所 謂 損 之 又 損 之 之 道 也 。	Sách Khổng Tử Gia Ngữ viết : Thầy Tử-Lộ tiến đến nói : xin hỏi nắm giữ sự viên mãn theo đạo là sao ?. Đức Khổng-Tử đáp : thông minh, hiểu biết giữ lấy sự ngu muội. Công cao khắp thiên-hạ giữ lấy sự khiêm nhượng. Dũng mãnh cái thế giữ lấy sự sợ sệt. Giàu có khắp cả bốn biển giữ lấy sự nhún nhường. Đó gọi là bớt rồi lại bớt đi theo đạo vậy.
抱 朴 子 云 : 蓋 勞 謙 虛 己 則 附 之 者 眾 驕 慢 倨 傲 則 去 之 者 多 矣 附 之 者 眾 則 安 之 徵 也 去 之 者 多 則 危 之 診 也 。	Sách Bão Phác Tử viết : Có công lao mà tự khiêm-hư thì người phụ giúp đông. Kiêu-mạn, ngang bướng thì người bỏ đi nhiều. Người phụ giúp đông thì điềm báo an ổn, người bỏ đi nhiều thì đoán là sắp nguy vong.
老 子 云 : 知 其 榮 守 其 辱 為 天 下 谷 。	Sách Lão Tử viết : Biết đó vinh, giữ đó nhục, làm cái hang cho thiên-hạ.
六 韜 云 : 夫 以 賢 而 為 人 下 何 人 不 與 以 貴 從 人 曲 直 何 人 不 得 。	Sách Lục Thao viết : Có tài đức mà làm như người hèn hạ, ai mà không theo ?.
魏 志 云 : 夫 能 屈 以 為 伸 讓 以 為 得 弱 以 為 強 鮮 不 遂 矣 。	Có địa vị cao quý mà lắng nghe theo lời đúng sai của người, ai mà không phục ?. Sách Ngụy Chí viết : Thường người có thể khuất phục để duỗi ra, khiêm nhượng để đạt được, nhu nhược để mạnh mẽ, ít khi không được thỏa lòng vậy.
抱 朴 子 云 : 自 尊 重 之 道 乃 在 乎 以 貴 下 賤 卑 以 自 牧 也 非 此 之 謂 也 乃 衰 薄 之 弊 俗 膏 盲 之 廢 疾 安 共 為 之 可 悲 者 也 。	Sách Ngụy Chí viết : Đạo lý của sự tự tôn-trọng, là ở chổ lấy sự tôn-quý đối với hèn-mọn, biết thấp kém để tự tu dưỡng mình. Còn sai trái cho đó là vậy, rồi suy kém tệ-tục, bị cao-manh đến tàn phế, cớ sao lại phải làm, thật bi ai vậy.
尚 書 云 : 能 自 得 師 者 王 謂 人 莫 己 若 者 亡 好 問 則 裕 自 用 則 小 。	Sách Thượng Thư viết : Có thể được thầy dạy bảo cho, thì làm vương. Tự cho mình không ai bằng, thì diệt vong. Thích học hỏi thì bụng dạ rộng rãi, tự đắc thì bụng dạ nhỏ nhen.
文 子 云 : 是 故 聰 明 廣 智 守 以 愚 多 聞 博 辨 守 以 儉 武 力 勇 毅 守 以 畏 富 貴 廣 大 守 以 狹 德 施 天 下 守 以 讓 此 五 者 先 王 所 以 守 天 下 也 。	Sách Văn Tử viết : Cho nên thông minh hiểu rộng thì giữ lấy sự ngu muội, nghe nhiều nói giỏi thì giữ lấy sự thiếu kém, mạnh mẽ cương nghị thì giữ lấy sự sợ sệt, giàu sang rộng lớn giữ lấy sự ít nhỏ, đức bố thí khắp thiên-hạ giữ lấy sự khiêm nhượng. Năm điều đó bậc tiên-vương dùng để giữ thiên-hạ vậy.
尚 書 云 : 人 心 惟 危 道 心 惟 微 惟 精 惟 一 允 執 厥 中 無 稽 之 言 勿 聽 夫 詢 之 謀 勿 庸 。	Sách Thượng Thư viết : Lòng người thiên về vật dục rất nguy hiểm, cái đạo nơi tâm thì kính đáo, chỉ một lòng chuyên nhất, giữ theo đạo trung dung. Những lời nói vu vơ không có căn cứ thì chớ nghe, những mưu tính không bàn bạc trước thì chớ dùng.
周 易 云 : 子 曰 君 子 居 其 室 出 其 言 善 則 千 里 之 外 應 之 況 其 邇 者 乎 居 其 室 出 其 言 不 善 則 千 里 之 外 違 之 況 其 邇 者 乎 言 出 乎 身 加 乎 民 行 發 乎 邇 見 乎 遠 言 行 君 子 之 樞 機 樞 機 之 發 榮 辱 之 主 也 言 行 君 子 之 所 以 動 天 地 可 不 慎 乎 。	Sách Chu Dịch viết : Đức Khổng-Tử nói : người quân-tử ở trong nhà nói ra một lời tốt thì ngoài ngàn dặm cũng hưởng ứng theo huống chi là gần sao ?, còn ở trong nhà nói ra một lời không tốt thì ngoài ngàn dặm cũng không theo huống chi là gần sao ?. Lời nói ở bản thân ra, dân chúng thêm vào, nói phát ra ở gần mà hiện ra xa. Lời nói là phần trọng yếu nhất của người quân-tử, phần trọng yếu phát ra là chủ của sự vinh nhục vậy.
毛 詩 云 : 無 競 維 人 四 方 其 訓 之 有 覺 德 行 四 國 順 之 敬 慎 威 儀 維 民 之 則 慎 爾 出 話 敬 爾 威 儀 無 不 柔 嘉 白 圭 之 玷 尚 可 磨 也 斯 言 之 玷 不 可 為 也 。	Lời nói của người quân tử có thể động đến trời đất, có thể không thận trọng sao ?. Sách Mao Thi viết : Chẳng ham hùng mạnh hay sao. Bốn phương thiên hạ nhìn vào cùng noi ?. Hễ có đức sáng soi thẳng thắn. Nước bốn phương đều hẳn thuận tùng. Kế to hiệu lệnh định xong. Mưu xa thời lệnh mọi vùng truyền đi. Kính trọng lấy uy nghi tốt đẹp. Mới làm nên khuôn phép toàn dân. Cẩn thận khi lời nói phát ra. Uy nghi cung kính sâu xa. Không gì lại chẳng được là đẹp thay. Ngọc bạch khuê bị trầy bị mẻ. Mài láng trơn có thể thành công. Lời sai lầm trót nói xong.
禮 記 云 : 子 曰 君 子 道 人 以 言 而 禁 人 以 行 故 言 必 慮 其 所 終 而 行 必 稽 其 所 弊 則 民 謹 於 言 而 慎 於 行 。	Chẳng làm gì được, răn lòng khắc ghi. Sách Lễ Ký viết : Đức Khổng-tử nói : bậc quân-tử lấy lời nói chỉ dẫn người, cấm người dùng hành động. Nên nói ắt phải lo đến kết cuộc, làm việc ắt xem xét đến sự tệ hại, thế thì dân cẩn thận lời nói và thận trọng làm việc.
抱 朴 子 云 : 激 電 不 能 追 既 往 之 失 辭 班 輪 不 能 磨 斯 言 之 既 玷 雖 不 能 三 思 而 吐 情 談 猶 可 息 謔 調 以 杜 禍 萌 也 。	Sách Bão Phác Tử viết : Tia chớp bắn ra không thể đuổi kịp lời nói sai, ông Ban-Luân không thể mài trắng lời nói lầm. Dù không thể suy nghĩ nhiều khi nói ra những lời thấu tình đạt lý, nhưng có thể ngưng những lời nói bỡn cợt để ngăn chặn tại họa mới manh nha.
漢 書 云 : 天 子 之 尊 四 海 之 內 其 義 莫 不 為 臣 然 而 養 三 老 於 大 學 舉 賢 以 自 輔 弼 求 修 正 之 士 使 直 諫 故 尊 養 三 老 示 孝 也 立 輔 弼 之 臣 者 恐 驕 也 置 直 諫 之 士 者 恐 不 得 聞 其 過 也 。	Sách Hán Thư viết : Thiên-tử tôn quý nhất trong bốn biển, nghĩa là không ai chẳng phải là bề tôi của họ. Nhưng họ phải phụng dưỡng bậc Tam-Lão ở trường Thái-Học, tiến cử người hiền để phò tá, tìm kẻ sĩ giúp trị lý để đưa ra lời can gián thẳng. Nên tôn trọng, phụng dưỡng bậc Tam-Lão là biểu thị hiếu vậy. Lập bề tôi (hiền) phò tá vì sợ tính kiêu ngạo vậy.
劉 廙 政 論 云 : 夫 為 政 者 輕 一 失 而 不 矜 之 猶 乘 無 轄 之 車 安 其 少 進 而 不 睹 其 頓 躓 之 患 也 夫 車 之 患 近 故 無 不 睹 焉 國 之 患 遠 故 無 不 忽 焉 知 其 體 者 夕 惕 若 厲 慎 其 愆 矣 。	Bố trí kẻ sĩ can gián là sợ không được nghe lỗi lầm (của mình) vậy. Sách Lưu Dực Chính Luận viết : Thường làm chính trị, khinh xuất một lỗi mà không cẩn thận thì như ngồi xe mà không có chốt, lúc an vui tiến lên ít, nên không trông thấy cái họa, để chỉnh đốn lại những trở ngại. Cái họa của xe thì gần, nên không ai chẳng thấy. Cái họa của quốc gia thì xa, nên không ai chẳng coi thường. Biết cái thể của nó, thì nên sớm hôm cảnh giác, giống như dũng mãnh giữ gìn (bảo vật) sợ mất đi vậy.
周 易 云 : 方 以 類 聚 物 以 群 分 吉 凶 生 矣 。	Sách Chu Dịch viết : Cùng loại thì tụ hợp nhau, vạn vật lấy đó để phân ra bầy đàn. Việc tốt xấu sinh ra vậy.
中 論 云 : 孔 子 曰 居 而 得 賢 友 福 之 次 也 。	Sách Trung Luận viết : Đức Khổng-Tử nói nơi sống mà có được bạn hiền đức là được phước tới vậy.
孫 卿 子 云 : 夫 人 雖 有 性 質 美 而 心 辨 智 必 求 賢 師 而 事 之 擇 賢 友 而 友 之 得 賢 師 而 事 之 則 所 聞 者 堯 舜 禹 湯 之 道 也 得 良 友 而 友 之 則 所 見 者 忠 信 敬 讓 之 行 也 身 日 進 於 仁 義 而 不 自 知 者 靡 使 然 也 。	Sách Tôn Khanh Tử viết : Thường người dù có bản chất tốt đẹp và lòng biện biệt sáng suốt ắt phải tìm thầy giỏi, tìm bạn hiền để kết giao. Được thầy giỏi dạy dỗ thì nghe được đạo lý của vua Nghiêu, Thuấn, Vũ, Thang. Tìm được bạn hiền để kết giao thì thấy được nết trung, tín, kính, nhượng. Bản thân mỗi ngày tiến đến nhân-nghĩa mà tự mình không biết, rồi chuyển theo hồi nào không hay vậy.
昌 言 云 : 人 之 交 士 也 仁 愛 篤 恕 謙 遜 敬 讓 忠 誠 發 乎 內 信 效 著 乎 外 流 言 無 所 受 愛 憎 無 所 偏 幽 閑 攻 人 之 短 會 友 述 人 之 長 有 負 我 者 我 又 加 厚 焉 有 疑 我 者 我 又 加 信 焉 患 難 必 相 及 行 潛 德 而 不 有 立 潛 功 而 不 名 孜 孜 為 此 以 沒 其 身 惡 有 與 此 人 而 憎 之 者 也 。	Sách Xương Ngôn viết : Người kết giao với kẻ sĩ, (thì biết) lòng nhân ái, trung hậu, khoan thứ, khiêm tốn, kính nhượng, trung thành phát ra từ bên trong, sự tín nhiệm phát rõ ra ở bên ngoài. Những lời nói đồn đại không nhận lấy, yêu ghét không thiên vị, ở nơi kính đáo (không) công kích chổ yếu của người, hội hợp bạn bè kể lại cái hay của người. Có người phụ bạc ta lại càng đối đãi trọng hậu hơn, có người hoài nghi ta phải càng thành tín hơn. Hoạn nạn ắt đến giúp đỡ, hành động lặng lẽ tích đức mà không cầu báo đáp, âm thầm làm việc mà không cầu danh tiếng. Cứ cần mẫn làm thế, cho bản thân đến hết đời vậy có ai ở cùng người ấy mà chán ghét bao giờ ?
尸 子 云 : 今 人 皆 知 礪 其 劍 而 弗 知 礪 其 身 夫 學 身 之 礪 砥 也 。	Sách Thi Tử viết : Người thời nay đều biết mài giũa thanh kiếm mà chẳng biết mài giũa bản thân. Việc học tập là dùi mài bản thân vậy.
漢 書 云 : 古 之 學 者 耕 且 養 三 年 而 通 一 藝 存 其 大 體 玩 經 文 而 已 是 故 用 日 約 少 而 蓄 德 多 三 十 而 五 經 立 也 。	Sách Hán Thư viết : Bậc học-giả xưa kia tự cày nuôi sống mình, ba năm thì tinh thông một kỹ năng, vì họ biết được cái đại thể, và nhiều lần vui đùa trong kinh văn mà thôi. Cho nên tuy hàng ngày dụng công rất ít, mà họ bồi dưỡng đức hạnh rất nhiều, ba mươi năm thì thông thạo Ngũ-Kinh vậy.
曾 子 云 : 君 子 既 學 之 患 其 不 博 也 既 博 之 患 其 不 習 也 既 習 之 患 其 不 知 也 既 知 之 患 其 不 能 行 也 既 能 行 之 患 其 不 能 以 讓 也 君 子 之 學 致 此 五 者 而 已 矣 。	Sách Tăng Tử viết : Người quân-tử đã học thì lo không thông suốt. Đã thông suốt thì lo không được luyện tập. Đã luyện tập thì lo không hiểu biết. Đã hiểu biết thì lo không thể thực hành. Đã có thể thực hành thì lo không thể khiêm nhượng. Cái học của người quân-tử chỉ có năm điều đó mà thôi vậy.
周 易 云 : 彖 曰 天 地 之 道 恒 久 而 不 已 也 日 月 得 天 而 能 久 照 四 時 變 化 而 能 久 成 聖 人 久 於 其 道 而 天 下 化 成 觀 其 所 恒 而 天 地 萬 物 之 情 可 見 矣 。	Sách Chu Dịch viết : Thoán viết : đạo của trời đất thường lâu bền mà không thôi vậy. Mặt trời, mặt trăng được ở trên trời mà có thể chiếu sáng, bốn mùa biến hóa mà có thể thành tựu lâu bền, bậc thánh-nhân ở lâu trong đạo mà thiên-hạ hóa thành công.
袁 子 正 書 云 : 聖 人 貴 恒 恒 者 德 之 固 也 聖 人 久 於 其 道 而 天 下 化 成 未 有 不 恒 而 可 以 成 德 無 德 而 可 以 持 久 者 也 。	Xem chổ thường hằng mà cái tình của vạn vật có thể thấy vậy. Sách Viên Tử Chính Thư viết : Bậc thánh-nhân quý ở sự lâu bền, lâu bền thì đức kiêng cố vậy. Bậc thánh-nhân lâu dài với đạo mà thiên-hạ hóa thành công.
抱 朴 子 云 : 夫 節 士 不 能 使 人 敬 之 而 志 不 可 奪 也 不 能 使 人 不 憎 之 而 道 不 可 屈 也 不 能 令 人 不 辱 之 而 榮 在 我 也 不 能 令 人 不 擯 之 而 操 之 不 可 改 也 。	Chưa từng có việc không lâu bền mà có thể thành tựu đạo đức, và việc không đạo đức mà có thể gìn giữ lâu dài vậy. Sách Bão Phác Tử viết : Kẻ sĩ có khí tiết không thể khiến người cung kính mình và cũng không thể đoạt đi ý chí của họ vậy. Không thể khiến người không ghét bỏ mình và bắt họ theo một đường lối vậy. Không thể khiến người không nhục mạ mình và bắt họ mang lại vẻ vang cho ta vậy. Không thể khiến người gạt bỏ mình và bắt họ làm những việc không thể thay đổi vậy.
周 易 云 : 君 子 體 仁 足 以 長 人 嘉 會 足 以 合 禮 利 物 足 以 和 義 貞 固 足 以 幹 事 。	Sách Chu Dịch viết : Người quân-tử thể hội lòng nhân đủ để đứng đầu người, đãi tiệc lớn đầy đủ để hợp lễ, lợi ích vật đủ để hòa nghĩa, trinh bền đủ để làm việc.
論 語 云 : 子 謂 子 產 有 君 子 之 道 四 焉 其 行 己 也 恭 其 事 上 也 敬 其 養 民 也 惠 其 使 民 也 義 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói về ông Tử-Sản có bốn đạo của người quân-tử. Giao thiệp với người thì giữ mình rất khiêm cung. Phụng sự bậc trên thì rất cung kính. Nuôi nấng dân thì ban ơn huệ.
周 易 云 : 艮 君 子 以 思 下 出 其 位 。	Sách Chu Dịch viết : Quẻ Cấn, người quân-tử coi đó mà suy tư, chẳng ra khỏi chức vị của mình.
韓 詩 外 傳 云 : 貴 而 下 賤 則 眾 弗 惡 也 富 能 分 貧 則 窮 乏 士 弗 惡 也 智 而 教 愚 則 童 蒙 者 不 惡 也 。	Sách Hàn Thi Ngoại Truyện viết : Tôn quý mà xem như hạ-tiện thì mọi người không ghét bỏ. Giàu có chịu phân chia cho người nghèo khổ thì kẻ sĩ nghèo cùng không ghét bỏ. Có trí huệ mà dạy kẻ ngu muội thì trẻ con thất học không ghét vậy.
孔 子 家 語 云 : 孔 子 曰 以 富 貴 而 下 人 何 人 不 與 以 富 貴 而 愛 人 何 人 不 親 發 言 不 逆 可 謂 知 言 矣 。	Sách Khổng Tử Gia Ngữ viết : Đức Khổng-Tử nói : Số giàu sang mà hạ mình trước người, thì ai mà chẳng mong ở cùng chứ ?. Số giàu sang mà biết yêu người, thì ai mà chẳng thân cận chứ ?. Phát ngôn không trái nghịch có thể gọi là biết nói chuyện vậy.
論 語 云 : 一 朝 之 忿 忘 其 身 以 及 其 親 非 惑 與 。	Sách Luận Ngữ viết : Trong một lúc tức giận (làm bậy), quên cả bản thân để liên lụy đến cha mẹ, như thế chẳng phải là không phân biệt được tốt xấu sao ?.
尹 文 子 云 : 故 有 理 而 無 益 於 治 者 君 子 不 言 有 能 而 無 益 於 事 者 君 子 弗 為 君 子 非 樂 有 言 有 益 於 治 不 得 不 言 君 子 非 樂 有 為 有 益 於 事 不 得 不 為 。	Sách Doãn Văn Tử viết : Nên có lý mà vô-ích với việc cai trị, thì người quân-tử không nói. Có thể làm mà vô-ích với công việc, thì người quân-tử không làm. Người quân-tử không thích nói nhiều, nhưng nói những lời có ích cho việc cai trị, nếu không được gì thì chẳng nói. Người quân-tử không thích làm nhiều, nhưng làm thì làm những chuyện hữu-ích cho công việc, nếu không được gì thì chẳng làm.
文 子 云 : 文 子 問 道 老 子 曰 夫 道 者 小 行 之 小 得 福 大 行 之 大 得 福 盡 行 之 天 下 服 。	Sách Văn Tử viết : Văn-Tử hỏi đạo với Đức Lão-Tử rằng : Đạo thực hành nhỏ thì được phúc nhỏ, thực hành lớn thì được phúc lớn, tận lực thực hành thì thiên-hạ quy phục.
文 子 云 : 國 之 所 以 存 者 得 道 也 所 以 亡 者 理 塞 也 故 得 生 道 者 雖 小 必 大 有 亡 徵 者 雖 成 必 敗 國 之 亡 也 大 不 足 恃 道 之 行 也 小 不 可 輕 故 存 在 得 道 不 在 於 小 亡 在 失 道 不 在 於 大 。	Sách Văn Tử viết : Quốc gia sở dĩ tồn tại là có đường lối phù hợp, còn sở dĩ diệt vong là do đường lối bị bế tắc. Nên được tồn tại do có đường lối đúng, dù nhỏ ắt thành lớn. Còn (không có đường lối tốt là) dấu hiệu của diệt vong, tuy thành công ắt thất bại. Quốc gia bị diệt vong, dẫu lớn chẳng đủ nương dựa. Đường lối thi hành được, dù nhỏ cũng không thể xem thường. Nên tồn tại là có được đường lối đúng, không phải tại (quốc gia) nhỏ . Còn diệt vong là tại đánh mất đường lối đúng, không phải tại (quốc gia) lớn.
