第 四 篇 為 政	THIÊN THỨ 4 : VI CHÁNH
司 馬 法 云 : 五 德 以 時 合 散 以 為 民 紀 古 之 道 也 。	Sách Tư Mã Pháp viết : Ngũ-Đức (Nhân, Nghĩa, Dũng, Trí, Tín) chọn đúng thời giảng rõ ra, để làm kỷ cương cho dân, đó là đạo lý thời xưa vậy.
傅 子 云 : 善 治 民 者 開 其 正 道 因 所 好 而 賞 之 則 民 樂 其 德 也 塞 其 邪 路 因 所 惡 而 罰 之 則 民 畏 其 威 矣 。	Sách Phó Tử viết : Người khéo trị dân, thì khai mở con đường tốt đúng đắn, nhân việc ưa thích tốt đó mà khen thưởng thì dân vui vì ân đức. Đóng kín con đường tà ác, nhân việc ghét ác đó mà phạt tội thì dân sợ vì uy nghiêm.
袁 子 正 書 云 : 賞 一 人 而 天 下 知 所 從 罰 一 人 而 天 下 知 所 避 明 開 塞 之 路 使 百 姓 曉 然 知 軌 疏 之 所 由 是 以 賢 者 不 憂 知 者 不 懼 干 祿 者 不 邪 。	Sách Viên Tử Chính Thư viết : Thưởng một người mà thiên-hạ biết để học theo, phạt một người mà thiên-hạ biết để phòng tránh. Làm rõ việc nên và không để khiến cho trăm họ sáng tỏ mà biết phương phòng tránh, cho nên người hiền không lo, người trí không sợ, người mưu cầu chức tước bổng lộc không gian tà.
袁 子 正 書 云 : 賞 足 榮 而 罰 可 畏 智 者 知 榮 辱 之 必 至 是 故 勸 善 之 心 生 而 不 軌 之 奸 息 。	Sách Viên Tử Chính Thư viết : Thưởng đủ khiến người vinh dự mà phạt đủ khiến người e sợ. Người trí biết chuyện vinh nhục ắt sẽ đến thân. Cho nên khuyến khích người sinh lòng hướng thiện thì những ý niệm xấu sẽ dừng lại.
文 子 云 : 善 賞 者 費 少 而 勸 多 善 罰 者 刑 省 而 奸 禁 。	Sách Văn Tử viết : Người khéo thưởng chỉ tốn ít chi phí mà khuyến khích được nhiều người.
漢 書 云 : 凡 爵 列 官 職 賞 慶 刑 罰 皆 以 類 相 從 者 也 一 物 失 稱 亂 之 端 也 德 不 稱 位 能 不 稱 官 賞 不 當 功 刑 不 當 罪 不 祥 莫 大 焉 。	Người khéo phạt thì giảm bớt hình-phạt mà cấm được việc gian tà. Sách Hán Thư viết : Thường xếp đặt tước vị, quan chức, thưởng mừng, hình phạt đều lấy theo mức độ và thành tích để căn cứ theo. Một việc làm sai đó là đầu mối của loạn vậy. Đức hạnh không xứng với địa vị, tài năng không xứng với chức quan, ban thưởng không xứng đáng với công trạng, hình phạt không xứng đáng với tội danh, vậy còn điềm xấu nào lớn hơn đây.
傅 子 云 : 若 賞 一 無 功 則 天 下 飾 詐 矣 罰 一 無 罪 則 天 下 懷 疑 矣 是 以 明 德 慎 賞 而 不 肯 輕 之 明 德 慎 罰 而 不 肯 忽 之 。	Sách Phó Tử viết : Nếu thưởng một người không công trạng thì người thiên-hạ cho đó là giả bộ dối trá. Phạt một người vô tội thì người thiên-hạ sẽ hoài-nghi. Cho nên bậc đức-sáng thận trọng khi ban thưởng nên không xem thường, bậc đức-sáng thận trọng khi xử phạt nên không để chểnh mãng vây.
三 略 云 : 廢 一 善 則 終 善 衰 賞 一 惡 則 眾 惡 多 善 者 得 其 祐 惡 者 受 其 誅 則 國 安 而 終 善 到 矣 。	Sách Tam Lược viết : Bỏ một việc thiện thì tất cả thiện sẽ suy đi, thưởng một việc ác thì nhiều việc ác sẽ tăng thêm. Người thiện được giúp đỡ, người ác nhận xử phạt thì đất nước an định mà tất cả hành vi thiện sẽ đến vậy.
左 傳 云 : 善 為 國 者 賞 不 僭 而 刑 不 濫 賞 僭 則 懼 及 淫 人 刑 濫 則 及 善 人 若 不 幸 而 過 寧 僭 無 濫 。	Sách Tả Truyện viết : Người khéo trị nước, ban thưởng không quá đà, hình phạt không lạm dụng. Ban thưởng mà quá đà thì sợ thưởng luôn kẻ xấu, hình phạt mà lạm dụng thì sợ phạt luôn người tốt. Nếu không may mà làm quá trớn, thì ban thưởng quá đà chứ không lạm dụng hình phạt.
蜀 志 云 : 賞 不 遺 遠 罰 不 阿 近 爵 不 可 以 無 功 取 刑 不 可 以 勢 貴 免 此 賢 愚 之 所 以 僉 忘 其 身 者 也 。	Sách Thục Chí viết : Ban thưởng không quên người xa, phạt tội không thiên vị kẻ gần, tước vị không thể ban cho người vô công, hình phạt không thể miễn cho người tôn quý quyền thế, đó là nguyên do khiến cho người hiền kẻ ngu có thể quên mình vì nước vậy.
昌 言 云 : 德 教 者 人 君 之 常 任 也 而 刑 罰 為 之 佐 助 焉 。	Sách Xương Ngôn viết : Dạy đạo đức là phép tắc thường làm của vua, còn hình-phạt chỉ là bổ trợ thêm vậy.
史 記 云 : 法 令 者 治 之 具 而 非 制 治 清 濁 之 源 也 。	Sách Sử Ký viết : Pháp-lệnh là công cụ để trị nước không phải là nguyên nhân dẫn đến một thể chế cai trị trong sạch hay tham nhũng. Sách Diêm Thiết Luận viết : Người thơi xưa rõ việc nhân-nghĩa mà quyết làm theo, khiến dân không vượt quá giới hạn.
鹽 鐵 論 云 : 古 者 明 其 仁 義 之 誓 使 民 不 踰 不 教 而 殺 是 虐 民 也 與 其 刑 不 可 踰 不 若 義 之 不 可 踰 也 聞 禮 義 行 而 刑 罰 中 未 聞 刑 罰 任 而 孝 悌 興 也 高 牆 狹 基 不 可 立 也 嚴 刑 峻 法 不 可 久 也 。	Không dạy mà giết đó là bạo ngược với dân. So với việc đặt ra hình phạt để người không vi phạm chi bằng để cao nhân-nghĩa để họ biết xấu hổ khi làm trái. Nghe thi hành lễ nghĩa thì hình phạt trúng, chưa nghe dùng hình phạt mà nết hiếu-đễ hưng khởi. Tường cao lớn mà nền móng hẹp thì không thể xây dựng. Hình phạt nghiêm ngặc, pháp luật khắc nghiệt thì không thể bền lâu vậy.
六 韜 云 : 君 不 法 天 地 而 隨 世 俗 之 所 善 以 為 法 故 令 出 必 亂 亂 則 復 更 為 法 是 以 法 令 數 變 則 群 邪 成 俗 而 君 沉 於 世 是 以 國 不 免 危 亡 矣 。	Sách Lục Thao viết : Vua không theo phép tắc trời đất mà tuỳ theo lời khen của thế-tục để làm ra pháp luật, thế nên mệnh lệnh xuất ra ắt sẽ loạn. Loạn thì tu sửa lại pháp-lệnh, cho nên pháp-lệnh thay đổi nhiều lần thì nhiều chuyện xấu sẽ thành thói quen, mà vua cũng chìm đắm dần theo thế tục, cho nên quốc gia không thoát được cảnh nguy-vong.
晉 書 云 : 善 為 治 者 綱 舉 而 網 疏 綱 舉 則 所 羅 者 廣 網 疏 則 小 罪 必 漏 所 羅 者 廣 則 大 罪 不 縱 則 甚 泰 必 刑 微 過 必 漏 則 為 政 不 苛 甚 泰 必 刑 然 後 犯 治 必 塞 此 為 治 之 要 也 。	Sách Tấn Thư viết : Người giỏi việc trị nước, đề cao cương lĩnh mà để thưa mạng lưới. Đề cao cương lĩnh thì nhìn được bao quát rộng lớn, để thưa mạng lưới thì tội nhỏ ắt sẽ bỏ sót. Nhìn được bao quát rộng lớn thì tội lớn không dung túng, việc làm quá đà ắt bị trừng phạt. Sai lầm nhỏ ắt sẽ bỏ sót thì nền chính trị không hà khắc. Việc làm quá đà ắt bị trừng phạt thì sau những hành vi phạp pháp làm loạn phép nước ắt sẽ bị ngặn chặn. Đó là cương yếu của việc trị nước vậy.
	Sách Diêm Thiết Luận viết : Khi có nhiều ngã đường thì người không biết đi ra sao.
鹽 鐵 論 云 : 道 徑 眾 民 不 知 所 由 也 法 令 眾 人 不 知 所 避 也 故 王 者 之 制 法 也 昭 乎 如 日 月 故 民 不 迷 曠 乎 若 大 路 故 民 不 惑 幽 隱 遠 方 折 乎 知 之 愚 婦 童 婦 咸 知 所 避 是 故 法 令 不 犯 而 獄 犴 不 用 也 。	Khi pháp-lệnh ra nhiều thì dân không biết cách để phòng tránh. Vì vậy vua chế ra pháp-lệnh thì rõ như nhật nguyệt nên dân không bối rối. Khi thấy bao quát những con đường lớn thì người không bị mê hoặc. Nên những người ở vung xa xôi hẻo lánh biết đến pháp-lệnh, những kẻ ngu-phu ngu-phụ cũng biết cách phòng tránh. Cho nên pháp-lệnh không ai vi phạm mà nhà ngục cũng không dùng.
左 傳 云 : 夫 文 止 戈 為 武 武 王 克 商 作 頌 曰 載 戢 干 戈 載 櫜 弓 矢 夫 武 禁 暴 戢 兵 保 大 定 功 安 民 和 眾 豐 財 者 也 故 使 子 孫 忘 其 章 。	Sách Tả Truyện viết : Văn tự chữ chỉ (止) và chữ qua (戈) kết hợp thành chữ vũ (武). Sau khi vua Võ-Vương chiến thắng nhà Thương có làm bài tụng rằng : “đem khiên mát cất đi, đem cung tên xếp lại.” Vũ lực dùng để cấm bạo loạn, dập tắt nạn đao binh, bảo vệ hoà bình, xây dựng cơ đồ, an định nhân dân, thiết lập mối giao hoà, làm phong phú tài nguồn tài nguyên. Nên phải khiến con cháu không được quên điều này.
孫 子 兵 法 云 : 是 故 百 戰 百 勝 非 善 之 善 者 也 不 戰 而 屈 人 之 兵 善 之 善 者 也 。	Sách Tôn Tử Binh Pháp viết : Cho nên trăm trận trăm thắng không phải là điều tốt nhất.
孫 慶 子 云 : 仁 人 之 兵 所 存 者 神 所 過 者 化 若 時 雨 之 降 莫 不 悅 喜 故 近 者 親 其 善 遠 者 慕 其 德 兵 不 血 刃 遠 邇 來 服 德 盛 於 此 施 及 四 極 。	Không đánh mà khiến quân địch đầu hàng mới là điều tốt nhất. Sách Tôn Khanh Tử viết : Đội quân nhân-nghĩa, ở thì như thần linh, đi qua nơi nào thì cảm hoá mọi người. Giống như trời mưa giáng xuống thì chẳng ai là không vui thích. Nên người gần thì thân cận vì điều tốt của họ, người xa thì ngưỡng mộ vì đạo đức của họ. Ra quân không tốn một giọt máu nên các nơi gần xa đều đến quy phục.
三 略 云 : 聖 王 之 用 兵 也 非 好 樂 之 將 以 誅 暴 討 亂 夫 以 義 而 誅 不 義 若 決 江 河 而 溉 熒 火 臨 不 測 而 擠 欲 墜 其 克 之 必 也 。	Đạo đức hưng hịnh như thế thì sẽ lan đến khắp mọi nơi. Sách Tam Lược viết : Bậc thánh-nhân dụng binh, không vì chuyện ưa thích cá nhân mà chỉ để trừ bạo dẹp loạn. Lấy chính nghĩa mà dẹp bất nghĩa, giống như khơi nước sông ngòi để dập tắt một đốm lửa nhỏ, như đẩy một vật đang sắp rơi xuống vực, thắng lợi là việc tất nhiên vậy.
漢 書 云 : 國 雖 大 好 戰 必 亡 天 下 雖 平 忘 戰 必 危 。	Sách Hán Thư viết : Nước dù lớn thích chiến tranh ắt sẽ suy vong. Thiên-hạ dù thái bình quên chiến tranh ắt gặp nguy khốn.
漢 書 云 : 軍 旅 之 後 必 有 凶 年 言 民 以 其 愁 苦 之 氣 傷 陰 陽 之 和 也 出 兵 雖 勝 猶 有 後 憂 恐 災 害 之 變 因 此 以 生 。	Sách Hán Thư viết : Sau cuộc chiến tranh ắt có năm xấu đến. Ý nói chiến tranh mang lại sầu khổ cho người dân, làm tổn hại sự hài hoà của âm đương. Xuất binh dù thắng trận nhưng cũng có những mối lo sợ, tai hại biến hoá bất thường, nhân đó mà thiên tai sinh ra vậy.
尸 子 云 : 一 天 下 者 令 於 天 下 則 行 禁 焉 則 止 桀 紂 令 天 下 而 不 行 禁 焉 而 不 止 故 不 得 臣 也 目 之 所 美 心 以 為 不 義 弗 敢 視 也 口 之 所 甘 心 以 為 非 義 弗 敢 食 也 耳 之 所 樂 心 以 為 不 義 不 敢 聽 也 身 之 所 安 心 以 為 不 義 弗 敢 服 也 然 則 令 於 天 下 而 行 禁 焉 而 止 者 心 也 故 曰 心 者 身 之 君 也 天 子 以 天 下 受 令 於 心 心 不 當 則 天 下 禍 諸 侯 以 國 受 令 於 心 心 不 當 則 國 亡 匹 夫 以 身 受 令 於 心 心 不 當 則 身 為 戮 矣 。	Sách Thi Tử viết : Một thiên-hạ thống nhất, khi ra lệnh thì thiên-hạ làm theo, khi ngăn cấm thì biết dừng lại. Vua Kiệt, vua Trụ ra lệnh thiên-hạ mà người không làm, ngăn cấm mà không ai dừng, nên không thể sai khiến được. Mắt nương theo cái đẹp mà lòng cho đó là bất nghĩa thì không dám nhìn vậy. Miệng nương theo món ngon mà lòng cho đó là phi nghĩa thì không dám ăn vậy. Tai nương theo âm nhạc mà lòng cho đó là bất nghĩa thì không dám nghe vậy. Thân nương theo an nhàn mà lòng cho đó là bất nghĩa thì không dám theo vậy.
後 漢 書 云 : 夫 改 政 移 風 必 有 其 本 傳 曰 吳 王 好 劍 客 百 姓 多 瘢 瘡 楚 王 好 細 腰 宮 中 多 餓 死 長 安 語 曰 城 中 好 高 髻 四 方 高 一 尺 城 中 好 廣 眉 四 方 且 半 額 城 中 好 大 袖 四 方 用 匹 帛 斯 言 如 戲 有 切 事 實 。	Như thế thì ra lệnh cho thiên-hạ người sẽ làm theo, ngăn cấm thì họ biết dừng, đó là do nhân tâm vậy. Nên nói : “ tâm là chủ của bản thân”. Thiên-tử lấy thiên-hạ tiếp nhận để vào lòng, lòng mà không xứng đáng thì gậy hoạ cho thiên-hạ. Chư-hầu lấy quốc gia tiếp nhận để vào lòng, lòng mà không xứng đáng thì mất quốc gia. Kẻ thất-phu lấy bản thân nhận lấy để vào lòng, lòng mà không xứng đáng thì bị diệt thân vậy. Sách Hán Thư viết : Việc thay đổi tập quán phong tục ắt làm từ gốc. Sách Tả Truyện viết : “Vua nước Ngô thích bậc kiếm-khách, bách-tính có nhiều người bị thương sẹo. Vua nước Sở thích eo thon, trong cung có nhiều người chết đói.” Thành Trường-An có câu tục ngữ : “ Trong thành búi tóc cao, bốn phương búi tóc cao một thước. Trong thành thích vẽ lông mài đậm, bốn phương vẽ đến giữa trán. Trong thành thích may tay áo rộng, bốn phương dùng cả tấm vải lụa để may.” Lời nói đó như đùa nhưng vô cùng thực tế.
管 子 云 : 明 主 在 上 位 則 官 不 得 枉 法 吏 不 得 為 私 民 知 事 吏 之 無 益 故 貨 財 不 行 於 吏 權 衡 平 正 而 待 物 故 姦 詐 之 人 不 得 行 其 私 故 曰 有 權 衡 之 稱 者 不 可 欺 以 輕 重 也 。	Sách Quản Tư viết : Bậc minh-chủ nắm giữ quyền lực ở trên, thì chức-quan không thể bẻ cong pháp luật, chức-lại không thể tư lợi. Dân biết phụng sự chức-lại vô ích nên việc hối lộ không làm. Dùng quyền-hành công bằng chánh đáng (như chiếc cân) mà tiếp đãi mọi vật nên kẻ gian-trá không thể lộng hành tư lợi. Vì thế nói rằng : “ Dùng quyền-hành như chiếc cân, thì người không thể lấy trọng lượng nặng nhẹ để dối gạt.”
孔 子 家 語 云 : 公 曰 子 之 教 寡 人 備 矣 敢 問 行 之 所 始 孔 子 曰 立 愛 自 親 始 教 民 睦 也 立 敬 自 長 始 教 民 順 也 教 以 慈 睦 而 民 貴 有 親 教 以 敬 長 而 民 貴 用 命 民 既 孝 於 親 又 順 以 聽 命 措 諸 天 下 無 所 不 行 。	Sách Khổng Tử Gia Ngữ viết : Lỗ-Ai-Công nói : Thầy chỉ dạy quả-nhân rất đầy đủ, dám hỏi làm bắt đầu từ đâu ? . Đức Khổng-Tử nói : Gây dựng tình yêu thương bắt đầu từ người thân mà dạy dân hoà mục. Gây dựng lòng kính trọng bắt đầu từ bậc lớn mà dạy dân thuận theo. Dạy lấy hiền từ và hoà mục mà dân quý trọng người thân mình. Dạy lấy kính trọng bậc lớn mà dân quý trọng lời chỉ bảo. Khi đã dạy dân hiếu thảo cha mẹ, thuận theo nghe lời, rồi truyền dạy tiếp khắp thiên-hạ thì không đâu mà chẳng làm theo vậy.
論 語 云 : 子 曰 上 好 禮 則 民 莫 敢 不 敬 上 好 義 則 民 莫 敢 不 服 上 好 信 則 民 莫 敢 不 用 情 夫 如 是 則 四 方 之 民 襁 負 其 子 而 至 矣 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : trên thích lễ thì dân chẳng dám không kính, trên thích nghĩa thì dân chẳng dám không theo, trên thích thành tín dân chẳng dám dùng giả dối. Làm được như thế thì dân bốn-phương sẽ địu con trên lưng mà đến quy phục vậy.
文 子 云 : 君 子 無 德 即 下 怨 無 仁 即 下 爭 無 義 即 下 異 無 禮 即 下 亂 四 經 不 立 謂 之 無 道 無 道 而 不 亡 者 未 之 有 也 。	Sách Văn Tử viết : Người quân-tử không đạo đức thì dưới oán hận, không nhân từ thì dưới tranh nhau, không nghĩa khí thì dưới chia lìa, không lễ phép thì dưới loạn. Bốn kinh này không gây dựng gọi là vô đạo. Vô đạo mà không bị diệt vong là chuyện chưa từng có vậy.
尚 書 云 : 凡 人 未 見 聖 若 弗 克 見 既 見 聖 亦 弗 克 由 聖 爾 其 戒 哉 爾 惟 風 下 民 惟 草 。	Sách Thượng Thư viết : Phần nhiều người ta chưa trống thấy đạo lý của thánh-nhân, nên không thể nào thấy biết được. Khi đã thấy được đạo lý của thánh nhân, lại không thể làm theo được như thánh-nhân. Ngươi nên răn đấy ! ngươi như gió, kẻ hạ-dân như cỏ.
禮 記 云 : 聖 人 南 面 而 聽 天 下 所 且 先 者 有 五 民 不 得 與 焉 一 曰 治 親 二 曰 報 功 三 曰 舉 賢 四 曰 使 能 五 曰 存 愛 五 者 一 得 於 天 下 民 無 不 足 無 不 贍 五 者 一 物 紕 繆 民 不 得 其 死 聖 人 南 面 而 治 天 下 必 自 人 道 始 矣 。	Sách Lễ Ký viết : Bậc thánh-nhân ngồi quay về hướng nam trị vì thiên-hạ, trước làm 5 việc cho dân không được thiếu. Thứ nhất trị người thân tộc, thứ hai báo đáp người có công, thứ ba tiến cử người hiền, thứ tư sử dụng người tài , thứ năm giữ lòng nhân ái. Năm điều đó một khi đạt được thì thiên-hạ dân không ai thiếu thốn, không ai không sung túc. 5 điều đó một khi không đạt được thì dân chết bất đắc kỳ tử. Bậc thánh-nhân ngồi quay mặt về hướng nam trị vì thiên-hạ ắt bắt đầu làm từ đạo người vậy.
潛 夫 論 云 : 凡 為 治 之 大 體 莫 善 於 抑 末 而 務 本 莫 不 善 於 離 本 而 飾 末 夫 為 國 者 以 富 民 為 本 以 正 學 為 基 民 富 乃 可 教 學 正 乃 得 義 民 貧 則 背 善 學 淫 則 詐 偽 入 學 則 不 亂 得 義 則 忠 孝 故 明 君 之 法 務 此 二 者 以 為 太 平 基 也 。	Sách Tiềm Phu Luận viết : Thường đại thể của việc trị nước, chẳng gì tốt bằng ức chế việc cành ngọn mà lo việc căn gốc, chẳng gì xấu bằng xa việc căn gốc mà sửa trị việc cành ngọn. Người trị nước lấy việc phú-dân làm gốc, lấy chánh-học làm nền tảng. Dân giàu bèn có thể giáo học, học đúng người bèn có đạo nghĩa. Dân nghèo thì bỏ làm thiện, học tập buông thả thì sinh ra dối rá. Có học thì người không loạn, biết đạo nghĩa thì người trung-hiếu. Nên phương pháp của bậc minh-quân lo hai việc đó (phú-dân và chánh-học), để làm nền tảng cho đất nước thái-bình vậy.
蔣 子 云 : 夫 隨 俗 樹 化 因 世 建 業 慎 在 務 三 而 已 一 曰 擇 人 二 曰 因 民 三 曰 從 時 時 移 而 不 移 違 天 之 祥 也 民 望 而 不 因 違 人 之 咎 也 好 善 而 不 能 擇 人 敗 官 之 患 也 三 者 失 則 天 人 之 事 悖 矣 夫 人 乖 則 時 逆 時 逆 則 天 違 天 違 而 望 國 安 未 有 也 。	Sách Tưởng Tử viết : Tuỳ theo thói tục để giáo hoá, nhân đó mà kiến lập cơ nghiệp thì thận trọng lo ba việc mà thôi. Thứt nhất là chọn người, thứ hai vì dân, thứ ba theo thời. Thời thế đổi mà không chuyển là bỏ mất cơ hội trời ban. Dân mong mỏi mà không đáp lại là gây tội lỗi với người. Thích tốt lành mà không giỏi chọn người hiền thì gậy bại hại tai hoạ cho chốn quan trường. Ba việc đó làm sai thì việc trời người sẽ hỗn loạn vậy. Lòng người trái nghịch thì thời thế nghịch theo, thời thế nghịch thì trái ý trời, làm trái ý trời mà mơ mộng quốc gia an định là việc chưa từng có vậy.
後 漢 書 云 : 昔 仲 弓 季 氏 之 家 臣 子 游 武 城 之 小 宰 孔 子 猶 誨 以 賢 才 問 以 得 人 明 政 之 小 大 以 人 為 本 。	Sách Hậu Hán Thư viết : Xưa kia thầy Trọng-Cung làm gia-thần cho nhà họ Quý, thầy Tử-Du làm quan tể nhỏ ở đất Vũ-Thành. Đức Khổng-Tử vì đó căn dặn, trọng dụng người hiền tài, tự hỏi xem họ có đáng dùng không. Nếu rõ lớn nhỏ của chính trị thì nên lo việc chọn người làm gốc vậy.
漢 書 云 : 臣 聞 上 古 堯 舜 之 時 不 貴 爵 賞 而 民 勸 善 不 重 刑 罰 而 民 不 犯 躬 率 以 正 遇 民 信 也 末 世 貴 爵 厚 賞 而 民 不 信 也 夫 厚 賞 重 型 未 足 以 勸 善 而 禁 非 必 信 而 已 矣 是 故 因 能 任 官 則 分 職 治 去 無 用 之 言 則 事 情 得 不 作 無 用 之 器 即 賦 斂 省 不 奪 民 時 即 百 姓 富 有 德 者 進 無 德 者 退 則 朝 廷 尊 有 功 者 上 無 功 者 下 則 群 臣 逡 罰 當 罪 則 姦 邪 止 賞 當 賢 則 臣 下 勸 凡 此 八 者 治 之 本 也 。	Sách Hán Thư viết : Thần nghe đời thượng-cổ, thời của vua Nghiêu, Thuấn không quý trọng tước vị hay ban thưởng thế mà dân khuyên nhau hành thiện. Không xem trọng hình-phạt mà dân không ai vi phạm. Vi các ngài lấy mình theo lẽ chánh đáng, đến với dân bằng sự tín nhiệm. Đến đời mạt-thế thời nay thì quý trọng tước vị, ban thưởng hậu hĩnh mà dân không ai tín nhiệm. Việc ban thưởng trọng hậu và xem trọng hình phạt chưa đủ để khuyến khích người hành thiện mà nếu cấm đoán việc sai trái ắt cần sự tín nhiệm mà thôi. Cho nên nhân vì năng lực mà bổ nhiệm quan lại thì chức vị phân đúng. Bỏ đi lời nói vô-dụng thì hiểu được sự tình. Không làm những đồ dụng vô ích thì giảm được tiền thu thuế. Không chiếm thời gian làm việc của dân thì bách-tính giàu có. Người có đức thì ra làm quan, kẻ vô đức thì thoái lui thì triều-đình được đề cao. Có công thì ở lên, kẻ vô công thì ở dưới thì quần-thần sẽ nhường bước. Phạt đáng tội thì kẻ gian-tà sẽ dừng lại. Thưởng đúng người tài đức thì khuyến khích được cấp dưới. Đại khái 8 điều đó là căn gốc của việc trị nước vậy.
史 記 云 : 故 先 王 見 始 終 之 變 知 存 亡 之 機 是 以 牧 民 之 道 務 在 安 之 而 已 天 下 雖 有 逆 行 之 臣 必 無 響 應 之 助 矣 故 曰 安 民 可 與 行 義 而 危 民 易 與 為 非 此 之 謂 也 。	Sách Sử Ký viết : Nên bậc tiên-vương thấy được trước sau của biến cố, biết được cơ yếu của sự được mất. Do vậy đạo lý của việc trị dân lo việc an định cuộc sống cho người mà thôi. Thiên-hạ dù có quan chức làm phản thì ắt sẽ không ai hưởng-ứng mà giúp đỡ vậy. Nên nói : dân sống an định mới có thể cùng hành nghĩa với họ mà khi gặp nguy khốn thì họ cũng dễ làm việc sai trái, điều đó đã nói lên vậy.
莊 子 云 : 聖 人 行 不 言 之 教 道 不 可 致 也 失 道 而 後 德 失 德 而 後 仁 失 仁 而 後 義 失 義 而 後 禮 。	Sách Trang Tử viết : Bậc thánh-nhân thực hành cách dạy không nói. Đạo không thể đến qua lời nói. Mất đạo rồi mới có đức, mất đức rồi mới có nhân, mất nhân rồi mới có nghĩa, mất nghĩa rồi mới có lễ.
尹 文 子 云 : 道 行 於 世 則 貧 賤 者 不 怨 富 貴 者 不 驕 愚 弱 者 不 懾 智 勇 者 不 矜 足 於 分 也 法 行 於 世 則 貧 賤 者 不 敢 怨 富 貴 富 貴 者 不 敢 凌 貧 賤 愚 弱 者 不 敢 冀 智 勇 智 勇 者 不 敢 鄙 愚 弱 此 法 之 不 及 道 也 。	Sách Doãn Văn Tử viết : Đạo nghĩa được thi hành ở thế gian thì kẻ nghèo hèn không oán hờn, người giàu sang không kiêu ngạo, kẻ ngu yếu không sợ hãi, người trí dũng không khoe khoang, vì ai cũng giữ đúng bổn phận vậy. Pháp lệnh được thi hành ở thế gian, thì kẻ nghèo hèn không dám oán, người giàu sang không dám bóc lột kẻ nghèo hèn, kẻ ngu yếu không dám mong mỏi, người trí dũng không dám khinh bỉ kẻ ngu yếu. Đó là điểm mà pháp lệnh không theo kịp đạo nghĩa vậy.
漢 書 云 : 天 道 之 大 者 在 陰 陽 陽 為 德 陰 為 刑 刑 主 殺 而 德 主 生 是 故 陽 常 居 大 夏 而 以 生 育 養 長 為 事 陰 常 居 大 冬 而 積 於 空 虛 不 用 之 處 以 此 見 天 之 任 德 不 任 刑 也 天 使 陽 出 布 施 於 上 而 主 歲 功 使 陰 入 伏 於 下 而 時 出 佐 陽 陽 不 得 陰 之 助 亦 不 能 獨 成 歲 也 王 者 承 天 意 以 從 事 故 任 德 教 而 不 任 刑 刑 者 不 可 任 以 治 世 猶 陰 之 不 可 任 以 成 歲 也 。	Sách Hán Thư viết : Đạo trời trọng yếu tại âm dương. Dương là đức, âm là hình. Hình chủ giết chóc mà đức chủ sinh sống. Cho nên dương thường ở vào tháng mùa hạ mà lấy việc sinh sản và nuôi dưỡng, âm thường ở vào tháng mùa đông mà tích tụ ở trên trời không dùng vào việc gì. Lấy đó thì thấy trời trọng đức không trọng hình vậy. Trời khiến dương xuất ra thăng lên trên mà chủ về thành tích trong một năm, khiến âm thu xuống dưới mà phò tá dương đúng thời. Dương không được âm trợ giúp lại không thể đơn độc làm thành một năm vậy. Vua thuận theo ý trời mà làm việc theo, nên trọng giáo dục đức hạnh mà không trọng hình phạt. Hình phạt không thể lấy để trị thế gian giống như âm không thể đơn độc làm thành một năm vậy.
仲 長 子 昌 言 云 : 大 治 之 後 有 易 亂 之 民 者 安 寧 無 故 邪 心 起 也 大 亂 之 後 有 易 治 之 勢 者 創 艾 禍 災 樂 生 全 也 刑 繁 而 亂 益 甚 者 法 難 勝 避 茍 免 而 無 恥 也 教 興 而 罰 罕 用 者 仁 義 相 厲 廉 恥 成 也 。	Sách Trọng Trường Tử Xương Ngôn viết : Sau thời kỳ đại trị dân rất dễ làm loạn, vì yên ổn quá thì lòng tà bỗng dưng khởi lên vậy. Sau thời kỳ đại loạn tình thế rất dễ trị, vì họ đã trải qua đau thương tai hoạ mà muốn an toàn vui sống vậy. Hình phạt nhiều mà loạn càng trầm trọng, luật pháp hà khắc thì khó tránh né, nếu tránh được thì người không biết đến liêm sỉ vậy. Việc giáo dục hưng khởi thì hình phạt dùng ít, nhân nghĩa được đẩy mạnh thì người biết đến liêm sỉ vậy.
漢 書 云 : 夫 上 之 化 下 下 之 從 上 猶 泥 之 在 鈞 唯 甄 者 之 所 為 猶 金 之 在 鎔 唯 治 者 之 所 鑄 綏 之 斯 俠 動 之 斯 和 此 之 謂 也 。	Sách Hán Thư viết : Khi trên giáo hoá dưới, dưới sẽ làm theo giống như đất sét để trên bàn xoay, chỉ để mặt cho thợ gốm làm. Giống như kim loại để vào khuông, chỉ để mặt cho thợ đúc làm. “Ngừng ấy hiệp lại, động ấy hoà hợp”, điều đó đã nói lên vậy.
後 漢 書 云 : 以 身 教 者 從 以 言 教 者 訟 。	Sách Hậu Hán Thư viết : Lấy thân dạy thì người theo, lấy lời dạy thì người tranh cãi.
