第 五 篇 敬 慎	THIÊN THỨ 5 : KÍNH THẬN
管 子 云 : 明 主 不 用 其 智 而 任 聖 人 之 智 不 用 其 力 而 任 眾 人 之 力 故 以 聖 人 之 智 思 慮 者 無 不 知 也 以 眾 人 之 力 起 事 者 無 不 成 也 能 自 去 而 因 天 下 之 智 力 起 則 身 逸 而 福 多 亂 主 獨 用 其 智 而 不 任 聖 人 之 智 獨 用 其 力 而 不 任 眾 人 之 力 故 其 身 勞 而 禍 多 故 曰 獨 任 之 國 勞 而 多 禍 。	Sách Quản Tử viết : Bậc minh-chủ không dùng trí khôn của mình mà sử dụng trí khôn của thánh-nhân, không dùng sức lực của mình mà sử dụng sức lực của mọi người. Nên lấy trí khôn của thánh-nhân để suy ngẫm thì không việc gì không biết, lấy sức lực của mọi người khởi sự thì không việc gì không thành công. Có thể bỏ đi cái ta mà dựa vào trí khôn và sức lực của người thiên-hạ để làm việc thì thân nhàn mà phúc nhiều. Bậc loạn-chủ chỉ biết dùng trí khôn của mình mà không sử dụng trí khôn của thánh-nhân, chỉ dùng sức mình mà không biết sử dụng sức lực của mọi người, nên thân lao nhọc mà tai họa nhiều.
管 子 云 : 國 之 所 以 亂 者 四 內 有 疑 妻 之 妾 此 宮 亂 也 庶 有 疑 嫡 之 子 此 家 亂 也 朝 有 疑 相 之 臣 此 國 亂 也 任 官 無 能 此 眾 亂 也 四 者 無 別 主 失 其 體 群 官 朋 黨 以 懷 其 私 則 失 疆 故 妻 必 定 子 必 正 相 必 直 立 以 聽 官 必 忠 信 以 敬 。	Do đó chỉ làm việc nước một mình thì lao nhọc mà nhiều tai họa. Sách Quản Tử viết : Quốc gia loạn lạc có 4 nguyên nhân : (1)Trong vợ cả và vợ thứ tranh nhau địa vị việc đó gây loạn chốn cung đình. (2) Con vợ thứ địa vị giống con vợ cả việc đó làm loạn gia đình. (3) Triều đình bề tôi thân cận có quyền lực như quan tể tướng việc đó làm loạn quốc gia. (4) Quan viên được trọng dụng không tài năng việc đó làm loạn đại chúng. 4 nguyên nhân không phân biệt thì vua mất đi bản thể, quần-thần kết bè đảng để mong làm việc riêng sẽ khiến (vua) mất đi quyền hạn. Nên vợ cả ắt phải ấn định địa vị , con vợ cả ắt phải đúng địa vị, quyền hạn quan tể tướng ắt phải rõ ràng, quan lại ắt trung tín để cung kính làm việc.
政 要 論 云 : 夫 人 君 欲 治 者 既 達 專 持 刑 德 之 柄 矣 位 必 使 當 其 德 祿 必 使 當 其 功 官 必 使 當 其 能 此 三 者 治 亂 之 本 也 位 當 其 德 則 賢 者 居 上 不 肖 者 居 下 祿 當 其 功 則 有 勞 者 勸 無 勞 者 慕 。	Sách Chính Yếu Luận viết : Người làm vua muốn trị nước đạt hiểu quả thì phải chuyên chú vào pháp luật và đạo đức mà làm căn bổn. Địa vị ắt phải xứng đáng với đức hạnh, bỗng lộc ắt phải xứng đáng với công trạng, chức quan ắt phải xứng đáng với năng lực, ba điều ấy là gốc của động loạn hay an trị vậy. Địa vị xứng đáng với đức hạnh thì người hiền ở trên kẻ kém ở dưới, bỗng lộc xứng đáng với công trạng thì người có công được khích lệ kẻ không công sẽ nỗ lực hơn.
尹 文 子 云 : 國 亂 有 三 事 年 飢 民 散 無 食 以 之 則 亂 治 國 無 法 則 亂 有 法 而 不 能 用 則 亂 有 食 以 聚 民 有 法 而 能 行 國 不 治 未 之 有 也 。	Sách Doãn Văn Tử viết : Quốc gia loạn có 3 việc : 1.Năm đói kém dân ly tán không có lương thực để cứu trợ thì loạn, 2.Trị nước không có pháp luật thì loạn, 3.Có pháp luật mà không thể dùng thì loạn. Có lương thực để tụ hợp dân, có pháp luật mà có thể thi hành, quốc gia không an trị là việc chưa từng có vậy.
孔 子 家 語 云 : 孔 子 觀 於 明 堂 睹 四 方 治 墉 有 堯 舜 桀 紂 之 象 而 各 有 善 惡 之 狀 興 廢 之 誡 焉 又 有 周 公 相 成 王 抱 之 而 負 斧 扆 南 面 以 朝 諸 侯 之 圖 焉 孔 子 徘 徊 而 望 之 謂 從 者 曰 此 則 周 之 所 以 盛 也 夫 明 鏡 者 所 以 察 形 往 古 者 所 以 知 今 人 主 不 務 襲 跡 於 其 所 以 安 存 而 忽 怠 於 所 以 危 亡 是 猶 未 有 以 異 於 卻 步 而 欲 求 及 前 人 也 豈 非 惑 哉 。	Sách Khổng Tử Gia Ngữ viết : Đức Khổng-Tử xem nhà Minh-Đường nhìn thấy bốn phía bức tường có vẽ hình tượng vua Nghiêu, Thuấn, Kiệt, Trụ và các công trạng tốt xấu, các bài răn bảo hưng thịnh hay diệt vong của họ. Lại có bức vẽ Chu-Công làm tướng cho vua Thành-Vương, ngài ôm vua mà gáng vác công việc trước tấm bình phong, phía nam ngồi triều kiến các chư-hầu. Đức Khổng-Tử bồi hồi và ngóng nhìn nói với các người đi theo rằng : Đó chắc là nguyên nhân khiến nhà Chu được hưng thịnh. Gương sáng để xem hình dung, xét xưa mà biết thời nay. Bậc lãnh đạo không lo bắt trước theo nguyên cớ được an ổn lâu dài mà chỉ lo hốt hoảng giải đãi theo cái nguyên do bị nguy hiểm diệt vong. Đó chẳng khác gì đi thụt lùi mà muốn đuổi kịp người trước, há không mê hoặc ư !.
尚 書 云 : 古 人 有 言 曰 人 無 于 水 鑒 當 于 民 鑒 今 惟 殷 墜 命 我 其 可 弗 大 鑑 。	Sách Thượng Thư viết : Cổ nhân có nói : “ Người không soi vào nước, nên lấy dân làm gương soi ”. Nay dù nhà Ân mất mệnh trời, ta há chẳng lấy đó làm tấm gương lớn.
六 韜 云 : 殷 君 喜 以 人 餧 虎 喜 割 人 心 喜 殺 孕 婦 喜 殺 人 之 父 孤 人 之 子 喜 奪 喜 誣 以 信 為 欺 欺 者 為 真 以 忠 為 不 忠 忠 諫 者 死 阿 諛 者 賞 以 君 子 為 下 急 令 暴 取 好 田 獵 出 入 不 時 喜 治 宮 室 脩 臺 池 日 夜 無 已 喜 為 酒 池 肉 林 糟 丘 而 牛 飲 者 三 千 飲 人 無 長 幼 之 序 貴 賤 之 禮 喜 聽 讒 用 舉 無 功 者 賞 無 德 者 富 所 愛 專 制 而 擅 令 無 禮 義 無 忠 信 無 聖 人 無 賢 士 無 法 度 無 升 斛 無 尺 丈 無 稱 衡 此 殷 國 之 大 妖 也 。	Sách Lục Thao viết : Vua nhà Ân vui khi lấy người làm mồi cho hổ ăn, vui khi mổ tim người, vui khi mổ bụng thai phụ, vui khi giết cha người khiến con họ mồ côi, vui thích chiếm đoạt, vui thích vu oan. Coi thường thành tín, xem lừa dối là chân thực. Trung thành cho là bất trung, người hết lòng can gián thì bị tội chết, kẻ nịnh hót thì được thưởng. Xem người quân-tử là thấp kém, lệnh gấp thì nóng nảy tự làm, thích săn bắn, ra vào không đúng thời điểm. Vui thích sửa cung điện treo thịt khô trong tòa lâu có hồ nước từ sáng đến tối không thôi. Vui khi lấy rượu đổ vào hồ, thịt nhiều như rừng, bã rượu cao như gò và còn gọi người uống đến 3000 người, người uống không biết thứ tự lớn nhỏ, không biết lễ tiết sang hèn. Vui nghe gièm pha rồi trọng dụng tiến cử, người vô công được thưởng, kẻ vô đức được giàu. Thích chuyên quyền mà tự ý ra lệnh, không lễ nghĩa, không trung tín, không học theo bậc thánh-nhân, không nghe theo bậc hiền-sĩ, nước không pháp luật, không có tiêu chuẩn cân nặng, không có tiêu chuẩn độ dài, không có dụng cụ cân đo.
吳 志 云 : 昔 秦 所 以 亡 天 下 者 但 坐 賞 輕 而 罰 重 刑 政 錯 亂 民 力 盡 於 奢 侈 目 眩 於 美 色 志 濁 於 財 寶 邪 臣 在 位 賢 哲 隱 藏 百 姓 業 業 天 下 苦 之 是 以 遂 有 覆 巢 破 卵 之 憂 漢 所 以 疆 者 躬 行 誠 信 聽 諫 納 賢 惠 及 負 薪 躬 請 巖 穴 廣 採 博 察 以 成 其 謀 此 往 事 之 明 證 也 。	Đó là những việc lạ thường của nhà Ân vậy. Sách Ngô Chí viết : Xưa kia nhà Tần sở sĩ mất thiên-hạ chỉ vì coi thường việc khen thưởng mà xem trọng hình phạt nên chính trị thác loạn. Vua dốc hết sức dân làm việc xa xỉ, mắt đắm đuối theo sắc đẹp, ý chí hoen bẩn theo tiền tài vật chất, bề tôi gian trá tại vị, người hiền phải lẩn trốn, dân chúng lo sợ không yên, thiên-hạ khổ cực, cho nên bèn gặp phải mối lo bị người lật đổ. Nhà Hán sở dĩ có được đất đai là vì làm theo hạnh thành-tín, lắng nghe lời can gián, dung nạp người hiền, ban ơn huệ đến cả người thấp hèn, cung thỉnh người tài xuống núi, nghe nhiều xét rộng để thành công trong mưu lược.
尉 繚 子 云 : 王 國 富 民 霸 國 富 士 僅 存 之 國 富 大 夫 亡 國 富 倉 府 是 謂 上 溢 而 下 漏 故 患 無 所 救 。	Đó là minh chứng của việc đã qua vậy. Sách Úy Liễu Tử viết : Bậc Vương làm dân trong nước sung túc, bậc Bá làm kẻ sĩ trong nước sung túc, đất nước còn thì làm sung túc quan đại-phu, đất nước diệt vong thì làm sung túc kho lẫm. Đó gọi là trên dư giả thì dưới thiếu thốn nên khi gặp họa hoạn thì không thể cứu vãng.
左 傳 云 : 仲 叔 于 奚 救 孫 桓 子 桓 子 是 以 免 既 衛 人 賞 之 以 邑 辭 請 曲 縣 繁 纓 以 朝 許 之 仲 尼 聞 之 曰 惜 也 不 如 多 與 之 邑 唯 器 與 名 不 可 以 假 人 君 之 所 司 也 政 之 大 節 也 若 以 假 人 與 人 政 也 政 亡 則 國 家 從 之 不 可 止 也 已 。	Đức Trọng-Ni nghe được nói rằng : thật tiếc !, không bằng cho ông ta thêm nhiều ấp nữa. Khí cụ và danh hiệu không thể cho người dù vua là người nắm giữ. Chính trị là việc trọng đại, tùy tiện ban thưởng cho người cũng như trao quyền làm chính trị cho họ vậy. Quyền chính trị mất thì quốc gia theo đó (mất theo) không thể cứu vãn được nữa. Sách Hậu Hán Thư viết : Người sinh ra đã giàu thì kiêu (căng), người sinh ra đã sang thì ngạo (mạn).
後 漢 書 云 : 生 而 富 者 驕 生 而 貴 者 傲 生 富 貴 而 能 不 驕 傲 者 未 之 有 也 今 寵 祿 初 隆 百 僚 觀 行 當 堯 舜 之 盛 世 處 光 華 之 顯 時 豈 可 不 庶 幾 夙 夜 以 永 終 譽 。	Giàu sang mà có thể không kiêu ngạo là việc chưa từng có. Nay sự ân sủng, bổng lộc (của ngài) chỉ mới hưng khởi, trăm quan xem hành vi (của ngài) đáng như thời thịnh thế của vua Nghiêu, vua Thuấn một thời vẻ vang hiển hách, há (ngài) lại không ngày đêm siêng năng để sự khen ngợi ấy vĩnh cửu đến cùng. Sách Bão Phác Tử viết : Xưa kia Trần-Linh-Công bị tên bắn, họ Quán bị họa diệt tộc, vả chăng trời giáng xuống mà thực sự do cái miệng gây nên.
抱 朴 子 云 : 昔 陳 靈 之 被 矢 灌 氏 之 泯 族 匪 降 自 天 口 實 為 之 樞 機 之 發 榮 辱 之 主 三 緘 之 戒 豈 欺 我 哉 。	Nó là phần trọng yếu phát ra vinh hay nhục, điều răn uốn lưỡi ba lần trước khi nói há lại gạt ta ư !.
昌 言 云 : 肅 禮 容 居 中 正 康 道 德 履 仁 義 敬 天 地 恪 宗 廟 此 吉 祥 之 術 也 不 幸 而 有 災 則 克 己 責 躬 之 所 復 也 然 而 有 禱 祈 之 禮 史 巫 之 事 者 盡 中 正 竭 精 誠 也 。	Sách Xương Ngôn viết : Dung mạo cung kính lễ phép, sống đời ngay thẳng, yên ổn trong đạo đức, bước đi theo nhân-nghĩa, kính trọng trời đất, cung kính tông-miếu (tổ tiên), đó là cái thuật để được tốt lành. Nếu không may gặp tai họa thì nên khắc chế bản thân tự trách mình thì có thể khôi phục lại được. Vì thế mà có nghi lễ khấn vái và công việc của thầy cúng (sử-vu), để tận hết sự ngay thẳng và dốc hết lòng thành kính vậy.
劉 廙 政 論 云 : 高 於 人 之 上 者 必 有 以 應 於 人 其 察 之 也 視 下 視 下 者 見 之 詳 矣 人 君 誠 能 知 所 不 知 不 遺 燈 燭 童 昏 之 見 故 無 不 可 知 而 不 知 也 。	Sách Lưu Dực Chính Luận viết : Kẻ ở trên cao ắt phải ứng đối với người. Điều tra để thấy được tình hình bên dưới, thấy được hình bên dưới thì biết tường tận vậy. Người làm vua chân thành thì có thể biết được những điều chưa biết, không rời xa ánh sáng của đèn đuốc thì thấy được sự tối tăm, nên có những việc không thể biết mà họ có thể biết được vậy.
管 子 云 : 人 主 不 周 密 則 正 言 直 行 之 士 危 正 言 直 行 之 士 危 則 人 主 孤 而 無 內 人 主 孤 而 無 內 則 人 臣 黨 而 成 群 使 人 主 孤 而 無 內 人 臣 黨 而 成 群 者 此 非 人 臣 之 罪 也 人 主 之 過 也 。	Sách Quản Tử viết : Bậc lãnh đạo không kỹ lưỡng thì lời nói đúng đắn và hành động thẳng thắng của kẻ sĩ sẽ bị nguy hiểm, lời nói đúng đắn và hành động thẳng thắng của kẻ sĩ bị nguy hiểm thì bậc lãnh đạo sẽ bị cô lập mà không ai giúp đỡ từ bên trong, bậc lãnh đạo bị cô lập mà không ai giúp đỡ từ bên trong thì quần thần kết thành bè đảng. Việc khiến cho bậc lãnh đạo bị cô lập mà không ai giúp đỡ để quần thần kết thành bè đảng, đó không phải tội của quần thần mà do lỗi của bậc lãnh đạo vậy.
孔 子 家 語 云 : 子 貢 為 信 陽 宰 將 行 孔 子 曰 勤 之 慎 之 奉 天 之 時 無 奪 無 伐 無 暴 無 盜 子 貢 曰 賜 也 少 而 事 君 子 豈 以 盜 為 累 哉 孔 子 曰 而 未 之 詳 也 夫 以 賢 代 賢 是 之 謂 奪 以 不 肖 代 賢 是 之 謂 伐 緩 令 急 誅 是 之 謂 暴 取 善 自 與 是 之 謂 盜 盜 非 竊 財 之 謂 也 吾 聞 之 知 為 吏 者 奉 法 以 利 民 不 知 為 吏 者 枉 法 以 侵 民 此 怨 所 由 生 也 匿 人 之 善 斯 謂 蔽 賢 揚 人 之 惡 斯 謂 小 人 內 不 相 訓 而 外 相 謗 非 親 睦 也 言 人 之 善 若 己 有 之 言 人 之 惡 若 己 受 之 故 君 子 無 所 不 慎 焉 。	Sách Khổng Tử Gia Ngữ viết : Thầy Tử-Cống sắp lên đường nhậm chức quan Tể ở đất Tín-Dương. Đức Khổng-Tử nói : trò phải chăm chỉ, thận trọng, phụng theo thiên thời, không cướp đoạt, không chặt chém, không hung bạo, không trộm cắp. Thầy Tử-Cổng nói : thưa Tứ con, từ nhỏ đã theo phụng sự người quân-tử há làm việc liên quan đến trộm cắp ư !. Đức Khổng-Tử đáp : trò vẫn chưa biết tường tận, như việc lấy người hiền thay thế người hiền đó gọi là cướp đoạt, lấy kẻ không hiền thay thế người hiền đó gọi là chặt chém, mệnh lệnh chậm mà giết người thì nhanh đó gọi là hung bạo, có việc tốt thì một mình giữ lấy đó gọi là trộm cắp. Việc trộm cắp không phải là ăn cắp tài sản. Ta nghe người biết làm quan sẽ tuân theo pháp luật để lợi dân, kẻ không biết làm quan sẽ bẻ cong pháp luật để hiếp đáp dân. Lòng oán hận do đó mà sinh ra vậy. Giấu việc tốt của người đó là che lấp người hiền, tuyên dương cái xấu của người đó là kẻ tiểu-nhân. Bên trong không răn bảo nhau mà bên ngoài lại hủy báng nhau đó là không thân thiết hòa mục. Nói việc tốt của người như mình có, nói việc xấu của người như mình nhận lãnh. Nên người quân-tử không việc gì mà không thận trọng vậy.
周 書 云 : 天 有 四 殃 水 旱 饑 荒 其 至 無 時 非 務 積 聚 何 以 備 之 夏 箴 曰 小 人 無 兼 年 之 食 遇 天 饑 妻 子 非 其 有 也 大 夫 無 兼 年 之 食 遇 天 饑 臣 妾 輿 馬 非 其 有 也 國 無 兼 年 之 食 遇 天 饑 百 姓 非 其 百 姓 也 戒 之 哉 不 思 禍 咎 無 日 矣 。	Sách Chu Thư viết : Thiên tai có bốn loại : lũ lụt, hạn hán, đói kém, mất mùa. Chúng đến mà không báo trước, nếu không lo tích lũy lương thực thì lấy gì để phòng bị ?. Sách Hạ-Châm viết : “ Kẻ tiểu-nhân (dân) không đủ lương thực ăn trong hai năm thì gặp đói kém, vợ con không còn nữa. Quan đại-phu không đủ lương thực ăn trong hai năm thì gặp đói kém, thần-thiếp, xe ngựa không còn nữa. Quốc gia không có đủ lương thực ăn trong hai năm thì gặp đói kém, bách-tính không còn là bách-tính nữa.” Răn lắm thay ! không lo đến tai họa thì tai họa không ngày nào mà không có vậy.
鹽 鐵 論 云 : 分 土 地 趣 本 業 養 桑 麻 盡 地 力 也 寡 功 節 用 則 民 自 富 如 是 則 水 旱 不 能 憂 凶 年 不 能 累 也 。	Sách Diêm Thiết Luận viết : Phân chia đất đai là xu hướng chung của nông nghiệp, trồng cây dâu, cây gai phải dốc hết đất đai và sức lực làm. Giảm lao dịch, tiết kiệm chi tiêu thì dân tự giàu, làm như thế không cần lo lũ lụt, hạn hán, gặp năm xấu không cần phải tích lũy (lương thực).
韓 子 云 : 天 下 有 信 數 三 一 曰 智 有 所 不 能 立 二 曰 力 有 所 不 能 舉 三 曰 強 有 所 不 能 勝 故 雖 有 堯 之 智 而 無 眾 人 之 助 大 功 不 立 有 烏 獲 之 勁 而 不 得 人 助 不 能 自 舉 有 賁 育 之 強 而 無 術 法 不 得 長 生 。	Sách Hàn Tử viết : Thiên-hạ có ba việc nên tin theo : thứ nhất là thông minh cỡ nào cũng có những chổ không thể biết được, thứ hai là khỏe mạnh cỡ nào cũng có những vật không thể nhấc được, thứ ba là giỏi giang cỡ nào cũng có những người không thể thắng được. Nên dù có thông minh như vua Nghiêu mà không được nhiều người trợ giúp thì sự nghiệp lớn không dây dựng được. Có sức mạnh như lực sĩ Ô-Hoạch mà không được người trợ giúp thì không tự nhấc lên được. Có được giỏi giang như ông Mạnh-Bôn, Hạ-Dục mà không có phương pháp thì không sống lâu được.
周 易 云 : 蒙 象 曰 山 下 出 泉 蒙 君 子 以 果 行 育 德 。	Sách Chu Dịch viết : Quẻ Sơn Thủy Mông. Tượng viết : Dưới núi suối chảy là quẻ Mông. Người quân-tử lấy đó mà quả quyết theo hạnh tốt, nuôi dưỡng tánh đức.
