第 一 篇 君 道	THIÊN THỨ 1 : QUÂN ĐẠO
昌 言 云 : 猶 十 五 志 學 朋 友 講 習 自 強 不 息 德 與 年 進 至 于 七 十 然 後 心 從 而 不 踰 矩 況 於 不 及 中 規 者 乎 而 不 自 勉 也 。	Đến 70 tuổi thì tự nhiên tùy lòng mình mà không ra khỏi quy củ. Huống hồ ở việc không đạt trúng quy củ, vậy mà không tự cố gắng ư ?.
孫 卿 子 云 : 兼 服 天 下 之 心 高 上 尊 貴 不 以 驕 人 聰 明 聖 智 不 以 窮 人 齊 給 速 通 不 爭 先 人 剛 毅 勇 敢 不 以 傷 人 不 知 則 問 不 能 則 學 雖 能 必 讓 。	Sách Tôn Khanh Tử viết : Khiến hết lòng người trong thiên-hạ phục.
尹 文 子 云 : 為 善 與 眾 行 之 為 巧 與 眾 能 之 此 善 之 善 者 巧 之 巧 者 也 故 所 貴 聖 人 之 治 不 貴 其 獨 治 貴 其 能 與 眾 共 治 也 所 貴 工 倕 之 巧 不 貴 其 獨 巧 貴 其 與 眾 共 巧 也 。	Là cao-thượng, tôn-quý không kiêu ngạo với người.
周 易 云 : 同 人 先 號 咷 而 後 笑 子 曰 君 子 之 道 或 出 或 處 或 默 或 語 二 人 同 心 其 利 斷 金 同 心 之 言 其 臭 如 蘭 。	Nói là đồng lòng, cái mùi nó như hoa lan vậy.
禮 記 云 : 不 以 口 譽 人 則 民 作 忠 故 君 子 問 人 之 寒 則 衣 之 問 人 之 飢 則 食 之 稱 人 之 美 則 爵 之 。	Sách Lễ Ký viết : Không lấy miệng khen người (quá đáng) thì dân khởi lên trung thành. Nên người quân-tử hỏi khi người bị lạnh, thì ban áo.
晉 書 云 : 大 禹 聖 者 乃 惜 寸 陰 至 於 眾 人 當 惜 分 陰 豈 可 逸 遊 荒 醉 生 無 益 於 時 死 無 聞 於 後 是 自 棄 也 。	Sách Tấn Thư viết : Bậc thánh nhân vua Đại-Vũ, còn quý tiếc từng tấc thời gian, đến như mọi người, đáng lẽ phải tiếc thời gian, há lại có thể vui chơi, hưởng lạc trong rượu chè. Sống vô-ích, đến thời chết đi hậu-thế không ai biết đến.
第 四 篇 為 政	THIÊN THỨ 4 : VI CHÁNH
孔 子 家 語 云 : 孔 子 曰 凡 為 天 下 國 家 者 有 九 經 焉 曰 修 身 也 尊 賢 也 親 親 也 敬 大 臣 也 體 群 臣 也 子 庶 人 也 來 百 工 也 柔 遠 人 也 懷 諸 侯 也 修 身 則 道 立 尊 賢 則 不 惑 親 親 則 諸 父 昆 弟 不 怨 敬 大 臣 則 不 眩 體 群 臣 則 士 之 報 禮 重 子 庶 人 則 百 姓 勸 來 百 工 則 財 用 足 柔 遠 人 則 四 方 歸 之 懷 諸 侯 則 天 下 畏 之 公 曰 為 之 奈 何 孔 子 曰 齊 莊 盛 服 非 禮 不 動 所 以 修 身 也 去 讒 遠 色 賤 貨 而 貴 德 所 以 尊 賢 也 爵 其 能 重 其 祿 同 其 好 惡 所 以 篤 親 親 也 官 盛 任 使 所 以 敬 大 臣 也 忠 信 重 祿 所 以 勸 士 也 時 使 薄 斂 所 以 子 百 姓 也 日 省 月 考 既 稟 稱 事 所 以 來 百 工 也 送 往 迎 來 嘉 善 而 矜 不 能 所 以 綏 遠 人 也 繼 絕 世 舉 廢 邦 朝 聘 以 時 厚 往 而 薄 來 所 以 懷 諸 侯 也 治 天 下 國 家 有 九 經 焉 其 所 以 行 之 者 一 也 。	Việc trị thiên-hạ quốc gia có 9 cương lĩnh, sở dĩ làm được thì chỉ có một (chân thành mà thôi).
尚 書 云 : 民 惟 邦 本 本 固 邦 寧 。	Sách Thượng Thư viết : Dân là gốc của nước, gốc vững thì nước yên.
孔 子 家 語 云 : 文 武 之 政 布 在 方 策 其 人 存 則 其 政 舉 其 人 亡 則 其 政 息 故 為 政 在 於 得 人 取 人 以 身 修 身 以 道 修 道 以 仁 。	Nên thái-tử từ lúc sinh ra thấy toàn việc chánh đáng, nghe những lời chánh đáng, làm những việc theo chánh đạo người thân cận trái phải trước sau đều là bậc chánh nhân (quân-tử).
漢 書 云 : 昔 者 成 王 幼 在 繈 褓 之 中 召 公 為 太 保 周 公 為 太 傅 太 公 為 太 師 保 保 其 身 體 傅 傅 之 德 義 師 導 之 教 訓 此 三 公 職 也 於 是 為 置 三 少 少 保 少 傅 少 師 是 與 太 子 宴 者 也 故 乃 孩 提 有 識 三 公 三 少 明 孝 仁 禮 義 以 導 習 之 逐 去 邪 人 不 使 見 惡 行 於 是 皆 選 天 下 之 端 士 孝 悌 博 聞 有 道 術 者 以 衛 翼 之 使 與 太 子 居 處 出 入 故 太 子 乃 生 而 見 正 事 聞 正 言 行 正 道 左 右 前 後 皆 正 人 孔 子 曰 少 成 若 天 性 習 慣 如 自 然 。	Đức Khổng-Tử nói : “Rèn luyện thuở nhỏ thành nhân cách, nhân cách quen rồi thành lẽ tự nhiên.” Sách Thuyết Uyển viết : Nước không hiền-thần, kẻ sĩ tài giỏi phò tá mà có thể thành công trong sự nghiệp, lập nên danh tốt ở đời, dẹp yên động loạn, tiếp nối sự nghiệp đã suy vong là việc chưa từng có.
說 苑 云 : 國 無 賢 佐 俊 士 而 能 以 成 功 立 名 安 危 繼 絕 者 未 嘗 有 也 故 國 不 務 大 而 務 得 民 心 佐 不 務 多 而 務 得 賢 俊 得 民 心 者 民 往 之 有 賢 佐 士 歸 之 。	Đức Khổng-Tử đáp : Thưa đạo người có việc chính trị là lớn nhất, chính trị là làm chánh đáng vậy. Vua làm chánh đáng thì bách-tính học theo mà chánh đáng.
孔 子 家 語 云 : 公 問 曰 敢 問 人 道 誰 為 大 孔 子 對 曰 夫 人 道 政 為 大 夫 政 者 正 也 君 為 正 則 百 姓 從 而 正 矣 公 曰 敢 問 為 政 如 之 何 孔 子 對 曰 夫 婦 別 父 子 親 君 臣 信 三 者 正 則 庶 物 從 之 矣 。	Đức Khổng-Tử đáp : Thưa vợ chồng phân biệt, cha con thân thiết, vua tôi tin nhau. Ba việc đó chánh đáng thì mọi việc đều thuận lợi.
論 語 云 : 子 路 曰 衛 君 待 子 而 為 政 子 將 奚 先 子 曰 必 也 正 名 乎 名 不 正 則 言 不 順 言 不 順 則 事 不 成 事 不 成 則 禮 樂 不 興 禮 樂 不 興 則 刑 罰 不 中 刑 罰 不 中 則 民 無 所 措 手 足 。	Đức Khổng-Tử đáp : ta ắt sẽ làm rõ danh phận !. Danh không đúng thì lời nói không thuận, lời nói không thuận thì việc làm không thành công, việc làm không thành công thì lễ nhạc không hưng khởi, lễ nhạc không hưng khởi thì hình phạt không trúng, hình phạt không trúng thì dân không biết lấy gì để phân biệt đúng sai.
周 易 云 : 彖 曰 家 人 女 正 位 乎 内 男 正 位 乎 外 天 地 之 大 義 也 家 人 有 嚴 君 焉 父 母 之 謂 也 父 父 子 子 兄 兄 弟 弟 夫 夫 婦 婦 而 家 道 正 正 家 而 天 下 定 矣 。	Sách Chu Dịch viết : (Quẻ phong hỏa Gia-Nhân) Thoán viết : quẻ Gia-Nhân con gái đúng vị trí ở trong nhà, con trai đúng vị trí ở ngoài đường, đó là nghĩa lớn của trời đất.
潛 夫 論 云 : 夫 富 民 者 以 農 桑 為 本 以 遊 業 為 末 百 工 者 以 致 用 為 本 以 巧 飾 為 末 商 賈 者 以 通 貨 為 本 以 鬻 奇 為 末 三 者 守 本 離 末 則 民 富 離 本 守 末 則 民 貧 貧 則 阨 而 忘 善 富 則 樂 而 可 教 教 訓 者 以 道 義 為 本 以 巧 辦 為 末 辭 語 者 以 言 順 為 本 以 詭 麗 為 末 列 士 者 以 孝 悌 為 本 以 交 游 為 末 孝 悌 以 致 養 為 本 以 華 觀 為 末 人 臣 者 以 忠 正 為 本 以 媚 愛 為 末 五 者 守 本 離 末 則 仁 義 興 離 本 守 末 則 道 德 崩 。	Người nhà có lãnh đạo nghiêm đó là cha mẹ. Cha ra cha, con ra con, anh ra anh, em ra em, chồng ra chồng, vợ ra vợ mà sau gia-đạo được đúng đắn, gia-đạo được đúng đắn thì thiên-hạ được an định vậy.
袁 子 正 書 云 : 夫 仁 義 禮 制 者 治 之 本 也 法 令 刑 罰 者 治 之 末 也 無 本 者 不 立 無 末 者 不 成 夫 禮 教 之 治 先 之 以 仁 義 示 之 以 敬 讓 使 民 遷 善 日 用 而 不 知 也 。	Sách Khổng Tử Gia Ngữ viết : Đức Khổng-Tử nói : Hạnh tốt của bản thân có 6 điều căn gốc (làm được) rồi sau mới là người quân-tử.
孔 子 家 語 云 : 孔 子 曰 行 己 有 六 本 焉 然 後 為 君 子 立 身 有 義 矣 而 孝 為 本 喪 紀 有 禮 矣 而 哀 為 本 戰 陳 有 列 矣 而 勇 為 本 治 政 有 理 矣 而 農 為 本 居 國 有 道 矣 而 嗣 為 本 生 財 有 時 矣 而 力 為 本 置 本 不 固 無 務 豐 末 親 戚 不 悅 無 務 外 交 事 不 始 終 無 務 多 業 反 本 修 跡 君 子 之 道 也 。	1.Gây dựng cuộc sống có nghĩa mà lấy hiếu làm gốc, 2.Việc tang sự có lễ mà lấy thương tiếc làm gốc. 3.Việc chiến trận có kỷ luật mà lấy dũng cảm làm gốc. 4.Việc chính trị có lý mà lấy nghề nông làm gốc. 5.Quốc gia có đạo mà lập người kế tục làm gốc. 6.Tiền của làm ra có thời mà lấy tận lực làm gốc.
蜀 志 云 : 諸 葛 亮 之 為 相 國 也 撫 百 姓 示 義 軌 約 官 職 從 權 制 開 誠 心 布 公 道 盡 忠 益 時 者 雖 讎 必 賞 犯 法 怠 慢 者 雖 親 必 罰 服 罪 輸 情 者 雖 重 必 釋 遊 辭 巧 飾 者 雖 輕 必 戮 善 無 微 而 不 賞 惡 無 纖 而 不 貶 庶 事 精 練 物 理 其 本 循 名 責 實 虛 偽 不 齒 終 於 邦 域 之 內 咸 畏 而 愛 之 刑 政 雖 峻 而 無 怨 者 以 其 用 心 平 而 勸 戒 明 也 可 謂 識 治 之 良 才 管 蕭 之 亞 匹 矣 。	Có thể nói ngài là bậc nhân tài hiểu biết việc trị nước sánh ngang với Quản-Trọng và Tiêu-Hà vậy.
孝 經 云 : 子 曰 夫 孝 德 之 本 也 教 之 所 由 生 也 。	Sách Hiếu Kinh viết : Đức Khổng-Tử nói : Hiếu là gốc của đức, giáo học từ đó sinh ra vậy.
孝 經 云 : 子 曰 君 子 之 事 親 孝 故 忠 可 移 於 君 事 兄 悌 故 順 可 移 於 長 居 家 理 故 治 可 移 於 官 是 以 行 成 於 內 而 名 立 於 後 世 矣 。	Sách Hiếu Kinh viết : Đức Khổng-Tử nói : Người quân-tử phụng sự cha mẹ hiếu (thảo) nên hạnh trung có thể dời đến vua, phụng sự anh đễ (kính thuận) nên hạnh thuận có thể dời đến bậc lớn, ở nhà biết trị lý nên hạnh trị lý có thể dời đến lúc làm quan. Do đó (3) hạnh tốt thành ở trong mà danh tiếng gây dựng đến đời sau vậy.
後 漢 書 云 : 孔 子 曰 事 親 孝 故 忠 可 移 於 君 是 以 求 忠 臣 必 於 孝 子 之 門 。	Do đó muốn cầu trung thần ắt phải tìm nơi cổng nhà có con hiếu.
孔 子 家 語 云 : 夫 知 為 人 子 者 然 後 可 以 為 人 父 知 為 人 臣 者 然 後 可 以 為 人 君 知 事 人 者 然 後 可 以 使 人 。	Sách Khổng Tử Gia Ngữ viết : Người biết làm con rồi sau mới có thể làm cha, người biết làm bề tôi rồi sau mới có thể làm vua, người biết phụng sự người rồi sau mới có thể sai khiến người.
論 語 云 : 曾 子 曰 慎 終 追 遠 民 德 歸 厚 。	Sách Luận Ngữ viết : Thầy Tăng-Tử nói : cẩn thận làm tang lễ cho cha mẹ khi qua đời, thành tâm cúng tế tổ tiên thì đạo đức nhân dân ngày càng thuần hậu.
呂 氏 春 秋 云 : 水 泉 深 則 魚 鱉 歸 之 樹 木 盛 則 飛 鳥 歸 之 庶 草 茂 則 禽 獸 歸 之 人 主 賢 則 豪 桀 歸 之 。	Sách Lã Thị Xuân Thu viết : Sông nước sâu thì cá và ba ba đến sống, cây cối nhiều thì chim bay đến đậu, đồng cỏ tốt tươi thì cầm thú đến ăn, lãnh đạo hiền thì các bậc hào-kiệt đến trợ giúp.
劉 廙 政 論 云 : 夫 為 政 者 莫 善 於 清 其 吏 也 。	Đức Khổng-Tử đáp : đủ lương thực, đủ quân đội, dân tín nhiệm. Thầy Tử-Cống hỏi : thưa nếu bỏ một trong ba việc trên thì bỏ việc gì trước ?.
論 語 云 : 子 貢 問 政 子 曰 足 食 足 兵 民 信 之 矣 子 貢 曰 必 不 得 已 而 去 於 斯 三 者 何 先 曰 去 兵 曰 必 不 得 已 而 去 於 斯 二 者 何 先 曰 去 食 自 古 皆 有 死 民 不 信 不 立 。	Đức Khổng-Tử đáp : bỏ quân đội. Thầy Tử-Cống hỏi tiếp: thưa nếu tiếp tục bỏ một trong hai việc trên thì bỏ bỏ việc gì trước ?.
呂 氏 春 秋 云 : 凡 論 人 通 則 觀 其 所 禮 貴 則 觀 其 所 進 富 則 觀 其 所 養 聽 則 觀 其 所 行 近 則 觀 其 所 好 習 則 觀 其 所 言 窮 則 觀 其 所 不 受 賤 則 觀 其 所 不 為 喜 之 以 驗 其 守 樂 之 以 驗 其 僻 怒 之 以 驗 其 節 懼 之 以 驗 其 特 哀 之 以 驗 其 仁 苦 之 以 驗 其 志 八 觀 六 驗 此 賢 主 之 所 以 論 人 也 論 人 必 以 六 戚 四 隱 何 謂 六 戚 父 母 兄 弟 妻 子 何 謂 四 隱 交 友 故 舊 邑 里 門 廊 內 則 用 六 戚 四 隱 外 則 以 八 觀 六 驗 人 之 情 偽 貪 鄙 羨 美 無 所 失 矣 此 先 聖 王 之 所 以 知 人 也 。	Sách Lã Thị Xuân Thu viết : Thường luận về một người, lúc thành đạt quán đến lễ mạo, lúc quý hiển quán đến người họ tiến cử, lúc giàu quán đến người họ nuôi dưỡng, lúc nghe thì quán đến việc họ đang làm, lúc gần thì quán đến sở thích của họ, lúc luyện tập thì quán đến lời nói, lúc khốn cùng thì quán đến vật không nhận, lúc nghèo hèn thì quán đến việc không làm. Khi vui thì nghiệm quy củ, khi thích thì nghiệm cái xấu, khi giận thì nghiệm tiết tháo, khi sợ thì nghiệm sự khác biệt, khi buồn thì nghiệm lòng nhân, khi khổ thì nghiệm chí hướng.
晏 子 云 : 景 公 問 求 賢 晏 子 對 曰 通 則 視 其 所 舉 窮 則 視 其 所 不 為 富 則 視 其 所 分 貧 則 視 其 所 不 取 夫 上 難 進 而 易 退 也 其 次 易 進 而 易 退 也 其 下 易 進 而 難 退 也 以 此 數 物 者 取 人 其 可 乎 。	Sách Sử Ký viết : Lúc sống xem người họ thân, lúc giàu xem người chơi cùng, lúc phát đạt xem người họ tiến cử, lúc khốn cùng xem việc họ không làm, lúc nghèo khó xem thứ họ không lấy.
史 記 云 : 居 視 其 所 親 富 視 其 所 與 達 視 其 所 舉 窮 視 其 所 不 為 貧 視 其 所 不 取 五 者 足 以 定 之 矣 。	Năm điều đó đủ để đánh giá người vậy. Sách Lục Thao viết : Thứ nhất hỏi những việc nhỏ nhặt để họ nói, xem cách trả lời.
六 韜 云 : 一 曰 微 察 問 之 以 言 觀 其 辭 二 曰 窮 之 以 辭 以 觀 其 變 三 曰 與 之 間 謀 以 觀 其 誠 四 曰 明 白 顯 問 以 觀 其 德 五 曰 使 之 以 財 以 觀 其 貪 六 曰 試 之 以 色 以 觀 其 貞 七 曰 告 之 以 難 觀 其 勇 八 曰 醉 之 以 酒 以 觀 其 態 八 徵 皆 備 則 賢 不 肖 別 矣 。	Sách Phó Tử viết : Nên nghe nói không bằng xem việc, xem việc không bằng coi hành vi.
傅 子 云 : 故 聽 言 不 如 觀 事 觀 事 不 如 觀 行 聽 言 必 審 其 本 觀 事 必 挍 其 實 觀 行 必 考 其 跡 參 三 者 而 詳 之 近 少 失 矣 。	Nghe nói ắt phải xét rõ gốc, xem việc ắt phải rõ ràng thực tế, coi hành vi ắt phải khảo sát dấu tích. Tham thấu ba việc này tường tận thì không mắc sai lầm vậy.
傅 子 云 : 昔 人 知 居 上 取 士 之 難 故 虛 心 而 不 聽 知 在 下 相 接 之 易 故 因 人 以 致 人 。	Vì biết được cấp dưới giao tiếp sẽ dễ hơn, nên nhân vì cấp dưới để mời kẻ sĩ đến vậy.
晉 書 云 : 任 己 則 有 不 識 之 蔽 聽 受 則 有 彼 此 之 偏 所 知 者 以 愛 憎 奪 其 平 所 不 知 者 以 人 事 亂 其 度 。	Sách Tấn Thư viết : Cho mình đúng thì không nhận thức được sai lầm, nghe nhận không rõ thì xử lý việc đó đây bị thiên lệch. Người biết vì yêu ghét mà đoạt đi lẽ công bình, kẻ không biết vì quan hệ mà làm loạn đi pháp độ.
論 語 云 : 子 曰 鄙 夫 可 與 事 君 也 哉 其 未 得 之 也 患 得 之 既 得 之 患 失 之 茍 患 失 之 無 所 不 之 矣 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : Có thể cùng với kẻ lòng dạ hẹp hòi phụng sự vua được không ?, lúc chưa được (chức vị bổng lộc) thì cố lo cho được, khi có được rồi thi lo sợ sẽ mất đi.
論 語 云 : 哀 公 曰 何 為 則 民 服 孔 子 對 曰 舉 直 錯 諸 枉 則 民 服 舉 枉 錯 諸 直 則 民 不 服 。	Còn tiến cử kẻ gian ác, bỏ đi người ngay thẳng thì dân không phục.
後 漢 書 云 : 天 下 樞 要 在 於 尚 書 尚 書 之 選 豈 可 不 重 而 間 者 多 從 郎 官 超 升 此 位 雖 曉 習 文 法 長 於 應 對 然 察 察 小 惠 類 無 大 能 宜 簡 嘗 歷 州 宰 素 有 名 者 雖 進 退 舒 遲 時 有 不 逮 然 端 心 向 公 奉 職 周 密 。	Sách Hậu Hán Thư viết : Chức vị trọng yếu trong thiên hạ là quan thượng-thư, tuyển chọn quan thượng-thư há không thận trọng ?. Thế mà lúc tuyển chức quan đó phần nhiều người ta chọn các lang-quan dù họ thông hiểu văn pháp, ứng đối nhiều, nhưng xét kỷ thì toàn là khôn vặt, nhiều khi không có năng lực gì lớn.
周 書 云 : 以 言 取 人 人 飾 其 言 以 行 取 人 人 竭 其 行 飾 言 無 庸 竭 行 有 成 。	Chau chuốt lời nói không được gì, kiệt sức làm việc thì có thành công.
晏 子 云 : 故 明 王 之 任 人 諂 諛 不 邇 乎 左 右 阿 黨 不 治 乎 本 朝 任 人 之 長 不 強 其 短 任 人 之 工 不 強 其 拙 此 任 人 之 大 略 也 。	Sách Yến Tử viết : Nên vua sáng dùng người thì không để kẻ nịnh hót ở bên cạnh, vây cánh bè đảng không được đảm nhiệm việc triều chính. Dùng người biết phát huy sở trường, không gắng gượng với những khuyết điểm của họ.
典 語 云 : 故 選 不 可 以 不 精 任 之 不 可 以 不 信 進 不 可 以 不 禮 退 之 不 可 以 權 辱 。	Sách Điển Ngữ viết : Nên việc tuyển chọn quan lại không thể không kỹ càng, khi giao chức vị không thể không tín nhiệm họ, khi họ làm quan không thể không dùng lễ, khi họ từ quan không thể để bị nhục.
劉 廙 政 論 云 : 故 知 清 而 不 知 所 以 重 其 祿 者 則 欺 而 濁 知 重 其 祿 而 不 知 所 少 其 吏 者 則 竭 而 不 足 知 少 其 吏 而 不 知 所 以 盡 其 力 者 則 事 繁 而 職 闕 。	Sách Lưu Dực Chính Luận viết : Nên biết đến thanh liêm mà không biết ban bổng lộc trọng hậu thì quan lại tham ô nhơ bẩn. Biết ban thưởng bổng lộc trọng hậu mà không biết tinh giảm quan lại thì cạn kiệt ngân khố đến không đủ dùng.
管 子 云 : 故 德 厚 而 位 卑 者 謂 之 過 德 薄 而 位 尊 者 謂 之 失 寧 過 於 君 子 而 無 失 於 小 人 過 於 君 子 其 為 怨 淺 矣 失 於 小 人 其 為 禍 深 矣 。	Sách Quản Tử viết : Nên người đức dày mà ở địa vị thấp thì gọi là quá đáng. Người đức mỏng mà ở địa vị cao thì gọi là tổn thất.
孫 卿 子 云 : 使 賢 者 為 之 則 與 不 肖 者 規 之 使 智 者 慮 之 則 與 愚 者 論 之 使 修 士 行 之 則 與 奸 邪 之 人 疑 之 雖 欲 成 功 得 乎 哉 。	Dù muốn thành công đạt được ư ?.
禮 記 云 : 大 道 之 行 也 天 下 為 公 選 賢 與 能 故 人 不 獨 親 其 親 不 獨 子 其 子 使 老 有 所 終 幼 有 所 長 鰥 寡 孤 獨 廢 疾 者 皆 有 所 養 是 故 謀 閉 而 不 興 盜 竊 亂 賊 而 不 作 是 謂 大 同 。	Sách Lễ Ký viết : Đạo lớn được thi hành, thiên-hạ sẽ công bằng. Thì tuyển chọn người hiền cùng người tài phụng sự đất nước.
六 韜 云 : 天 下 者 非 一 人 之 天 下 天 下 之 天 下 也 與 天 下 同 利 者 則 得 天 下 擅 天 下 之 利 者 失 天 下 。	Sách Lục Thao viết : Thiên-hạ không phải của một người, thiên-hạ là thiên-hạ của chung của người trong thiên-hạ vậy. Cùng người thiên-hạ hưởng lợi thì có được thiên-hạ, độc chiếm thiên-hạ hưởng lợi thì mất thiên-hạ.
傅 子 云 : 夫 能 通 天 下 之 志 者 莫 大 乎 至 公 能 行 至 公 者 莫 要 乎 無 忌 心 。	Có thể hành được chí-công (vô tư) chằng gì trọng yếu bằng không có lòng ghen ghét
孫 卿 子 云 : 故 君 人 者 愛 民 而 安 好 士 而 榮 兩 者 無 一 焉 而 亡 也 明 分 職 序 事 業 拔 材 官 能 莫 不 治 理 則 公 道 達 而 私 門 塞 矣 公 義 明 而 私 事 息 矣 如 是 則 德 厚 者 進 而 佞 悅 者 止 貪 利 者 退 而 廉 節 者 起 。	Kẻ tham lợi thoái lui mà người thanh liêm hưng khởi lên.
漢 書 云 : 臣 聞 堯 受 命 以 天 下 為 憂 而 未 聞 以 位 為 樂 也 。	Sách Hán Thư viết : Thần nghe vua Nghiêu nhận mệnh trời để lo cho thiên-hạ, chưa nghe việc lấy ngôi vị để hưởng lạc.
史 記 云 : 顧 吾 念 之 強 秦 之 所 以 不 敢 加 兵 於 趙 者 徒 以 吾 兩 人 在 也 今 兩 虎 鬥 其 勢 不 俱 生 吾 所 以 為 此 先 公 家 之 急 而 後 私 讎 也 。	Sách Sử Ký viết : Nhưng suy nghĩ của ta nước Tần mạnh sở dĩ không dám đem quân đánh nước Triệu, vì ta còn nằm trong hai nhân vật quan trọng (Tương-Như và Liêm-Pha). Hai người như con hổ mà đánh nhau thì cả hai không sống nổi.
論 語 云 : 子 曰 性 相 近 也 習 相 遠 也 。	Sách Phó Tử viết : Bậc tiên-vương biết người có tính hiếu thiện, tôn sùng đức hạnh, lại tham vinh mà trọng lợi.
傅 子 云 : 先 王 知 人 有 好 善 尚 德 之 性 而 又 貪 榮 而 重 利 故 貴 其 所 尚 而 抑 其 所 貪 貴 其 所 尚 故 禮 讓 興 抑 其 所 貪 故 廉 恥 存 。	Cái quý được tôn sùng nên nết lễ nhượng hưng khởi, cái tham được tiết chế nên nết liêm sỉ còn.
鹽 鐵 論 云 : 治 民 之 道 務 篤 於 教 也 。	Sách Diêm Thiết Luận viết : Đạo để trị dân là lo dốc sức vào việc giáo dục (đạo đức).
崔 寔 政 論 云 : 上 為 下 效 然 後 謂 之 教 。	Sách Thôi Thực Chính Luận viết : Trên làm thì dưới bắt chước như vậy gọi là dạy.
傅 子 云 : 古 之 仁 人 推 所 好 以 訓 天 下 而 民 莫 不 尚 德 推 所 惡 以 誡 天 下 而 民 莫 不 知 恥 。	Rút ra những cái xấu để răn thiên-hạ nên người dân không ai là không biết đến liêm sỉ.
論 語 云 : 子 曰 弟 子 入 則 孝 出 則 悌 謹 而 信 汎 愛 眾 而 親 仁 行 有 餘 力 則 以 學 文 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : học trò vào nhà thì hiếu thuận, ra ngoài kính nhường, cẩn thận mà thành tín, yêu mọi người mà gần người nhân đức, làm việc có dư sức thì học thêm văn (kiến thức mới).
孝 經 云 : 子 曰 教 民 親 愛 莫 善 於 孝 教 民 禮 順 莫 善 於 悌 移 風 易 俗 莫 善 於 樂 安 上 治 民 莫 善 於 禮 禮 者 敬 而 已 矣 故 敬 其 父 則 子 悅 敬 其 兄 則 弟 悅 敬 其 君 則 臣 悅 敬 一 人 而 千 萬 人 悅 所 敬 者 寡 悅 者 眾 此 之 謂 要 道 也 。	Sách Hiếu Kinh viết : Đức Khổng-Tử nói : dạy dân lòng thân ái chẳng gì tốt bằng nết hiếu, dạy dân lễ thuận chẳng gì tốt bằng nết đễ (kính nhường), dời đổi phong tục chẳng gì tốt bằng âm nhạc, trên muốn an ổn trị dân chẳng gì tốt bằng dùng lễ, dùng lễ là để kính trọng nhau mà thôi vậy. Nên kính cha thì con người vui lòng, kính anh thì em người vui lòng, kính vua thì bề tôi người vui lòng, kính một người mà ngàn vạn người vui lòng.
史 記 云 : 孔 子 曰 導 之 以 政 齊 之 以 刑 民 免 而 無 恥 導 之 以 德 齊 之 以 禮 有 恥 且 格 老 氏 稱 法 令 滋 章 盜 賊 多 有 。	Sách Sử Ký viết : Đức Khổng-Tử nói : “Dẫn dắt dân bằng chính trị, sửa trị dân bằng hình phạt thì dân phòng tránh mà không xấu hổ. Dẫn dắt dân bằng đạo đức, sửa trị dân bằng lễ nhạc thì dân xấu hổ mà sửa đổi.”
史 記 云 : 子 產 治 鄭 民 不 能 欺 子 賤 治 單 父 人 不 忍 欺 西 門 豹 治 鄴 人 不 敢 欺 三 子 之 才 能 誰 最 賢 哉 辦 治 者 當 能 別 之 。	Đức Lão-Tử nói : “Luật pháp rườm rà thì sinh nhiều trộm cướp.” Sách Sử Ký viết : Ông Tử-Sản trị nước Trịnh dân không thể lừa dối.
淮 南 子 云 : 不 知 禮 義 不 可 以 行 法 法 能 殺 不 孝 者 而 不 能 使 人 為 孔 墨 之 行 法 能 刑 竊 盜 者 而 不 能 使 人 為 伯 夷 之 廉 孔 子 養 徒 三 千 人 皆 入 孝 出 悌 言 為 文 章 行 為 儀 表 教 之 所 成 也 。	Sách Ngũ Văn Tử viết : Ông Văn-Tử hỏi Đức, Nhân, Nghĩa, Lễ.
五 文 子 云 : 文 子 問 德 仁 義 禮 老 子 曰 德 者 民 之 所 貴 也 仁 者 人 之 所 懷 也 義 者 民 之 所 畏 也 禮 者 民 之 所 敬 也 此 四 者 聖 人 之 所 以 御 萬 物 也 。	Đức Lão-Tử đáp : Đức là điều mà dân quý, Nhân là điều mà dân mong, Nghĩa là điều mà dân sợ, Lễ là điều mà dân kính.
魏 志 云 : 顯 賢 表 德 聖 王 所 重 舉 善 而 教 仲 尼 所 美 。	Tiển cử người tốt để dạy học là việc mà đức Trọng-Ni cho là tốt đẹp.
管 子 云 : 一 年 之 計 莫 如 樹 榖 十 年 之 計 莫 如 樹 木 終 身 之 計 莫 如 樹 人 。	Sách Quản Tử viết : Kế sách trong một năm chẳng gì bằng trồng ngũ cốc. Kế sách trong hai năm chằng gì bằng trồng cây thành rừng.
漢 書 云 : 儒 家 者 流 蓋 出 於 司 徒 之 官 助 人 君 順 陰 陽 明 教 化 者 也 游 文 於 六 經 之 中 留 意 於 仁 義 之 際 祖 述 堯 舜 憲 章 文 武 宗 師 仲 尼 以 重 其 言 於 道 最 為 高 。	Sách Hán Thư viết : Học phái Nho-gia bắt nguồn từ quan Tư-Đồ (bộ giáo dục), họ trợ giúp vua thuận theo quy luật âm dương để làm rõ việc giáo hóa vậy. Họ thông thạo kinh văn trong lục-kinh (Thi, Thư, Lễ, Nhạc, Dịch, Xuân Thu), lưu tâm đến truyền bá nhân-nghĩa, noi theo đạo của vua Nghiêu, vua Thuấn.
